245$a	245$b	245$c	100	wikidata100	502$b	502$c	502$d	008	300$a	700	Wikidata	856$u	001
Mille simul leti facies :	the allusive battlefield of Punica 4 /	Daniel A. Conner.	"Conner, Daniel A.,author.http://www.wikidata.org/entity/Q107157704"	Q107157704	Ph. D.	University of Washington	2018.	190206t20182018waua\\\\obm\\s000\0\eng\d	1 online resource (305 pages) :	"Hinds, Stephen,degree supervisor.http://www.wikidata.org/entity/Q2344786"	Q2344786	http://hdl.handle.net/1773/43010	1084662507
Demosthenes and his biographers /		by Brad L. Cook.	"Cook, Brad L."		Ph. D.	University of Washington	1996	961121s1996\\\\xx\\\\\\\bm\\\000\0\eng\d	"iii, 275 pages"			http://hdl.handle.net/1773/11475	35979902
The building of verse :	descriptions of architectural structures in Roman poetry /	Elizabeth Jane Crofton-Sleigh.	"Crofton-Sleigh, Elizabeth Jane,author.http://www.wikidata.org/entity/Q107141963"	Q107141963	Ph. D.	University of Washington	2014	141230t20142014waua\\\\obm\\s000\0\eng\d	1 online resource (279 pages) :	"Connors, Catherine(Catherine Marie),degree supervisorhttp://www.wikidata.org/entity/Q102077712"	Q102077712	http://hdl.handle.net/1773/26030	899011631
Metatheater :	heroines and ephebes in Ovid's Metamorphoses /	by Daniel E. Curley.	"Curley, Dan,1966-"		Ph. D.	University of Washington	1999	991213s1999\\\\xx\\\\\\\bm\\\000\0\eng\d	"iv, 235 pages"			http://hdl.handle.net/1773/11481;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9936384	42998472
Medical language in the speeches of Demosthenes /		Allison Das.	"Das, Allison,author.http://www.wikidata.org/entity/Q107267381"	Q107267381	Ph. D.	University of Washington	2015	151217t20152015wau\\\\\obm\\s000\0\eng\d	"1 online resource (vi, 152 pages)"	"Blondell, Ruby,1954-degree supervisor.http://www.wikidata.org/entity/Q55154421"	Q55154421	http://hdl.handle.net/1773/33677	932541748
The reality of the soul in Plato /		by Phillip Howard De Lacy.	"De Lacy, Phillip,1913-2006,author."		M.A.	University of Washington	1933.	191107s1933\\\\wau\\\\\obm\\\000\0\eng\d	1 online resource (64 pages)	"Densmore, Harvey B.(Harvey Bruce),1881-1977,degree supervisor."	Q21524818	http://hdl.handle.net/1773/44555	1126664115
"Matter, language and attachment in Seneca's Moral Epistles /"		Alexander J. Dressler.	"Dressler, Alexander J."		Ph. D.	University of Washington	2009	091218s2009\\\\xx\\\\\\\bm\\\000\0\eng\d	"iv, 479 pages"			http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3377265	489840773
Gendered conceptions :	reproductions of pregnancy and childbirth in Greek literature /	Yurie Hong Easton.	"Easton, Yurie Hong."		Ph. D.	University of Washington	2007	070924s2007\\\\xx\\\\\\\bm\\\000\0\eng\d	"iii, 248 leaves"			http://hdl.handle.net/1773/11464;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3265328	173262921
The Livian historiographical tradition /		by Owen McRae Ewald.	"Ewald, Owen McRae."		Ph. D.	University of Washington	1999	000112s1999\\\\xx\\\\\\\bm\\\000\0\eng\d	"v, 211 leaves"			http://hdl.handle.net/1773/11463;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9936394	43258474
Revulsion and desire :	the figure of the monster in Roman imperial imagination /	Christina Elizabeth Franzen.	"Franzen, Christina Elizabeth."		Ph. D.	University of Washington	2007	070918s2007\\\\xx\\\\\\\bm\\\000\0\eng\d	"iii, 305 leaves"			http://hdl.handle.net/1773/11472;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3265335	173031548
