245$a	245$b	245$c	100	wikidata	502$b	502$c	502$d	8	300$a	700	856$u	1
The use of laser-holography techniques for studying two-phase steam water-critical flow.			"Ju, Yi-hsu."		Ph. D.	University of Washington		890619s1977\\\\xx\a\\\\\bm\\\000\0\eng\d	119 leaves			19890382
"Structure and dynamic-mechanical properties of TGDDM-DDS epoxy, graphite fibers, and their compsoite /"		by Joseph David Keenan.	"Keenan, Joseph David."		M.S. Ch. E.	University of Washington		800317s1979\\\\xx\a\\\\\bm\\\000\0\eng\d	"xii, 209 leaves :"			6094888
A photographic study of drop formation heat and mass transfer /		by Paul Aubrey Klett.	"Klett, Paul Aubrey."			University of Washington		800320s1979\\\\xx\a\\\\\bm\\\000\0\eng\d	"xi, 362 leaves :"			6109145
The characterization and utilization of the pores within cellulose fibers /		by Young Chan Ko.	"Ko, Young Chan."		Ph. D.	University of Washington	1981	810331s1981\\\\xx\a\\\\\bm\\\000\0\eng\d	"v, 156 leaves :"			7289891
Characterization of hydrophobic/hydrophilic polymeric surfaces by contact angle measurements /		by Young Chan Ko.	"Ko, Young Chan."		M.S. Ch. E.	University of Washington		890508s1978\\\\xx\a\\\\\bm\\\000\0\eng\d	"ix, 97 leaves :"			19674919
A hydrodynamic stability analysis of capillary jets /		by Garold Eugene Koester.	"Koester, Garold Eugene."		M.S. Ch. E.	University of Washington	1979	791022s1979\\\\xx\a\\\\\bm\\\000\0\eng\d	"xii, 136 leaves :"			5574190
Estimation of partition and diffusion coefficients in copolymer-water systems from homopolymer data /		John David Krumpos.	"Krumpos, John David."		M.S. Ch. E.	University of Washington		890508s1978\\\\xx\a\\\\\bm\\\000\0\eng\d	95 leaves :			19674872
Polymer bonding in never-dried fiber assemblages /		by John David Krumpos.	"Krumpos, John David."			University of Washington		800806s1980\\\\xx\a\\\\\bm\\\000\0\eng\d	"ix, 114 leaves :"			6592476
Measurement of local cooling heat transfer coefficients of water in turbulent pipe flow /		by King-lun Kwok.	"Kwok, King-lun."		M.S. Ch. E.	University of Washington		890530s1978\\\\xx\a\\\\\bm\\\000\0\eng\d	"vi, 102 leaves :"			19783850
Experimental analysis of the performance of an extracorporeal reactor-detoxifier system to treat patients with sickle cell disease.			"Ladd, Eugene Arthur."		M.S. Ch. E.	University of Washington		890530s1976\\\\xx\a\\\\\bm\\\000\0\eng\d	168 leaves			19783771
Flow distribution in radial flow packed bed reactors /		by Chi-hsing Li.	"Li, Chi-hsiung."			University of Washington		890620s1978\\\\xx\a\\\\\bm\\\000\0\eng\d	"xi, 197 leaves :"		http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:7824477	19899360
Intermittency measurements of the puff and slug regions in a pipe.			"Lim, Hyun Sung."		M.S. Chem. E.	University of Washington		890612s1977\\\\xx\a\\\\\bm\\\000\0\eng\d	71 leaves			19852214
Change of solid metal-electrolyte surface stress with potential.			"Lin, Kaung-far."		Ph. D.	University of Washington		890619s1976\\\\xx\a\\\\\bm\\\000\0\eng\d	124 leaves			19890330
The analytic solutions for some heat conduction problems - linear and nonlinear.			"Lin, Yow-think."		M.S. Chem. E.	University of Washington		890612s1976\\\\xx\a\\\\\bm\\\000\0\eng\d	55 leaves			19852278
Bonding of rayon nonwovens by chitosan /		by Tso-Min Liu.	"Liu, Tso-Min."		M.S. Ch. E.	University of Washington		890602s1978\\\\xx\a\\\\\bm\\\000\0\eng\d	"v, 71 leaves :"			19804111
Experimental investigation of scale formation on evaporator heat transfer surfaces /		by Steven Scott Lowe.	"Lowe, Steven Scott."		M.S. Ch. E.	University of Washington	1981	810819s1981\\\\xx\a\\\\\bm\\\000\0\eng\d	"xii, 149 leaves :"			7681394
The thermodynamics of insoluble monolayers on pure and multicomponent aqueous subphases.			"MacArthur, Brian William."		Ph. D.	University of Washington		890602s1977\\\\xx\a\\\\\bm\\\000\0\eng\d	225 leaves			19804070
The effect of surface active agents on mass transfer in agitated gas-liquid dispersions.			"Maini, Brij Bhooshan."		Ph. D.	University of Washington		890513s1976\\\\xx\a\\\\\bm\\\000\0\eng\d	125 leaves			19703783
Properties of composite materials in relation to constituent phase properties and structure /		by Mark Mayhle.	"Mayhle, Mark."		M.S. Ch. E.	University of Washington	1981	811201s1981\\\\xx\a\\\\\bm\\\000\0\eng\d	"ix, 258 leaves :"			7963920
The production of phenols from lignin using sodium formate as an organic reductant /		by Frederick Neil McDonald.	"McDonald, Frederick Neil."		M.S. Ch. E.	University of Washington		890523s1978\\\\xx\a\\\\\bm\\\000\0\eng\d	"vi, 74 leaves :"			19752004
The collapse behavior of insoluble mixed monolayers.			"Miller, Michael Gordon."		M.S. Ch. E.	University of Washington		890605s1977\\\\xx\a\\\\\bm\\\000\0\eng\d	86 leaves			19817069
A numerical model of particle deposition in a bifurcating channel /		Robert Clark Moore.	"Moore, Robert Clark."		M.S. Ch. E.	University of Washington		890605s1978\\\\xx\a\\\\\bm\\\000\0\eng\d	213 leaves :			19817290
Aerosol deposition in the human lung	an irregular dichotomy model.		"Murnane, Rand Alan."		M.S. Chem. E.	University of Washington		890612s1976\\\\xx\a\\\\\bm\\\000\0\eng\d	77 leaves			19852236
The breakup of jets undergoing chemical reaction /		"by Neal Karl Nelson, Jr."	"Nelson, Neal Karl."			University of Washington		800321s1979\\\\xx\a\\\\\bm\\\000\0\eng\d	"xx, 256 leaves :"			6114102
The effects of mass transfer and surfactant adsorption on the instability of capillary jets in liquid-liquid systems.			"Niwa, Joyce Chiemi."		M.S. Ch. E.	University of Washington		890821s1977\\\\xx\a\\\\\bm\\\000\0\eng\d	71 leaves			20223382
A possible remedy for vapor explosions in Kraft recovery furnaces.			"Nutley, Hugh."		M.S. Ch. E.	University of Washington		890821s1976\\\\xx\a\\\\\bm\\\000\0\eng\d	27 leaves			20223430
Model identification for and design effects of liquid-phase mass-transfer rates in packed-bed ion exchange.			"Pan, Shih-hsie."		Ph. D.	University of Washington		890531s1976\\\\xx\a\\\\\bm\\\000\0\eng\d	172 [22] leaves			19786731
Secondary flow near bifurcations at low Reynolds numbers /		by Spiros Vasilios Paras.	"Paras, Spiros Vasilios."		M.S. Ch. E.	University of Washington		790823s1979\\\\xx\a\\\\\bm\\\000\0\eng\d	"vi, 63 leaves :"			5302108
Application of the Galerkin finite element method to viscoelastic fluid flow /		Thomas William Patten.	"Patten, Thomas William."		M.S. Chem. E.	University of Washington		890612s1978\\\\xx\a\\\\\bm\\\000\0\eng\d	138 leaves :			19852167
"Thermodynamic, chemical and engineering studies of the system :"	"cellulose, dimethylsulfoxide and paraformaldehyde /"	by Teresa Kit-Hing Pong.	"Pong, Teresa Kit-Hing."		M.S. Ch. E.	University of Washington		800522s1980\\\\xx\a\\\\\bm\\\000\0\eng\d	"xvii, 198, [1] leaves :"			6347550
The effect of surface active agents on the performance of sieve tray distillation columns /		by Michael James Rea.	"Rea, Michael James."		M.S. Ch. E.	University of Washington	1981	810609s1981\\\\xx\a\\\\\bm\\\000\0\eng\d	"ix, 121 leaves :"			7487391
Ultrafiltration and characterization of Red Alder and Cottonwood organosolv lignins /		by Ninoska Alejandra Rockwood.	"Rockwood, Ninoska Alejandra."		M.S. Ch. E.	University of Washington		800522s1980\\\\xx\a\\\\\bm\\\000\0\eng\d	"x, 162 leaves :"			6348982
Adsorption of proteins from artificial tear solution and oxygen transport studies on copolymer contact lens materials /		"by Frederick Henry Royce, Jr."	"Royce, Frederick Henry."		M.S. Ch. E.	University of Washington	1981	811201s1981\\\\xx\a\\\\\bm\\\000\0\eng\d	"xi, 145 leaves :"			7963827
The chemical kinetics of large alkyl radicals /		Robert Tanner Ruggeri.	"Ruggeri, Robert Tanner."		Ph. D.	University of Washington		890516s1978\\\\xx\a\\\\\bm\\\000\0\eng\d	244 leaves :			19712489
An investigation of condensation heat transfer in a closed tube containing a soluble noncondensable gas.			"Saaski, Elric W."		M.S. Ch. E.	University of Washington		890516s1976\\\\xx\a\\\\\bm\\\000\0\eng\d	79 leaves			19712465
The effects of surface properties on initial platelet adhesion in vitro /		by Robert Stephen Schaffnit.	"Schaffnit, Robert Stephen."		M.S. Ch. E.	University of Washington		890515s1978\\\\xx\a\\\\\bm\\\000\0\eng\d	"viii, 104 leaves :"			19706756
The effect of surfactants on the efficiency of distillation equipment /		by Randy Schmidt.	"Schmidt, Randy."		M.S. Ch. E.	University of Washington		800522s1980\\\\xx\a\\\\\bm\\\000\0\eng\d	"viii, 141 leaves :"			6349072
Effect of particle size and importance of other variables :	a statistical experimental design to study the plasma pyrolysis of lignin /	by John Stephen Slottee.	"Slottee, John Stephen."		M.S. Ch. E.	University of Washington	1980	810206s1980\\\\xx\a\\\\\bm\\\000\0\eng\d	"ix, 146 leaves :"			7108823
Stability of sparingly soluble monolayers at the air-water interface.			"Smith, Richard Doyle."		Ph. D.	University of Washington		890522s1977\\\\xx\a\\\\\bm\\\000\0\eng\d	299 leaves			19745822
Immobilization of chloroperoxidase by the jack-in-the-box technique /		by Jean Dolores Somers.	"Somers, Jean Dolores."		M.S. Ch. E.	University of Washington		890522s1978\\\\xx\a\\\\\bm\\\000\0\eng\d	"vii, 105 leaves :"			19745867
A thermodynamic model for solvating solutions with physical interactions /		by Eugene Edward Spala.	"Spala, Eugene Edward."		M.S. Ch. E.	University of Washington		800805s1980\\\\xx\a\\\\\bm\\\000\0\eng\d	"v, 100 leaves :"			6588884
"The vapor phase deposition, polymerization, and surface characterization of methyltrimethoxysilane and 3-chloropropyltrimethoxysilane on a glass substrate /"		"by John Joseph Swalec, Jr."	"Swalec, John Joseph."		M.S. Ch. E.	University of Washington	1981	811029s1981\\\\xx\a\\\\\bm\\\000\0\eng\d	"xii, 225 leaves :"			7890176
A modeling of phase equilibria in the system Mg0-S0₂-H₂0 /		by Earl Yoshio Takenaka.	"Takenaka, Earl Yoshio."		M.S. Ch. E.	University of Washington		890516s1978\\\\xx\a\\\\\bm\\\000\0\eng\d	"xii, 206 leaves :"			19712543
The effect of concentration profiles on the breakup of a capillary jet undergoing mass transfer.			"Tarr, Larry E."		M.S. Ch. E.	University of Washington		920330s1976\\\\xx\a\\\\\bm\\\000\0\eng\d	85 leaves			25560947
Mass transfer characteristics of the cellular layer spearating bone from blood /		by David Charles Trumbore.	"Trumbore, David Charles,1950-"			University of Washington		890821s1979\\\\xx\a\\\\\bm\\\000\0\eng\d	"xii, 214 leaves :"			20223359
Tar formation kinetics in Washington coal pyrolysis /		by Michael Alan Ulowetz.	"Ulowetz, Michael Alan."		M.S. Ch. E.	University of Washington		800409s1979\\\\xx\a\\\\\bm\\\000\0\eng\d	"ix, 209 leaves :"			6183039
Hemoglobin modification by extracorporeal treatment.			"Uvelli, David Albert."		Ph. D.	University of Washington		890513s1976\\\\xx\a\\\\\bm\\\000\0\eng\d	190 leaves			19703790
Studies of the immobilization of [alpha]-chymotrypsin on 2-hydroxyethylmethacrylate-methacrylic acid hydrogels and the kinetics of a tubular immobilized [alpha]-chymotrypsin reactor.			"Venkataraman, Subramaniam."		Ph. D.	University of Washington		920710s1976\\\\xx\a\\\\\bm\\\000\0\eng\d	176 leaves			26172249
The effect of a controlled shear stress on cellular adhesion to biomaterials /		by John Joseph Waldburger.	"Waldburger, John Joseph."		M.S. Ch. E.	University of Washington		890821s1979\\\\xx\a\\\\\bm\\\000\0\eng\d	"vii, 89 leaves :"			20223370
Interactions of bovine fibrinogen and whole blood plasma with methacrylate copolymers having surfaces of varying hydrophilicity.			"Weathersby, Paul Kirby."		Ph. D.	University of Washington		890821s1976\\\\xx\a\\\\\bm\\\000\0\eng\d	168 leaves			20223653
Heat transfer in the degradation of lignin in a microwave induced plasma /		by Deborah Jane Wiggins.	"Wiggins, Deborah Jane."		M.S. Ch. E.	University of Washington		800317s1979\\\\xx\a\\\\\bm\\\000\0\eng\d	"viii, 158 leaves :"			6096507
Evaluation of soil additives for frost heave prevention /		by David Leon Wilkinson.	"Wilkinson, David Leon."		M.S. Ch. E.	University of Washington	1981	810819s1981\\\\xx\a\\\\\bm\\\000\0\eng\d	"ix, 171 leaves :"			7681360
Thermal degradation of lignin in tetralin /		by Philip Winslow.	"Winslow, Philip."		M.S. Ch. E.	University of Washington		890516s1978\\\\xx\a\\\\\bm\\\000\0\eng\d	"ix, 96 leaves :"			19712571
Frozen sample electron microscopy of collapsing monolayers /		by Lawrence Dean Wong.	"Wong, Lawrence Dean."		M.S. Ch. E.	University of Washington		890516s1979\\\\xx\a\\\\\bm\\\000\0\eng\d	"x, 116 leaves :"			19712594
Microwave pyrolysis of organic material.			"Work, Donald Wesley."		M.S. Ch. E.	University of Washington		890513s1977\\\\xx\a\\\\\bm\\\000\0\eng\d	98 leaves			19703808
Dispersed controlled release formulations.			"Yahiaoui, Amar."		M.S. Ch. E.	University of Washington		890513s1976\\\\xx\a\\\\\bm\\\000\0\eng\d	84 leaves			19703797
Processing and characterization studies of poly(ether-ether-ketone) (PEEK) matrix composites /		by Carla Ahlstrom.	"Ahlstrom, Carla."		M.S. Ch. E.	University of Washington	1987	880226s1987\\\\xx\a\\\\\bm\\\000\0\eng\d	"x, 147 leaves :"			17543351
Glucose-sensitive membranes for the controlled release of insulin /		by Gary Albin.	"Albin, Gary."		Ph. D.	University of Washington	1987	880609s1987\\\\xx\a\\\\\bm\\\000\0\eng\d	"vi, 150 leaves :"			18062318
Fermentation of pentoses and hexoses from spent sulfite pulping liquor :	potential for genetic engineering applications /	by Mark Phillip Backer.	"Backer, Mark Phillip."		Ph. D.	University of Washington	1985	860212s1985\\\\xx\a\\\\\bm\\\000\0\eng\d	"iv, 316 leaves :"			13144615
Electrosteric stabilization :	the dynamics of polymer adsorption at charged interfaces and implications for dispersion stability /	by James Allen Baker.	"Baker, James Allen."		Ph. D.	University of Washington	1987	870709s1987\\\\xx\a\\\\\bm\\\000\0\eng\d	"xix, 393 leaves :"			16151579
CO detection by the photo-impedance response of semiconductor sensor films /		by Joseph Arthur Belko.	"Belko, Joseph Arthur."		M.S. Ch. E.	University of Washington	1982	820714s1982\\\\xx\a\\\\\bm\\\000\0\eng\d	"ix, 83 leaves :"			8600036
Characterization of cellular adhesive and motile behavior on homogeneous and heterogeneous artificial surfaces /		by Mark Everett Blaylock.	"Blaylock, Mark E.(Mark Everett)"		M.S. Ch. E.	University of Washington	1984	841024s1984\\\\xx\af\\\\bm\\\000\0\eng\d	"174 leaves, 30 unnumbered leaves of plates :"			11302823
The effects of selected additives on the pyrolysis of large wood particles /		by William Scott Bousman.	"Bousman, William Scott."		M.S. Ch. E.	University of Washington	1986	861217s1986\\\\xx\a\\\\\bm\\\000\0\eng\d	"viii, 155 leaves :"			14986913
Surface ion modeling :	nitric acid/water coadsorption on the Ag (110) surface /	by Charles C. Brown.	"Brown, Charles C."		M.S. Ch. E.	University of Washington	1988	890307s1988\\\\xx\a\\\\\bm\\\000\0\eng\d	"iv, 56 leaves :"			19319811
The role of heat and mass transfer on the deactivation of catalysts for the steam reforming of biomass gas /		by Michael David Brown.	"Brown, Michael David."		M.S. Ch. E.	University of Washington	1986	860923s1986\\\\xx\a\\\\\bm\\\000\0\eng\d	"v, 95 leaves :"			14254536
The development and surface characterization of a model polyurethane /		by William Lowell Brown.	"Brown, William Lowell."		M.S. Ch. E.	University of Washington	1983	840328s1983\\\\xx\a\\\\\bm\\\000\0\eng\d	"viii, 137 leaves :"			10569496
Quantification of iron corrosion and copper pulse plating using piezoelectric quartz crystals /		by Mark Fredrick Buehler.	"Buehler, Mark Fredrick."		M.S. Ch. E.	University of Washington	1986	861217s1986\\\\xx\a\\\\\bm\\\000\0\eng\d	"xi, 120 leaves :"			14985262
The spreading of oil films on water in the surface tension regime /		by David W. Camp.	"Camp, David W."		Ph. D.	University of Washington	1985	850617s1985\\\\xx\a\\\\\bm\\\000\0\eng\d	"xii, 192 leaves :"			12164940
Electric field and surfactant effects on mass transfer to drops /		by Thomas Edward Carleson.	"Carleson, Thomas Edward."		Ph. D.	University of Washington	1982	820813s1982\\\\xx\a\\\\\bm\\\000\0\eng\d	"vii, 241 leaves :"			8685125
Analysis of chemical and physical processes during the pyrolysis of large biomass pellets /		by Wai-chun Ricky Chan.	"Chan, Wai-chun Ricky."		Ph. D.	University of Washington	1983	830523s1983\\\\xx\a\\\\\bmt\\000\0\eng\d	"x, 197 leaves :"		http://hdl.handle.net/1773/9844;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:8312128	9535970
Electric field and capillary effects on drop circulation and mass transfer /		by Loto Shen-lun Chang.	"Chang, Loto Shen-lun."		Ph. D.	University of Washington	1983	831129s1983\\\\xx\a\\\\\bm\\\000\0\eng\d	"xii, 134 leaves :"		http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:8326859	10168185
Light scattering studies of surfactant structures in colloidal solutions /		by Nien-Yuan James Chang.	"Chang, Nien-Yuan James."		Ph. D.	University of Washington	1986	861217s1986\\\\xx\a\\\\\bm\\\000\0\eng\d	"xxi, 182 leaves :"			14985269
Use of linear quadratic and quadratic programming methods in model-based process control /		by Chun-Min Cheng.	"Cheng, Chun-Min."		Ph. D.	University of Washington	1986	861217s1986\\\\xx\a\\\\\bmt\\000\0\eng\d	"viii, 171 leaves :"		http://hdl.handle.net/1773/9814	14986920
The adaptation of polystyrene to cell culture by deposition of radio frequency plasma polymerized thin films /		by Joseph Andrew Chinn.	"Chinn, Joseph Andrew."		M.S. Ch. E.	University of Washington	1986	860312s1986\\\\xx\a\\\\\bm\\\000\0\eng\d	"xi, 134 leaves :"			13287949
Engineering of improved blood compatible surfaces /		by Mark H. Chopper.	"Chopper, Mark H."		M.S. Ch. E.	University of Washington	1985	850617s1985\\\\xx\a\\\\\bm\\\000\0\eng\d	90 leaves :			12164970
Heat transfer of a variable property turbulent fluid to a colder pipe wall /		by Shang-Woo Chyou.	"Chyou, Shang-Woo."		Ph. D.	University of Washington	1987	870313s1987\\\\xx\a\\\\\bm\\\000\0\eng\d	"xviii, 187 leaves :"			15312257
Electrodics of a transparent semiconductor cathode for use in a liquid junction solar cell /		by Raymond H. Colton.	"Colton, Raymond H."		M.S. Ch. E.	University of Washington	1982	820820s1982\\\\xx\a\\\\\bm\\\000\0\eng\d	"vii, 89 leaves :"			8705708
The effects of process variations on transverse matrix cracking in high performance composites /		by Brian Coxon.	"Coxon, Brian."		M.S. Ch. E.	University of Washington	1988	890307s1988\\\\xx\a\\\\\bm\\\000\0\eng\d	"xv, 164 leaves :"			19319858
Particle size distributions for dense ceramic suspensions /		by Kenneth Peter Darcovich.	"Darcovich, Kenneth Peter."		M.S. Ch. E.	University of Washington	1986	860923s1986\\\\xx\af\\\\bm\\\000\0\eng\d	"v, 113 leaves, 10 unnumbered leaves of plates :"			14254543
Kinetic viscoelasticity of reacting polymer systems /		by Steven H. Dillman.	"Dillman, Steven H.,1961-"		Ph. D.	University of Washington	1988	881104s1988\\\\xx\a\\\\\bm\\\000\0\eng\d	"xvii, 285 leaves :"			18712338
A gas sensor using semiconducting zinc oxide with visible light excitation /		by Eric Steven Dod.	"Dod, Eric Steven."		M.S. Ch. E.	University of Washington	1984	850116s1984\\\\xx\a\\\\\bm\\\000\0\eng\d	"iii, 57 leaves :"			11585707
Simulation and internal model control of multiple effect evaporator systems /		by Virginia Bemmels Erickson.	"Erickson, Virginia Bemmels."		M.S. Ch. E.	University of Washington	1985	850904s1985\\\\xx\a\\\\\bm\\\000\0\eng\d	"iv, 106 leaves :"			12489677
The transient and steady-state response of an anaerobic rotating disc bioreactor in waste-water treatment /		by Colin Christopher Felton.	"Felton, Colin Christopher."		M.S. Ch. E.	University of Washington	1984	840425s1984\\\\xx\a\\\\\bm\\\000\0\eng\d	"iii, 92 leaves :"			10661692
Interactions between surface active components in the promotion and destruction of foams /		by Gregory Charles Frye.	"Frye, Gregory Charles."		Ph. D.	University of Washington	1987	870313s1987\\\\xx\a\\\\\bmt\\000\0\eng\d	"xii, 282 leaves :"		http://hdl.handle.net/1773/9826;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:8706558	15312240
Particle position control and light scattering measurement with the picobalance /		by John Fulton.	"Fulton, John."		M.S. Ch. E.	University of Washington	1985	850904s1985\\\\xx\a\\\\\bm\\\000\0\eng\d	"vii, 80 leaves :"			12489684
Monomer solution processed polyimide matrix composites /		by Neal Benjamin Gallagher.	"Gallagher, Neal Benjamin."		M.S. Ch. E.	University of Washington	1987	870709s1987\\\\xx\a\\\\\bm\\\000\0\eng\d	"x, 171 leaves :"			16151597
The aggregation stability of a vesicular drug delivery system /		by Bruce L. Gamon.	"Gamon, Bruce L."		M.S. Ch. E.	University of Washington	1987	880225s1987\\\\xx\a\\\\\bm\\\000\0\eng\d	61 leaves :			17538526
Transient response of anaerobic water treatment systems /		by Don Mark Gerboth.	"Gerboth, Don Mark."		M.S. Ch. E.	University of Washington	1985	850805s1985\\\\xx\af\\\\bm\\\000\0\eng\d	"vii, 139 leaves, 2 unnumbered leaves of plates :"			12349217
Dynamic wetting of carbon fibers and polymer filaments /		by Joseph Charles Gianotti.	"Gianotti, Joseph Charles."		M.S. Ch. E.	University of Washington	1982	820820s1982\\\\xx\a\\\\\bm\\\000\0\eng\d	"v, 112 leaves :"			8705724
In vitro studies of biodegradation of polyetherurethanes in enzymatic solutions /		by Kristie Werner Gladhill.	"Gladhill, Kristie Werner."		M.S. Ch. E.	University of Washington	1985	851120s1985\\\\xx\a\\\\\bm\\\000\0\eng\d	"vii, 180 leaves :"			12825046
"The prediction of chemical kinetic, heat, and mass transfer processes during the one- and two-dimensional pyrolysis of a large wood pellet /"		by David Scott Glaister.	"Glaister, David Scott."		M.S. Ch. E.	University of Washington	1987	870320s1987\\\\xx\a\\\\\bm\\\000\0\eng\d	"xii, 257 leaves :"			15348938
Calcium localization in rat soleus muscle :	an electron probe X-ray microanalysis study /	by Mark Kimball Goddard.	"Goddard, Mark Kimball."		Ph. D.	University of Washington	1986	861217s1986\\\\xx\af\\\\bm\\\000\0\eng\d	"iii, 109 leaves, 5 unnumbered leaves of plates :"			14985280
Chemical flooding thermodynamics /		by Arthur Gooding.	"Gooding, Arthur."		Ph. D.	University of Washington	1985	850617s1985\\\\xx\a\\\\\bm\\\000\0\eng\d	"xii, 158 leaves :"			12165217
Controlled release technology :	development of a slow release systemic repellent for the protection of tree seedlings from deer /	by David I. Gustafson.	"Gustafson, David I."		Ph. D.	University of Washington	1983	840328s1983\\\\xx\a\\\\\bmt\\000\0\eng\d	"xvii, 229 leaves :"		http://hdl.handle.net/1773/9870	10569415
A theoretical model of the kraft pulping process /		by Richard Roy Gustafson.	"Gustafson, Richard Roy."	Q105702591	Ph. D.	University of Washington	1982	821012s1982\\\\xx\a\\\\\bm\\\000\0\eng\d	"vii, 155 leaves :"			8851639
Deposition of plasma polymerized thin films /		by Yasmeen Haque.	"Haque, Yasmeen."		Ph. D.	University of Washington	1985	850617s1985\\\\xx\a\\\\\bmt\\000\0\eng\d	"vii, 160 leaves :"		http://hdl.handle.net/1773/9848;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:8521598	12165256
Measurement of mass loss during X-ray microanalysis /		by James Gordon Hecker.	"Hecker, James Gordon."		Ph. D.	University of Washington	1982	830106s1982\\\\xx\af\\\\bm\\\000\0\eng\d	"vi, 234 leaves, 22 unnumbered leaves of plates :"			9104391
The role of single fiber wettability in wicking in fiber networks /		by Kevin Thomas Hodgson.	"Hodgson, Kevin Thomas."		Ph. D.	University of Washington	1986	870320s1986\\\\xx\a\\\\\bm\\\000\0\eng\d	"iii, 129 leaves :"			15350946
Hydrocyclone thickening of wood pulp suspensions /		by Keith Leonard House.	"House, Keith Leonard."		M.S. Ch. E.	University of Washington	1982	821015s1982\\\\xx\a\\\\\bm\\\000\0\eng\d	"vi, 127 leaves :"			8862794
The importance of thin films and surfactants in distillation /		by David Kennedy Johnson.	"Johnson, David Kennedy."		Ph. D.	University of Washington	1983	831024s1983\\\\xx\a\\\\\bm\\\000\0\eng\d	"xiii, 167 leaves :"			10049072
Reversion of surfactant vesicles /		by Norman W. Johnson.	"Johnson, Norman W."		M.S. Ch. E.	University of Washington	1985	851120s1985\\\\xx\a\\\\\bm\\\000\0\eng\d	"viii, 172 leaves :"			12825133
The contraction flow of viscoelastic fluids /		by Sue L. Josse.	"Josse, Sue L."		Ph. D.	University of Washington	1986	870320s1986\\\\xx\af\\\\bm\\\000\0\eng\d	"xxxix, 498 leaves, 2 unnumbered leaves of plates :"			15350924
Non-linear internal model control /		by Richard A. Kahlstrom.	"Kahlstrom, Richard A."		Ph. D.	University of Washington	1986	870320s1986\\\\xx\a\\\\\bm\\\000\0\eng\d	"viii, 104 leaves :"			15350950
The effects of moisture content on the pyrolysis of large wood particles /		by Marcia S. Kelbon.	"Kelbon, Marcia S."		M.S. Ch. E.	University of Washington	1983	830823s1983\\\\xx\a\\\\\bm\\\000\0\eng\d	"ix, 116 leaves :"			9836451
Thermal and mechanical characterization of polyetheretherketone (PEEK) /		by Herbert E. Klei.	"Klei, Herbert E."		M.S. Ch. E.	University of Washington	1984	840925s1984\\\\xx\a\\\\\bm\\\000\0\eng\d	"v, 147 leaves :"			11194376
Electrokinetics in concentrated suspensions and porous media /		by Matthew W. Kozak.	"Kozak, Matthew W.,1958-"		Ph. D.	University of Washington	1988	890824s1988\\\\xx\a\\\\\bm\\\000\0\eng\d	"ix, 236 leaves :"			20253248
Dielectric studies of epoxy matrix systems /		by John Lane.	"Lane, John."		M.S. Ch. E.	University of Washington	1984	850509s1984\\\\xx\a\\\\\bm\\\000\0\eng\d	"vi, 128 leaves :"			12014060
Mathematical modeling of coal pyrolysis chemistry /		by Thomas Langer.	"Langer, Thomas."		M.S. Ch. E.	University of Washington	1982	820517s1982\\\\xx\a\\\\\bm\\\000\0\eng\d	"vi, 160 leaves :"			8435229
Stability of polymer flows /		by Keh-Chyang Eric Lee.	"Lee, Keh-Chyang Eric."		Ph. D.	University of Washington	1986	861217s1986\\\\xx\a\\\\\bm\\\000\0\eng\d	"viii, 217 leaves :"			14985303
Advanced composite prepreg processing science /		by Walter J. Lee.	"Lee, Walter J.,1961-"		Ph. D.	University of Washington	1988	881103s1988\\\\xx\a\\\\\bm\\\000\0\eng\d	"xvi, 182 leaves :"			18708045
Titanium surfaces :	"ESCA analysis, protein adsorption, and cell interaction /"	by Patrick Jonathan Lew.	"Lew, Patrick Jonathan."		M.S. Ch. E.	University of Washington	1986	870323s1986\\\\xx\a\\\\\bm\\\000\0\eng\d	"xi, 177 leaves :"			15354548
The effects of polyether segment molecular weight on the bulk and surface morphologies of copolyether-urethane-ureas /		by Khin Ling Liauw.	"Liauw, Khin Ling."		M.S. Ch. E.	University of Washington	1982	821012s1982\\\\xx\a\\\\\bm\\\000\0\eng\d	"xiii, 254 leaves :"			8851663
Modelling the surface velocity distribution on AT-cut piezoelectric quartz crystals for liquid-phase applications /		by Bret Alvey Martin.	"Martin, Bret Alvey."		M.S. Ch. E.	University of Washington	1987	871204s1987\\\\xx\a\\\\\bm\\\000\0\eng\d	"ix, 187 leaves :"			17190671
