245$a	245$b	245$c	100	wikidata	502$b	502$c	502$d	8	300$a	700	856$u	1
Pressure loss and dust collection in venturi scrubbers.			"Gieseke, James Arnold,1936-"		Ph. D.	University of Washington		890620s1963\\\\xx\a\\\\\bm\\\000\0\eng\d	140 leaves			19899019
Electrochemical fuel cells.			"Glockling, Robert J."		M.S. in Chem. E.	University of Washington		890620s1961\\\\xx\a\\\\\bm\\\000\0\eng\d	42 leaves			19897582
Solids motion in a liquid fluidized bed.			"Gordon, Lyle Joseph,1926-"		Ph. D.	University of Washington		890620s1963\\\\xx\a\\\\\bm\\\000\0\eng\d	139 leaves			19898995
A study of the design and analysis of nuclear reactor shields.			"Greenborg, Jess."		M.S. in E.	University of Washington		890620s1962\\\\xx\a\\\\\bm\\\000\0\eng\d	272 leaves			19897836
A power calibration of the University of Washington nuclear reactor.			"Grimes, Brian Kern."		M.S. in E.	University of Washington		890705s1963\\\\xx\a\\\\\bm\\\000\0\eng\d	41 leaves			19960237
Self-diffusion in the consolute region of binary liquid solutions.			"Hales, Jeremy Morgan."		M.S. in Chem. E.	University of Washington		890630s1962\\\\xx\a\\\\\bm\\\000\0\eng\d	93 leaves			19951544
Analog simulation study of steady-state pulsed column operation.			"Halstead, David Warren."		M.S. in Chem. E.	University of Washington		890705s1963\\\\xx\a\\\\\bm\\\000\0\eng\d	50 leaves			19960281
Determination of the Nusselt moduli for NaK flowing through a concentric tube heat exchanger.			"Hawley, John Paul."		M.S. in E.	University of Washington		890630s1961\\\\xx\a\\\\\bm\\\000\0\eng\d	85 leaves			19951507
The effect of acceleration upon film boiling in a pool.			"Heath, C. A.(Colin Arthur)"		M.S. in E.	University of Washington		890630s1962\\\\xx\a\\\\\bm\\\000\0\eng\d	79 leaves			19951469
New production reactor pile gas drying system.			"Helton, James Wilson."		M.S.in E.	University of Washington		890602s1962\\\\xx\a\\\\\bm\\\000\0\eng\d	34 leaves			19804873
Equilibrium studies of the system Fe³-Ca²-H- Dowex 50W-X8.			"Iungerich, Conrad Eldred."		M.S. in Chem. E.	University of Washington		890602s1961\\\\xx\a\\\\\bm\\\000\0\eng\d	106 leaves			19805294
A design for a nuclear reactor random noise analyzer.			"Judy, Charles Denver."		M.S. in E.	University of Washington		890602s1961\\\\xx\a\\\\\bm\\\000\0\eng\d	55 [1] leaf			19805213
"Reaction kinetics, adsorption, and equilibrium in the vapor phase dehydration of ethanol to diethyl ether as catalyzed by ion exchange resin."			"Kabel, Robert Lynn,1932-"		Ph. D.	University of Washington		890602s1961\\\\xx\a\\\\\bm\\\000\0\eng\d	454 leaves		http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:6103991	19805902
A study of the reaction of chlorine dioxide with lignin model compounds.			"Knight, James Tillman."		M.S. in Chem. E.	University of Washington		890608s1963\\\\xx\a\\\\\bm\\\000\0\eng\d	49 leaves			19834274
An analysis of the shield design for the 10-kw University of Washington reactor.			"Kolesar, Donald Clifford."		M.S. in E.	University of Washington		890622s1960\\\\xx\a\\\\\bm\\\000\0\eng\d	170 leaves			19909526
Single particle studies on equilibrium and kinetics in the system Ba-Na-Dowex 50W.			"Kuo, James Cheng-wu."		M.S. in Chem. E.	University of Washington		890622s1961\\\\xx\a\\\\\bm\\\000\0\eng\d	110 leaves			19909872
A Monte Carlo calculation of the gamma ray dose rate from the University of Washington nuclear reactor.			"Layno, Salvador Blanco,1931-"		M.S. in E.	University of Washington		890717s1962\\\\xx\a\\\\\bm\\\000\0\eng\d	94 leaves			20019747
Shielding requirements for an aircraft nuclear power plant.			"Leon, Harry Irving."		M.S. in E.	University of Washington		890622s1960\\\\xx\a\\\\\bm\\\000\0\eng\d	77 leaves			19909654
Radial distribution of gas pockets in fluidized beds.			"Lin, Tong Joe."		M.S. in Chem. E.	University of Washington		890717s1959\\\\xx\a\\\\\bm\\\000\0\eng\d	114 leaves			20019831
Hydrolysis of glycosidic bonds.			"Liu, Joo Ham."		B.S. in Chem. E.	University of Washington		890721s1963\\\\xx\a\\\\\bm\\\000\0\eng\d	38 leaves			20050767
"An investigation of the Perlow spectrometer and its experimental applications in the field of fast neutron spectroscopy,"		"by John Stone Loomis, Jr."	"Loomis, John Stone,1932-"		M.S. in E.	University of Washington		890721s1961\\\\xx\a\\\\\bm\\\000\0\eng\d	139 leaves			20051054
Diffusion studies in the region of the gas-liquid critical point.			"Lord, Gary Evans,1935-"		Ph. D.	University of Washington		890724s1963\\\\xx\a\\\\\bm\\\000\0\eng\d	152 leaves			20057777
