245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Genetic mosaic fate mapping and distribution truncation techniques for the study of Drosophila melanogaster and its senescene /"		"by James R. Flanagan."	"Flanagan, James R."		"University of Washington"		"890526s1979\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 197 leaves :"			"19768643"
"Studies on translation of the LAC Operon in E. Coli /"		"by Diane Foley."	"Foley, Diane."		"University of Washington"		"790906s1979\\\\xx\af\\\\bm\\\000\0\eng\d"	"vi, 110 leaves, 21 unnumbered leaves of plates :"			"5344749"
"Terminal cross-links in yeast chromosomal DNA /"		"Michael Anthony Forte."	"Forte, Michael Anthony."	"Ph. D."	"University of Washington"		"890526s1978\\\\xx\a\\\\\bm\\\000\0\eng\d"	"89 leaves :"			"19768251"
"The relationship of acquired chromosomal abnormalities to malignancy and autoimmunity in New Zealand black mice."			"Friedman, Jan Marshall."	"Ph. D."	"University of Washington"		"890512s1977\\\\xx\a\\\\\bm\\\000\0\eng\d"	"89 leaves"			"19697690"
"On the components of segregation distortion in Drosophila melanogaster."			"Ganetzky, Barry Stuart."	"Ph. D."	"University of Washington"		"890526s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"86 leaves"			"19768287"
"Studies of heterochromatin of Drosophila melanogaster /"		"by Jeffrey Sherman Haemer."	"Haemer, Jefferey Sherman."		"University of Washington"		"890510s1978\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 114 leaves :"			"19687636"
"RNA polymerase and transcription factors from T4-infected Escherichia coli."			"Hager, Gordon Lee,1942-"	"Ph. D."	"University of Washington"		"890510s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"124 leaves"			"19687265"
"The role of the RC gene product in translation in Escherichia coli."			"Hall, Barry Gordon,1942-"	"Ph. D."	"University of Washington"		"890510s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"83 leaves"			"19687450"
"Age-dependent enzyme changes in Drosophila melanogaster."			"Hall, Jeffrey C."	"M.S."	"University of Washington"		"890510s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"51 leaves"			"19687221"
"Genetic analysis of two alleles of a recombination-deficient mutant in Drosophila melanogaster."			"Hall, Jeffrey C."	"Ph. D."	"University of Washington"		"890510s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"129 leaves"			"19687323"
"The genetic regulation of hemoglobin synthesis."			"Hall, Judith Goslin."	"M.S."	"University of Washington"		"890630s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"43 [3] leaves"			"19950732"
"Chromosomal sites necessary for normal levels of recombination in Drosophila melanogaster females /"		"by Robin Scott Hawley."	"Hawley, Robin Scott."		"University of Washington"		"791029s1979\\\\xx\f\\\\\bm\\\000\0\eng\d"	"vi, 96 leaves, 11 unnumbered leaves of plates "			"5620556"
"Breakage of the Escherichia coli chromosome during inhibition of DNA replication."			"Hill, Walter Ernest,1945-"	"Ph. D."	"University of Washington"		"890522s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"140 leaves"			"19745323"
"Perithecia development and pattern formation in Neurospora crassa."			"Johnson, Thomas Eugene."	"Ph. D."	"University of Washington"		"890515s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"197 leaves"			"19704173"
"Genetic control of basal levels of alkaline phosphatase in Escherichia coli."			"Jones, Theodore Charles Reid,1939-"	"Ph. D."	"University of Washington"		"890615s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"97 leaves"			"19873804"
"Studies at the isoleucine locus in Saccharomyces."			"Kakar, Satya Narain,1933-"	"Ph. D."	"University of Washington"		"890622s1961\\\\xx\a\\\\\bmt\\000\0\eng\d"	"125 leaves"		"http://hdl.handle.net/1773/10287;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:6202084"	"19910179"
"Karyotypic instability and carbon source effects in cell cycle mutants of Saccharomyces cerevisiae /"		"by Glenn Hitoshi Kawasaki."	"Kawasaki, Glenn Hitoshi."		"University of Washington"		"791030s1979\\\\xx\f\\\\\bm\\\000\0\eng\d"	"x, 170 leaves, 13 unnumbered leaves of plates "			"5624966"
"Studies of single stranded DNA in meiosis of Saccharomyces cerevisiae."			"Klein, Hannah Leah."	"Ph. D."	"University of Washington"		"890515s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"156 leaves"			"19704183"
