245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Analysis and production of Look homeward, angel /"		"Bradford Andrew Gromelski."	"Gromelski, Brad."	"M.A."	"University of Washington"	"1966"	"890613s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"203 leaves :"	"Wolfe, Thomas,1900-1938.Look homeward, angel."		"19860080"
"Producing the queen and the rebels."			"Hagar, Gary Edward."	"M.A."	"University of Washington"		"890630s1964\\\\xx\a\\\\\bm\\\000\0\eng\d"	"126 leaves"			"19951014"
"Arthur Hopkins: a theatrical biography."			"Halverson, Bruce Rogness,1944-"	"Ph. D."	"University of Washington"		"890509s1971\\\\xx\a\\\\\bm\\\000\0beng\d"	"214 leaves"			"19680493"
"Moral patterns in the drama of Arthur Miller."			"Harden, Robert Lee."	"M.A."	"University of Washington"		"890509s1969\\\\xx\\\\\\\bm\\\000\0\eng\d"	"94 leaves"			"19680362"
"The plain princess,"		"ed. by Mary Agnes Nicholson."	"Harris, Aurand."	"M.A."	"University of Washington"		"890509s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"103 unnumbered leaves"	"Nicholson, Mary Agnes.;McGinley, Phyllis,1905-1978.Plain princess."		"19680319"
"Lysistrata: a scenic design and its execution in a production."			"Hedges, R. Alan."	"M.A."	"University of Washington"		"890606s1964\\\\xx\a\\\\\bm\\\000\0\eng\d"	"86 leaves"			"19822957"
"A synthesis definition of religious drama."			"Heilsberg, Gary Joe."	"M.A."	"University of Washington"		"890516s1967\\\\xx\\\\\\\bm\\\000\0\eng\d"	"44 leaves"			"19714445"
"Aaron Hill's theory of acting."			"Hepburn, Andrew,1940-"	"Ph. D."	"University of Washington"		"890516s1970\\\\xx\\\\\\\bm\\\000\0\eng\d"	"114 leaves"			"19714636"
"A history of the Washington State Theatre, 1931 to 1941."			"Hewitt, Gloria Ann."	"M.A."	"University of Washington"		"880725s1964\\\\wau\\\\\\m\\\\000\0\eng\d"	"i, 111 leaves"			"18263346"
"The comic forms of Marcel Ayme as demonstrated in Clerambard."			"Hinterberger, John Curt."	"M.A."	"University of Washington"		"890609s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"153 leaves"			"19840901"
"Producing Mrs. Mcthing."			"Hoban, Kathleen Ann."	"M.A."	"University of Washington"		"890613s1967\\\\xx\\\\\\\bm\\\000\0\eng\d"	"110 leaves"			"19860084"
"Directing Cinderella."			"Ingham, Laura Elizabeth."	"M.A."	"University of Washington"		"890606s1966\\\\xx\ad\\\\bm\\\000\0\eng\d"	"92 leaves"			"19822896"
