245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Essays investigating gender and development in rural Ethiopia /"		"Yuta J. Masuda."	"Masuda, Yuta J.,author."	"Ph. D."	"University of Washington"	"2014"	"141208t20142014wauab\\\obm\\s000\0\eng\d"	"1 online resource (viii, 210 pages) :"	"Cook, Joseph H.,degree supervisor."	"http://hdl.handle.net/1773/26394"	"897758269"
"Communication and social action :"	"policy stories in the 2011 King County Metro funding debate /"	"Melanie Maycock."	"Mayock, Melanie,author."	"M. Urban Plan.;M.P.A."	"University of Washington;University of Washington"	"2014;2014"	"150324t20142014waua\\\\obm\\s000\0\eng\d"	"1 online resource (92 pages) :"	"Campbell, Christopher(Christopher David),degree supervisor."	"http://hdl.handle.net/1773/27596"	"905554540"
"Institutions, risk perceptions, and adaptation :"	"exploring behavioral response to climate change in Thailand /"	"Jacqueline Johanna Meijer-Irons."	"Meijer-Irons, Jacqueline Johanna,author."	"Ph. D."	"University of Washington"	"2015"	"150602t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (vii, 119 pages) :"	"Curran, Sara R.,degree supervisor.http://www.wikidata.org/entity/Q104603996"	"http://hdl.handle.net/1773/33056"	"910575308"
"Three essays on labor and government policy in developing countries /"		"Joshua D. Merfeld."	"Merfeld, Joshua D.,author."	"Ph. D."	"University of Washington"	"2018."	"190115t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (viii, 164 numbered, 9 unnumbered pages) :"	"Anderson, C. Leigh,1960-degree supervisor."	"http://hdl.handle.net/1773/42143"	"1082266822"
"Criminal justice policy, race, and the dynamics of admission to prison /"		"Emmi Elizabeth Obara."	"Obara, Emmi Elizabeth,author."	"Ph. D."	"University of Washington"	"2020."	"210319t20202020wauab\\\obm\\s000\0\eng\d"	"1 online resource (4 unnumbered pages, vii, 157 pages) :"	"Allard, Scott W.,degree supervisor."	"http://hdl.handle.net/1773/46337"	"1242437050"
"Institutional determinants of economic and social viability among forestry-based carbon sequestration projects in Sub-Saharan Africa /"		"Travis William Reynolds."	"Reynolds, Travis William."	"Ph. D."	"University of Washington"	"2011"	"120221s2011\\\\xx\ab\\\\bm\\\000\0\eng\d"	"vi, 113 pages :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3485502"	"777685479"
"Threatening messages in climate change communication /"		"Tim Scharks."	"Scharks, Tim,author."	"Ph. D."	"University of Washington"	"2016"	"160728t20162016waua\\\\obm\\s000\0\eng\d"	"1 online resource (vi, 149 pages) :"	"Bostrom, Ann,degree supervisor."	"http://hdl.handle.net/1773/36393"	"954164436"
"Do all of these meetings matter? :"	"three essays concerning the impacts of collaborative watershed governance /"	"Tyler Scott."	"Scott, Tyler,author."	"Ph. D."	"University of Washington"	"2015"	"150608t20152015wauab\\\obm\\s000\0\eng\d"	"1 online resource (iii, 170 pages) :"	"Thomas, Craig W.,degree supervisor."	"http://hdl.handle.net/1773/33055"	"910854553"
"Essays on intertemporal choice under uncertainty /"		"Pradeep Singh."	"Singh, Pradeep,1982-author."	"Ph. D."	"University of Washington"	"2014"	"141216t20142014wauab\\\obm\\s000\0\eng\d"	"1 online resource (135 pages) :"	"Bostrom, Ann,degree supervisor."	"http://hdl.handle.net/1773/26395"	"898190310"
"Too much risk? :"	"public policy, employment, and earnings volatility in Washington State /"	"Hilary Carolyn Wething."	"Wething, Hilary Carolyn,author."	"Ph. D."	"University of Washington"	"2020."	"200908t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (x, 185 pages) :"	"Hill, Heather,1980-degree supervisor."	"http://hdl.handle.net/1773/45778"	"1193568049"
"Childhood income dynamics and adult adiposity /"		"Jason Robert Williams."	"Williams, Jason R.,1970-author."	"Ph. D."	"University of Washington"	"2013."	"140702t20132013waua\\\\obm\\s000\0\eng\d"	"1 online resource (viii, 203 pages) :"	"Plotnick, Robert D.,degree supervisor."	"http://hdl.handle.net/1773/25116"	"882489733"
"Hidden agents :"	"faith-based organizations (FBOs) in the Palestinian territories /"	"Ziyad Zaghrout."	"Zaghrout, Ziyad."	"Ph. D."	"University of Washington"	"2012"	"140411s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (313 pages) :"	"Gugerty, Mary Kay,thesis advisor."	"http://hdl.handle.net/1773/22855"	"876418440"
