245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"A computer morphology of the Old Church Slavonic lexicon."			"Jacobsen, John Melogaard,1934-"	"Ph. D."	"University of Washington"		"890615s1973\\\\xx\a\\\\\bdm\\000\0\eng\d"	"315 leaves"			"19873936"
"A recognition model of Russian morphology /"		"by Irina V. Kominz."	"Kominz, Irina Vladimirovna,1958-"	"Ph. D."	"University of Washington"	"1994"	"950419s1994\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 163 leaves "			"32336349"
"Polyphony of The First circle"	"a study in Solz̆enicyn's affinity with Dostoevskij."		"Krasnow, Wladislaw Georgievich,1937-"	"Ph. D."	"University of Washington"		"890511s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"235 leaves"			"19693062"
"The transplanttion of Gil Blas :"	"problems in the rise of the Russian novel /"	"by Ronald Denis LeBlanc."	"LeBlanc, Ronald Denis."	"Ph. D."	"University of Washington"	"1984"	"840622s1984\\\\xx\\\\\\\bm\\\000\0\eng\d"	"410 leaves "			"10873370"
"The Hilandar Serbian Povest' O Varlaame i Ioasafe /"		"by Maxine Evelyn Lowe Lebo."	"Lebo, Maxine Evelyn Lowe."		"University of Washington"		"790820s1979\\\\xx\\\\\\\bm\\\000\0\eng\d"	"1 volume in 2 (xlv, 654 leaves) "			"5290573"
"A comparative study of middle voice in Koine Greek and reflexive verbs in Old Russian through case grammar description."			"Leddusire, Frank Edward,1934-"	"Ph. D."	"University of Washington"		"890615s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"294 leaves"			"19874514"
"How ""authentic"" was Russian Neo-Classicism? :"	"a re-examination of the sources and dissemination of Classical knowledge and the problem of literary taste /"	"by Hyung-Goo Lee."	"Lee, Hyung-Goo."	"Ph. D."	"University of Washington"	"1995"	"960517s1995\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 233 leaves "		"http://hdl.handle.net/1773/7171"	"34749205"
"The lyric poetry of N.M. Jazykov"	"a periodization using objective criteria."		"Lilly, Ian Kenneth."	"Ph. D."	"University of Washington"		"890615s1977\\\\xx\a\\\\\bm\\\000\0\eng\d"	"170 leaves"			"19873889"
"Discontinuous case in Russian number phrases :"	"an analysis under generalized phrase structure grammar /"	"by Donald Everett Livingston, Jr."	"Livingston, Donald Everett,1961-"	"Ph. D."	"University of Washington"	"1998"	"981120s1998\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 141 leaves "		"http://hdl.handle.net/1773/7159"	"40358982"
"The absent father, the permanent son and the paternal state :"	"patterns of national narrative in the post-totalitarian films of Russia, the Czech Republic, Poland, Spain and Cuba /"	"Brunilda Amarilis Lugo de Fabritz."	"Lugo de Fabritz, Brunilda Amarilis."	"Ph. D."	"University of Washington"	"2001"	"020502s2001\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 275 leaves "		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3022863"	"49709712"
"The lives of the Serbian kings and archbishops by Danilo II :"	"textual history and criticism /"	"by Gordon Lawrence McDaniel."	"McDaniel, Gordon Lawrence,1943-"		"University of Washington"		"800828s1980\\\\xx\\\\\\\bmt\\000\0\eng\d"	"vii, 205 leaves "		"http://hdl.handle.net/1773/7175;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:8026271"	"6663478"
"Iconoclasm or iconography? :"	"responses to the death of the ""other"" in Lev Tolstoy's prose /"	"by Rickie Allen McPeak."	"McPeak, Rickie Allen."	"Ph. D."	"University of Washington"	"1996"	"970821s1996\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 203 leaves "		"http://hdl.handle.net/1773/7162"	"37509765"
"Czech clitic placement /"		"Charles Harvey Mills."	"Mills, Charles Harvey."	"Ph. D."	"University of Washington"	"2004"	"050711s2004\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 116 leaves :"			"60843505"
"The prose works of Vladimir Vojnovič /"		"by Carol Elizabeth Pearce."	"Pearce, Carol Elizabeth."	"Ph. D."	"University of Washington"	"1982"	"830204s1982\\\\xx\\\\\\\bm\\\000\0\eng\d"	"328 leaves "			"9189534"
"A study of the early poetry of Nikolaj Zabolockij."			"Peters, James Franklin."	"Ph. D."	"University of Washington"		"890613s1974\\\\xx\\\\\\\bm\\\000\0\eng\d"	"258 leaves"			"19860647"
"Word association patterns in adult second language learners /"		"by Deborah Piranian."	"Piranian, Deborah."	"Ph. D."	"University of Washington"	"1983"	"830804s1983\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 116 leaves "		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:8319443"	"9777582"
"The syntax of Russian impersonal sentences /"		"by Raymond Mark Preslar."	"Preslar, Raymond Mark."	"Ph. D."	"University of Washington"	"1994"	"950419s1994\\\\xx\\\\\\\bmt\\000\0\eng\d"	"iii, 183 leaves "		"http://hdl.handle.net/1773/7170"	"32336353"
"Searching for the self at the crossroads of Central Asian, Russian and Soviet cultures :"	"the question of identity in the works of Timur Pulatov and Chingiz Aitmatov /"	"by Anthony J. Qualin."	"Qualin, Anthony J."	"Ph. D."	"University of Washington"	"1996"	"980311s1996\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 246 leaves "		"http://hdl.handle.net/1773/7166"	"38585246"
"A syntactic analysis of word formation in Russian with particular emphasis on deverbal nouns."			"Rasch, Barbara Jean Laucher,1947-"	"Ph. D."	"University of Washington"		"890510s1977\\\\xx\a\\\\\bm\\\000\0\eng\d"	"142 leaves"			"19685178"
"A lexicon of morphemes of the Russian language."			"Regier, Phillip John."	"Ph. D."	"University of Washington"		"890613s1973\\\\xx\a\\\\\bm\\\000\0\eng\d"	"2 volumes (503 leaves)"			"19860728"
"It's alive! :"	"grammatical animacy in Russian, Polish, and Czech /"	"by Timothy George Riley."	"Riley, Timothy George."	"Ph. D."	"University of Washington"	"1999"	"991210s1999\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 188 leaves :"		"http://hdl.handle.net/1773/7173;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9924130"	"42974181"
"The artistic vision of Fedor Sologub"	"a study of five major novels."		"Robbins, Kay Louise,1943-"	"Ph. D."	"University of Washington"		"890613s1975\\\\xx\\\\\\\bm\\\000\0\eng\d"	"195 leaves"		"http://hdl.handle.net/1773/7172;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:7528431"	"19860685"
"Pasternak's short fiction and the cultural vanguard /"		"by Larissa Rudova."	"Rudova, Larissa,1953-"	"Ph. D."	"University of Washington"	"1989"	"900525s1989\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 219 leaves "			"21591262"
"Word production in Russian :"	"an examination of nonce words, borrowings, child language, and folk etymology /"	"by Galina Samoukova."	"Samoukova, Galina."	"Ph. D."	"University of Washington"	"1997"	"981020s1997\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 199 leaves "		"http://hdl.handle.net/1773/7169"	"40140517"
"Representations of the prostitute in contemporary Russian literature and film /"		"Emily E. Schuckman."	"Schuckman, Emily E."	"Ph. D."	"University of Washington"	"2008"	"081114s2008\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 344 leaves "		"http://hdl.handle.net/1773/7168;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3318451"	"271719320"
"The Lemko and Slavic palatalizations :"	"an acoustic and perceptual approach to historical phonology /"	"by Geoffrey Joseph Schwartz."	"Schwartz, Geoffrey Joseph."	"Ph. D."	"University of Washington"	"2000"	"010430s2000\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 151 leaves :"		"http://hdl.handle.net/1773/7167;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9983543"	"46845368"
"The works of Kiril Pejchinovich in the 19th century Macedonian awakening /"		"by Michael John Seraphinoff."	"Seraphinoff, Michael."	"Ph. D."	"University of Washington"	"1993"	"940603s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 212 leaves :"			"30543104"
"Sacrificing the intelligentsia :"	"paradigms of spiritual renewal in Bely and Babel /"	"Linda S. Tapp."	"Tapp, Linda S."	"Ph. D."	"University of Washington"	"2000"	"000822s2000\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 353 leaves "		"http://hdl.handle.net/1773/7158;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9964296"	"44854798"
"Constraints on aspectual pairing in the Russian verb /"		"by Edward J. Vajda."	"Vajda, Edward J."	"Ph. D."	"University of Washington"	"1987"	"870327s1987\\\\xx\\\\\\\bm\\\000\0\eng\d"	"100 leaves "		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:8706689"	"15377102"
"A syntactic study of Russian sentences of the type <<Mne nec̆ego delatʹ>> /"		"by Eun Soon Yoon."	"Yoon, Eun Soon,1955-"	"Ph. D."	"University of Washington"	"1989"	"900409s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 136 leaves :"			"21350891"
"The pulse of time :"	"immortality and the word in the poetry of Arsenii Tarkovskii /"	"Sofiya Yuzefpolskaya."	"Yuzefpolskaya, Sofiya."	"Ph. D."	"University of Washington"	"2005"	"060801s2005\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 378 leaves "		"http://hdl.handle.net/1773/7164;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3199795"	"70794193"
