245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Mixture modeling of count data with excess zero-values :"	"an application to dungeness crab catch estimation /"	"Jennifer A. Cahalan."	"Cahalan, Jennifer A."	"M.S."	"University of Washington"	"2002"	"030410s2002\\\\xx\ab\\\\bms\\000\0\eng\d"	"v, 94 leaves :"			"52035128"
"Statistical inference for partially observed Markov population processes /"		"by Sandra N. Catlin."	"Catlin, Sandra N.,1965-"	"Ph. D."	"University of Washington"	"1997"	"980625s1997\\\\xx\a\\\\\bms\\000\0\eng\d"	"vi, 130 pages :"		"http://hdl.handle.net/1773/8940"	"39350074"
"Semiparametric inference based on estimating equations in regression models for two phase outcome dependent sampling /"		"by Nilanjan Chatterjee."	"Chatterjee, Nilanjan,1972-"	"Ph. D."	"University of Washington"	"1999"	"991021s1999\\\\xx\a\\\\\bms\\000\0\eng\d"	"viii, 122 leaves :"		"http://hdl.handle.net/1773/8959;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9936377"	"42677445"
"Additive mixture models for multichannel image data /"		"by Kingshuk Roy Choudhury."	"Choudhury, Kingshuk Roy,1970-"	"Ph. D."	"University of Washington"	"1998"	"990629s1998\\\\xx\a\\\\\bms\\000\0\eng\d"	"ix, 112 pages :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9907952"	"41625857"
"Wavelet-based estimation for trend contaminated long memory processes /"		"Peter Francis Craigmile."	"Craigmile, Peter F.,1974-"	"Ph. D."	"University of Washington"	"2000"	"010529s2000\\\\xx\a\\\\\bms\\000\0\eng\d"	"xv, 171 pages :"		"http://hdl.handle.net/1773/8967;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9995358"	"47030809"
"Global covariance modeling :"	"a deformation approach to anisotropy /"	"Barnali Das."	"Das, Barnali,1971-"	"Ph. D."	"University of Washington"	"2000"	"010418s2000\\\\xx\a\\\\\bms\\000\0\eng\d"	"xi, 150 pages :"		"http://hdl.handle.net/1773/8955;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9983468"	"46773134"
"Assessing the detrended fluctuation analysis method of estimating the Hurst coefficient /"		"Nathaniel B. Derby."	"Derby, Nathaniel B."	"M.S."	"University of Washington"	"2004"	"050405s2004\\\\xx\a\\\\\bms\\000\0\eng\d"	"vi, 74 pages :"			"58802390"
"Additive principal components :"	"a method for estimating additive constraints with small variance from multivariate data /"	"by Deborah J. Donnell."	"Donnell, Deborah J."	"Ph. D."	"University of Washington"	"1987"	"880224s1987\\\\xx\a\\\\\bms\\000\0\eng\d"	"viii, 155 leaves :"			"17534743"
"Maximum likelihood estimation in Gaussian AMP chain graph models and Gaussian ancestral graph models /"		"Mathias Drton."	"Drton, Mathias,1975-"	"Ph. D."	"University of Washington"	"2004"	"041123s2004\\\\xx\a\\\\\bms\\000\0\eng\d"	"v, 85 pages :"		"http://hdl.handle.net/1773/8952;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3131148"	"57029686"
"Exploratory methods for censored data /"		"by Robert Clifford Gentleman."	"Gentleman, Robert,1959-"	"Ph. D."	"University of Washington"	"1988"	"900108s1988\\\\xx\a\\\\\bms\\000\0\eng\d"	"viii, 146 leaves :"			"20861778"
"Likelihood and exponential families /"		"by Charles J. Geyer."	"Geyer, Charles J.(Charles James),1946-"	"Ph. D."	"University of Washington"	"1990"	"910204s1990\\\\xx\a\\\\\bms\\000\0\eng\d"	"ix, 150 leaves :"			"23058257"
"A Bayesian framework and importance sampling methods for synthesizing multiple sources of evidence and uncertainty linked by a complex mechanistic model /"		"by Geof H. Givens."	"Givens, Geof H."	"Ph. D."	"University of Washington"	"1993"	"940510s1993\\\\xx\a\\\\\bms\\000\0\eng\d"	"xii, 157 leaves :"			"30414418"
