245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"The development and cost of municipal operation of the Seattle street railways ..."			"Purdy, Harry L.(Harry Leslie),1901-1974."	"M.A."	"University of Washington"		"890626s1938\\\\xx\a\\\\\bm\\\000\0\eng\d"	"68 leaves"			"19924186"
"Seattle's A.F. of L. - C.I.O war of the warehousemen ..."			"Prouty, Herbert Clay."	"M.A."	"University of Washington"		"890622s1938\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 136 leaves"			"19908824"
"The history of Seattle real estate bonds from 1920 to 1938 ..."			"Klise, Eugene Storm,1908-"	"M.A."	"University of Washington"		"890606s1939\\\\xx\ad\\\\bm\\\000\0\eng\d"	"165 leaves"			"19823630"
"A manual for teachers of first year bookkeeping ..."			"Hubbell, Monroe Harman."	"M.A."	"University of Washington"		"890613s1939\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ix, 121 leaves"			"19860269"
"Keynesian economics: a synthesis ..."			"Timlin, Mabel Frances."	"Ph. D."	"University of Washington"		"890714s1940\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 326 leaves, 1 leaf including diagrams"			"20006988"
"Experience rating in unemployment compensation with especial reference to the state of Washington ..."			"Hogan, Thomas Elfred."	"M.A."	"University of Washington"		"890623s1940\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 94 leaves"			"19914857"
"Canadian exchange control in wartime, 1939 to 1941 ..."			"Veitch, William Fairful."	"M.A."	"University of Washington"		"890711s1941\\\\xx\\\\\\\bm\\\000\0\eng\d"	"185 leaves"			"19989603"
"Organized labor and the Negro in Seattle ..."			"Pitts, Robert Bedford."	"M.A."	"University of Washington"		"890620s1941\\\\xx\\\\\\\bm\\\000\0\eng\d"	"116 leaves"			"19900475"
"Organized labor and the Negro in Seattle /"		"by Robert Bedford Pitts."	"Pitts, Robert Bedford,author."	"M.A."	"University of Washington"		"150806s1941\\\\wau\\\\\obm\\s000\0\eng\d"	"1 online resource (116 leaves)"		"http://hdl.handle.net/1773/23906"	"916091454"
"An historical and theoretical analysis of excess profits taxation in the United States."			"Zettel, Richard M."	"M.A."	"University of Washington"		"890628s1942\\\\xx\\\\\\\bm\\\000\0\eng\d"	"289 leaves"			"19935801"
"Introduction to the economic and labor history of western Washington ..."			"Watt, John Reid."	"M.A."	"University of Washington"		"890713s1942\\\\xx\b\\\\\bm\\\000\0\eng\d"	"209 leaves"			"20002718"
"Personnel administration in the Pacific Northwest ..."			"Sutermeister, Robert Arnold."				"901101s1942\\\\xx\ak\\\\bm\\\000\0\eng\d"	"151 leaves"			"22616233"
"Accounting for counties in the state of Washington ..."			"Schindler, James Schwartz."	"M.A."	"University of Washington"		"890615s1942\\\\xx\\\\\\\bm\\\000\0\eng\d"	"123 leaves"			"19873955"
"Purchasing power and capital formation ..."			"Mason, William Edwin."	"M.A."	"University of Washington"		"890616s1942\\\\xx\a\\\\\bm\\\000\0\eng\d"	"359 leaves"			"19879966"
"Development of credit unions in the state of Washington ..."			"Jenkins, Lloyd Arthur."	"M.A."	"University of Washington"		"890616s1942\\\\xx\\\\\\\bm\\\000\0\eng\d"	"218 leaves"			"19879922"
"A study of the development of the berry, fruit and vegetable canning industry in Washington, 1900-1938 ..."			"James, John,1911-"	"M.A."	"University of Washington"		"890619s1942\\\\xx\ab\\\\bm\\\000\0\eng\d"	"173 leaves"			"19888870"
"Government aid to Canadian agriculture to 1930"	"an historical introduction ..."		"Fowke, Vernon Clifford."	"Ph. D."	"University of Washington"		"890622s1942\\\\xx\\\\\\\bm\\\000\0\eng\d"	"351 leaves"			"19910611"
"The Grand Canal and the collection of grain tribute revenue in the Chʻing dynasty (1644-1912) ..."			"Chinn, Grace."	"M.A."	"University of Washington"		"890803s1942\\\\xx\\\\\\\bm\\\000\0\eng\d"	"140 leaves"			"20117257"
"Manufacturing in Snohomish County ..."			"Bollinger, Wendell La Mar,1916-"	"M.A."	"University of Washington"		"890615s1942\\\\xx\a\\\\\bm\\\000\0\eng\d"	"177 leaves"			"19873332"
"Some social and economic aspects of the federal debt in the post war period ..."			"Rowlands, Kirk Osborn."	"M.B.A."	"University of Washington"		"890605s1943\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 148 leaves"			"19815918"
"Farm wage earners in Washington ..."			"Morton, Gordon Elwood."				"901210s1943\\\\xx\a\\\\\bm\\\000\0\eng\d"	"104 numb leaves"			"22831848"
"Argentina's world trade:"	"special emphasis on inter-American trade ..."		"Groke, Paul Otto."	"M.B.A."	"University of Washington"		"890612s1943\\\\xx\a\\\\\bm\\\000\0\eng\d"	"144 leaves"			"19851441"
"The economy and trade of Brazil ..."			"Evans, Richard Borel."	"M.B.A."	"University of Washington"		"890706s1943\\\\xx\ad\\\\bm\\\000\0\eng\d"	"v, 188 leaves"			"19965723"
"Federal budgetary policy ..."			"Thayer, Ralph Ira."	"M.A."	"University of Washington"		"890713s1944\\\\xx\\\\\\\bm\\\000\0\eng\d"	"160 leaves"			"20002811"
"Problems of post war exchange stabilization with special reference to the Keynes and Morgenthau proposals ..."			"Norris, Frank Daniel."	"M.A."	"University of Washington"		"890713s1944\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 129 leaves"			"20002886"
"Gold movements and the gold standard in the inter-war era ..."			"Wardall, Cedric Marshall."	"M.B.A."	"University of Washington"		"890711s1945\\\\xx\a\\\\\bm\\\000\0\eng\d"	"276 leaves"			"19989624"
"A study of price control as an element in the control of inflation,"	"the Office of price administration during World War II ..."		"Schaefer, Marian Gilberta."	"M.B.A."	"University of Washington"		"890706s1947\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 75 leaves"			"19965715"
"Alaska fishermen and the anti-trust laws ..."			"Montes, Felix Anton."				"930721s1947\\\\xx\abf\\\blm\\000\0\eng\d"	"6 preliminary leaves, 111 leaves"			"28482791"
"Current corporate income reporting procedure ..."			"Mehling, Jacob George."				"901210s1947\\\\xx\a\\\\\bm\\\000\0\eng\d"	"6 preliminary leaves, 128 leaves"			"22831851"
"Collective bargaining by the Seattle newspaper circulation workers ..."			"Condon, Justin Jerome."	"M.A."	"University of Washington"		"890622s1947\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 145 leaves"			"19910939"
"A proposal for the reorganization of the security markets in China ..."			"Zhang, Zhongli."	"M.A."	"University of Washington"		"890803s1948\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 141 leaves"			"20117304"
"Physiocratism in ancient China ..."			"Yu, Teng-Pin,1920-"	"M.A."	"University of Washington"		"890628s1948\\\\xx\\\\\\\bm\\\000\0\eng\d"	"x, 126 leaves"			"19935814"
"China's banking developments under inflation ..."			"WU, Ibson."	"M.A."	"University of Washington"		"890711s1948\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 145 leaves"			"19989644"
"The possible sources of capital supply for China's economic development ..."			"Wang, Tso-Yung."	"M.A."	"University of Washington"		"890711s1948\\\\xx\ab\\\\bm\\\000\0\eng\d"	"iv, 106 leaves"			"19989665"
"The taxation of capital gains in the federal income tax ..."			"Thompson, Donald Edward."	"M.A."	"University of Washington"		"890713s1948\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 187 leaves"			"20002959"
"Labor relations in the Grays Harbor lumber industry ..."			"Parks, Paul William."	"M.A."	"University of Washington"		"890622s1948\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 109 leaves"			"19909112"
"The changing nature of trust investments with special reference to the State of Washington ..."			"Metzger, Judith."				"910109s1948\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 146 leaves"			"22940940"
"A study of workers' family budgets ..."			"Larrowe, Charles Patrick."	"M.A."	"University of Washington"		"890622s1948\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 200 leaves"			"19911402"
"A study of the operation of International Monetary Fund from its establishment to June 20, 1948."			"Ho, Tsu-Lin."	"M.A."	"University of Washington"		"890726s1948\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 99 leaves"			"20073558"
"Port charges in Pacific Coast ports ..."			"Hardt, John Pearce."	"M.A."	"University of Washington"		"890622s1948\\\\xx\af\\\\bm\\\000\0\eng\d"	"iii, 117 leaves including plates, tables (1 folded), diagrams"			"19911027"
"Employer association development in Seattle and vicinity /"		"by Warren Stanley Gramm."	"Gramm, Warren Stanley."	"M.A."	"University of Washington"	"1948"	"881104s1948\\\\xx\\\\\\\bm\\\000\0\eng\d"	"vii, 132 leaves "			"18710386"
"China's postwar foreign exchange policy ..."			"Fei, Edward."	"M.A."	"University of Washington"		"890613s1948\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 110 leaves"			"19860534"
"An opinion survey of employment agencies ..."			"Cooke, Allan Van Dyke."	"M.A."	"University of Washington"		"890622s1948\\\\xx\a\\\\\bm\\\000\0\eng\d"	"i, 139 leaves"			"19911001"
"The development of railroads in the state of Washington, 1860 to 1948 ..."			"Cheever, Bruce Bissell."	"M.A."	"University of Washington"		"890803s1948\\\\xx\b\\\\\bm\\\000\0\eng\d"	"vi, 225 leaves"			"20117339"
"The Shanghai money market ..."			"Chao, Ching Hsi."	"M.A."	"University of Washington"		"890803s1948\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 182 leaves"			"20117270"
"Break-even charts and analyses ..."			"Burke, Brian E.(Brian Edward),1915-"	"M.A."	"University of Washington"		"890803s1948\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 85 leaves"			"20117352"
"Protection of consumers against misrepresentation under the Federal Trade Commission Act ..."			"Birnbaum, Hilde Merzbach,1909-2003."	"M.A."	"University of Washington"		"890615s1948\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 204 leaves"			"19873925"
"The development of the sterling area and its relationship to the International monetary fund ..."			"Amouzegar, Jahangir."	"M.A."	"University of Washington"		"890622s1948\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 107 leaves"			"19909141"
