245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Level crossing measurements in the 5³P₁ state of ¹⁰⁵Cd, ¹¹¹mCd, and ¹¹⁵mCd."			"Geelhood, Bruce Douglas."	"Ph. D."	"University of Washington"		"890517s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"168 leaves"			"19717576"
"Radiative corrections to muon-electron scattering."			"Geren, William Preston."	"Ph. D."	"University of Washington"		"890516s1973\\\\xx\a\\\\\bm\\\000\0\eng\d"	"89 leaves"			"19714646"
"Electromagnetic corrections to chiral symmetry."			"González, Manuel Angel,1940-"	"Ph. D."	"University of Washington"		"890516s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"118 leaves"			"19714758"
"The use of ideas from early research papers to help clarify concepts in electricity and magnetism,"		"by Henry George Hammon, III."	"Hammon, Henry George."	"D.A."	"University of Washington"		"890510s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"143 leaves"			"19685781"
"Absolute calibration of an optical detector by cascade coincidence counting and measurement of NO₂ continuum rate constant near 6402A."			"Hanley, Stephen Thure."	"Ph. D."	"University of Washington"		"890510s1973\\\\xx\a\\\\\bm\\\000\0\eng\d"	"102 leaves"			"19685434"
"Excitation of low lying excited states of hydrogen in collision of H⁻ with selected rare gases and molecular nitrogen."			"Harnois, Malcolm McCall."	"Ph. D."	"University of Washington"		"890510s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"166 leaves"			"19685825"
"Calculation of critical exponents in Reggeon field theory using the epsilon expansion."			"Harrington, Steven Jay."	"Ph. D."	"University of Washington"		"890510s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"112 leaves"			"19685867"
"Diffractive dissociation in pi munus deuterium interactions at 15 GeV/c."			"Harris, Roger(Roger Mason)"	"Ph. D."	"University of Washington"		"890510s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"297 leaves"			"19685615"
"Experimental study of the deformation of the fission isomer in 236U."			"Heffner, Robert Haag."	"Ph. D."	"University of Washington"		"890518s1973\\\\xx\a\\\\\bm\\\000\0\eng\d"	"146 leaves"			"19726247"
"Single particle spectra from pion-proton scattering at 10 and 15.5 GeV/c."			"Heller, Kenneth."	"Ph. D."	"University of Washington"		"890518s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"144 leaves"			"19726641"
"The influence of the surface on thin superfluid He⁴ films."			"Herb, John Aloysius."	"Ph. D."	"University of Washington"		"890518s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"87 leaves"			"19728452"
"Light scattering from fuzzy spheres"	"a study of the effects of surface structure and a model for inhomogeneous and nonspherical particles."		"Herbert, John Harlan."	"Ph. D."	"University of Washington"		"890518s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"393 leaves"			"19728495"
"Heat capacity studies of submonolayer helium films on grafoil."			"Hering, Susanne Vera."	"Ph. D."	"University of Washington"		"890518s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"74 leaves"			"19728536"
"Submonolayer isotopic mixtures of helium adsorbed on Grafoil."			"Hickernell, Donald Curtis,1945-"	"Ph. D."	"University of Washington"		"890518s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"132 leaves"			"19726202"
"Stable [OI] 6300A arcs encircling mid-latitude regions of earth."			"Hoch, Richmond Joel,1935-"	"Ph. D."	"University of Washington"		"890517s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"217 leaves"			"19720404"
"Production of lithium and boron isotopes in low energy proton and alpha particle bombardment of nitrogen."			"Jacobs, William Wescott."	"Ph. D."	"University of Washington"		"890619s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"130 leaves"			"19888930"
"A study of the mechanism of the radiative capture of low energy nucleons by ¹²C."			"Johnson, David L."	"Ph. D."	"University of Washington"		"801211s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"232 leaves"			"7028215"
"Streamer chamber search for new states of matter which decay semi-leptonically."			"Jonckheere, Alan M."	"Ph. D."	"University of Washington"		"890619s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"148 leaves"			"19888880"
"Parity-violating [pi] - N - N interaction and the reaction [pi] -P [arrow leads to right symbol] [omega] [gamma]."			"Keliher, Timothy Edward,1944-"	"Ph. D."	"University of Washington"		"890731s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"157 leaves"			"20101540"
"Absolute cross sections for excitation of the 4s state of hydrogen from collisions of H and H⁰ with He, Ar, N₂, O₂, and CO₂."			"Kleckner, Edward William."	"Ph. D."	"University of Washington"		"890512s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"114 leaves"			"19699294"
"A non-perturbative study of the isobaric multiplet mass equation."			"Lacy, Curtis Elmo,1939-"	"Ph. D."	"University of Washington"		"890525s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"156 leaves"			"19764189"
"Measurement of the magnetic substates of the first 3⁻ state of ⁴⁰Ca excited through the inelastic scattering of 20.3 MeV protons."			"Lewellen, Thomas Kirby,1945-"	"Ph. D."	"University of Washington"		"890601s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"94 leaves"			"19793244"
"The coupling of Alfven and compressional waves."			"Lin, Chin S."	"Ph. D."	"University of Washington"		"890619s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"70 leaves"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:7617548"	"19888902"
"An experimental investigation of the competition between neutron and gamma ray emission following (d, d') reactions."			"Ling, Ching Clifton,1942-"	"Ph. D."	"University of Washington"		"890601s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"137 leaves"			"19793194"
"Decays of T ="	"3/2 levels in mass 13 and T = 2 levels in mass 20."		"Marrs, Roscoe Earl."	"Ph. D."	"University of Washington"		"890518s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"171 leaves"			"19728680"
"Observations of stimulated brillouin scattering from magnetically confined plasmas."			"Massey, Robert Stewart."	"Ph. D."	"University of Washington"		"890518s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"98 leaves"			"19728772"
"The effect of the surface on the generation of second harmonic light by silver."			"McCardell, Peter Darrel."	"Ph. D."	"University of Washington"		"890601s1973\\\\xx\a\\\\\bm\\\000\0\eng\d"	"104 leaves"			"19793263"
"Surface composition and work function of silver-gold and copper-gold alloys."			"McDavid, James Michael."	"Ph. D."	"University of Washington"		"890601s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"107 leaves"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:7617559"	"19793410"
"The Penning trap technique for measurement of electron-atom collision cross sections at very low energy."			"McGuire, Michael Denis."	"Ph. D."	"University of Washington"		"890518s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"61 leaves"			"19728390"
"The very low temperature heat capacity of submonolayer helium films on graphite."			"McLean, Eugene Otis,1946-"	"Ph. D."	"University of Washington"		"890517s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"103 leaves"			"19720477"
"Vacuum polarization in heavy muonic atoms."			"McLerran, Larry D."	"Ph. D."	"University of Washington"		"890518s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"200 leaves"			"19728728"
"High resolution study of the (F F₂) ="	"(3/2 1/2) [Arrow denotes reaction in right direction] (1/2 1/2) hfs transitions in stored H₂ molecular ions."		"Menasian, Stephen Charles."	"Ph. D."	"University of Washington"		"890629s1973\\\\xx\a\\\\\bm\\\000\0\eng\d"	"49 leaves"			"19948241"
