245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Acoustical holography using liquid crystals area detectors."			"Intlekofer, Michael James."	"M.S.E."	"University of Washington"		"080520s1971\\\\xx\\\\\\\m\\\\000\0\eng\d"	"63 leaves"			"228413218"
"Influence of temperature and humidity on the low frequency capacitance and conductance across a philodendron leaf (a study of the backster effect)."			"Johnson, Rex Vincent."	"M.S.E.E."	"University of Washington"		"080520s1971\\\\xx\\\\\\\m\\\\000\0\eng\d"	"26 leaves"			"228413181"
"Conditional sum addition in a -2 base system."			"Kanani, Dhirubhai Vallabhdas."	"M.S.E.E."	"University of Washington"		"080520s1972\\\\xx\\\\\\\m\\\\000\0\eng\d"	"86 [1] leaf"			"228413229"
"Determination of power system stability using the direct method of liapunov and frequency domain stability criteria."			"Kanasuta, Kraisi."	"M.S.E.E."	"University of Washington"		"080520s1971\\\\xx\\\\\\\m\\\\000\0\eng\d"	"86 leaves"			"228413155"
"Application of muscle deformation as a control signal for prosthetic devices."			"Kataoka, Richard W."	"M.S.E.E."	"University of Washington"		"080520s1971\\\\xx\\\\\\\m\\\\000\0\eng\d"	"119 leaves"			"228413211"
"Large scale information retrieval system."			"Khanna, Karun."	"M.S.E.E."	"University of Washington"		"080520s1972\\\\xx\\\\\\\m\\\\000\0\eng\d"	"95 leaves"			"228413261"
"Analysis of phase delay in round trip signals from the ATS-1 satellite."			"Kim, Seung Kyoon."	"M.S.E.E."	"University of Washington"		"080520s1972\\\\xx\\\\\\\m\\\\000\0\eng\d"	"87 [2] leaves"			"228413230"
"Study of electrodynamics of moving sources in a gyromagnetic plasma."			"Kim, Young Cho,1928-"	"Ph. D."	"University of Washington"		"080520s1971\\\\xx\\\\\\\m\\\\000\0\eng\d"	"104 leaves"			"228413156"
"Fabrication of MOS devices for cryogenic studies."			"Kuhlman, Louis John."	"M.S.E.E."	"University of Washington"		"080520s1971\\\\xx\\\\\\\m\\\\000\0\eng\d"	"42 leaves"			"228413157"
"Theory and application of multiple scattering of waves in discrete random media."			"Lin, James Chih-I,1942-"	"Ph. D."	"University of Washington"		"080520s1971\\\\xx\\\\\\\m\\\\000\0\eng\d"	"108 leaves"			"228413182"
"Electroluminescence of Cu₂S-CdS heterojunctions."			"Lind, Eric John."	"M.S.E.E."	"University of Washington"		"080520s1972\\\\xx\\\\\\\m\\\\000\0\eng\d"	"52 leaves"			"228413220"
"Derivatin of D-region electron densities using a full wave method."			"Livingston, Robert Charles."	"M.S.E.E."	"University of Washington"		"080520s1972\\\\xx\\\\\\\m\\\\000\0\eng\d"	"54 leaves"			"228413270"
"Robust recursive estimation and filtering."			"Masreliez, C. J.(Carl Johan),1939-"	"Ph. D."	"University of Washington"		"080520s1972\\\\xx\\\\\\\m\\\\000\0\eng\d"	"170 leaves"			"228413272"
"Digital phase locked loop high frequency oscillator."			"Mathiesen, Donald William."	"M.S.E.E."	"University of Washington"		"080520s1972\\\\xx\\\\\\\m\\\\000\0\eng\d"	"57 leaves"			"228413236"
"Detection of a gaussian signal in mixed gaussian noise."			"McGath, Curtis Paul."	"M.S.E.E."	"University of Washington"		"080520s1971\\\\xx\\\\\\\m\\\\000\0\eng\d"	"105 leaves"			"228413214"
"Design of a pulse compression receiver."			"McGregor, Charles Bruce."	"M.S.E.E."	"University of Washington"		"080520s1971\\\\xx\\\\\\\m\\\\000\0\eng\d"	"43 leaves"			"228413158"
"On the sensitivity algorithm and parameter identification in nonlinear differential systems."			"Medler, Charles Louis,1939-"	"Ph. D."	"University of Washington"		"080520s1971\\\\xx\\\\\\\m\\\\000\0\eng\d"	"332 leaves"			"228413200"
"Measurement and effects of whole blood hemoglobin concentration on optical reflection."			"Momii, Steven Thomas."	"M.S.E.E."	"University of Washington"		"080520s1972\\\\xx\\\\\\\m\\\\000\0\eng\d"	"64 leaves"			"228413273"
