245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"A comparative study of selected plays by Jon Fosse and Henrik Ibsen :"	"affinity, affect, and the altering of aura /"	"Kyle Andrew Korynta."	"Korynta, Kyle Andrew."	"Ph. D."	"University of Washington"	"2012"	"130626s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (ii, 223 pages) :"	"Sjåvik, Jan,thesis advisor."	"http://hdl.handle.net/1773/21899;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3542354"	"850973912"
"Hedda Gabler's boredom unto death /"		"Kyle Andrew Korynta."	"Korynta, Kyle Andrew."	"M.A."	"University of Washington"	"2008"	"090519s2008\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 76 leaves :"			"326878555"
"Hjalmar Söderberg, revisited and revised /"		"Ralitsa Lazarova."	"Lazarova, Ralitsa."	"M.A."	"University of Washington"	"2006"	"070509s2006\\\\xx\\\\\\\bm\\\000\0\eng\d"	"i, 74 leaves "			"124083334"
"""True stories"" :"	"the politics of emotions in works of performative realism in recent Swedish fiction /"	"Ralitsa E. Lazarova."	"Lazarova, Ralitsa,author."	"Ph. D."	"University of Washington"	"2014"	"150109t20142014wau\\\\\obm\\s000\0\eng\d"	"1 online resource (iii, 191 pages)"	"Gavel Adams, Ann-Charlotte,1944-degree supervisor.http://www.wikidata.org/entity/Q29341932"	"http://hdl.handle.net/1773/26697"	"899746050"
"Digital literary arts, Scandinavian e-texts :"	"criticism, theory, and practice /"	"Melissa M. Lucas."	"Lucas, Melissa M.,author."	"Ph. D."	"University of Washington"	"2014"	"141222t20142014wauab\\\obm\\s000\0\eng\d"	"1 online resource (xi, 208 pages) :"	"Stecher-Hansen, Marianne,1957-degree supervisor.http://www.wikidata.org/entity/Q100732381"	"http://hdl.handle.net/1773/27120"	"898497740"
"Scandinavian e-texts in context :"	"""En million historier,"" ""Svevedikt,"" and ""Primärdirektivet"" /"	"Melissa M. Lucas."	"Lucas, Melissa M."	"M.A."	"University of Washington"	"2009"	"100617s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 68 leaves :"			"642199239"
"Man at the end of history :"	"Henrik Ibsen's works in the light of French post-Hegelian theoretical thought /"	"Gergana May."	"May, Gergana."	"Ph. D."	"University of Washington"	"2006"	"070102s2006\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 204 leaves "		"http://hdl.handle.net/1773/10241;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3224259"	"77517793"
"Post-Soviet identity in Nordic fiction :"	"trauma of occupation and sex trafficking in Sofi Oksanen's Purge and Lukas Moodysson's Lilya 4-ever /"	"Liina-Ly Roos."	"Roos, Liina-Ly,author."	"M.A."	"University of Washington"	"2014"	"141215t20142014wau\\\\\obm\\s000\0\eng\d"	"1 online resource (101 pages)"	"Šmidchens, Guntis,1963-degree supervisor.http://www.wikidata.org/entity/Q100442573"	"http://hdl.handle.net/1773/26274"	"898134384"
"The child, affective memories of war, and cruel everyday in Nordic and Baltic film and literature /"		"Liina-Ly Roos."	"Roos, Liina-Ly,author."	"Ph.D."	"University of Washington"	"2018."	"190122t20182018wau\\\\\obm\\s000\0\eng\d"	"1 online resource (273 pages)"	"Nestingen, Andrew K.,degree supervisor.http://www.wikidata.org/entity/Q100440585"	"http://hdl.handle.net/1773/42541"	"1083141845"
"Lektor Waldenström comes to America :"	"travel literature and the cultivation of a transitional identity among Swedish diaspora publics /"	"Mark Daniel Säfström."	"Säfström, Mark Daniel."	"M.A."	"University of Washington"	"2006"	"070117s2006\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 133 leaves "			"78611236"
"The religious origins of democratic pluralism :"	"Paul Peter Waldenström and the politics of the Swedish Awakening 1868-1917 /"	"Mark Daniel Safstrom."	"Säfström, Mark Daniel."	"Ph. D."	"University of Washington"	"2010"	"110610s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 297 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3443198"	"729915576"
"Að þýða taugahrúgar ="	"Translating nervous wrecks : the queer kinship of translation /"	"Maxine A. Savage."	"Savage, Maxine A.,author."	"M.A."	"University of Washington"	"2019."	"191217t20192019wau\\\\\obm\\s000\0\eng\d"	"1 online resource (iv, 118 pages)"	"Elísabet Kristín Jökulsdóttir,1958-Poems.Selections.English.;Stecher-Hansen, Marianne,1957-degree supervisor.http://www.wikidata.org/entity/Q100732381"	"http://hdl.handle.net/1773/44911"	"1131723319"
"Nordic nostalgia and nationalism :"	"performance of Norwegian ethnic identity in Seattle /"	"Heather Ione Short."	"Short, Heather Ione."	"M.A."	"University of Washington"	"2009"	"091209s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 67 leaves :"			"476291870"
"It's reigning men :"	"masculinities in contemporary Finnish fiction and film /"	"Mia M. Spangenberg."	"Spangenberg, Mia M."	"Ph. D."	"University of Washington"	"2009"	"091130s2009\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 200 leaves "			"471496809"
"Misery loves company :"	"the crisis of masculinity in Kari Hotakainen's Juoksuhaudantie /"	"Mia M. Spangenberg."	"Spangenberg, Mia M."	"M.A."	"University of Washington"	"2006"	"061115s2006\\\\xx\\\\\\\bm\\\000\0\eng\d"	"1, 80 leaves "			"76066231"
"Reading Danish novellas online within a socio-constructivist framework /"		"Anne Toft Vestergaard."	"Vestergaard, Anne Toft."	"M.A."	"University of Washington"	"2006"	"070131s2006\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 62 leaves "			"80955453"
"From AIDS to assimilation :"	"representations of male homosexuality in Swedish literature /"	"Timothy Ryan Warburton."	"Warburton, Timothy Ryan,author."	"Ph. D."	"University of Washington"	"2014"	"150407t20142014wau\\\\\obm\\s000\0\eng\d"	"1 online resource (viii, 240 pages)"	"Gavel Adams, Ann-Charlotte,1944-degree supervisor.http://www.wikidata.org/entity/Q29341932"	"http://hdl.handle.net/1773/27582"	"906734280"
"Queered bodies that matter :"	"non-normative bodies in selected paintings by Odd Nerdrum and ""Ecce Homo"" by Elisabeth Ohlson Wallin /"	"Timothy Ryan Warburton."	"Warburton, Timothy Ryan."	"M.A."	"University of Washington"	"2011"	"110803s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"i, 97 leaves :"			"744681592"
"Symbolic ecologies and intertextual conservation :"	"an ecocritical analysis of inter-symbolic relationships in Finno-Karelian oral and literary traditions /"	"Evan Patrick Wright."	"Wright, Evan Patrick."	"M.A."	"University of Washington"	"2011"	"110803s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"i, 116 leaves "			"744668838"
