245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Building a machine learning based recommendation engine for the virtual academic advisor system /"		"Rashi Goyal."	"Goyal, Rashi,author."	"M.S.C.S.S.E."	"University of Washington, Bothell"	"2018."	"190114t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (viii, 91 pages) :"	"Parsons, Erika(Erika F.),degree supervisor."	"http://hdl.handle.net/1773/42262"	"1082145209"
"Automated parallelization to improve usability and efficiency of distributed neural network training /"		"Nathaniel J. Grabaskas."	"Grabaskas, Nathaniel J.,author."	"M.S.C.S.S.E."	"University of Washington Bothell"	"2018"	"180706t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (ix, 95 pages) :"	"Fukuda, Munehiro,degree supervisor."	"http://hdl.handle.net/1773/41725"	"1043358503"
"Estimating uncertainty in response surface approximations of time series using the Tateno single-compartment Hippocampal model /"		"Marc B. Griesemer."	"Griesemer, Marc B."	"M.S."	"University of Washington, Tacoma"	"2005"	"060719s2005\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 74 leaves :"			"70634968"
"Real-time traffic prediction improvement through semantic mining of social networks /"		"Scott Grosenick."	"Grosenick, Scott."	"M.S.C.S.S"	"University of Washington, Bothell"	"2012"	"130205s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (ix, 288 pages) :"	"Erdly, William Walter,thesis advisor."	"http://hdl.handle.net/1773/20911;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:1516101"	"826775838"
"ACRAS a hybrid graphical user-authentication system /"		"H. Ryan Harasimowicz"	"Harasimowicz, H. Ryan,author."	"M.S.C.S.S.E."	"University of Washington, Bothell"	"2018."	"190312t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (viii, 105 pages) :"	"Lagesse, Brent,degree supervisor."	"http://hdl.handle.net/1773/43239"	"1089759264"
"MASS CUDA :"	"abstracting many core parallel programming from agent based modeling frameworks /"	"Nathaniel B. Hart."	"Hart, Nathaniel B.,author."	"M.S."	"University of Washington, Bothell"	"2015"	"150527t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (iv, 57 pages :"	"Fukuda, Munehiro,degree supervisor."	"http://hdl.handle.net/1773/33066"	"910195442"
"Predictive analytics and decision support for heart failure patients /"		"Aftab Hassan."	"Hassan, Aftab,1990-author."	"M.S."	"University of Washington"	"2016"	"161010t20162016wau\\\\\obm\\s000\0\eng\d"	"1 online resource (x, 69 pages)"	"Basu Roy, Senjuti,degree supervisor."	"http://hdl.handle.net/1773/36975"	"960215159"
"Guidelines for testing a web-based application with complex client logic /"		"Jason Henderson."	"Henderson, Jason(Jason Todd),1978-"	"M.S."	"University of Washington, Tacoma"	"2005"	"060814s2005\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 94 leaves :"			"70889470"
"Field-based job dispatch and migration /"		"Somu Jayabalan."	"Jayabalan, Somu."	"M.S."	"University of Washington, Bothell"	"2012"	"140331s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (v, 28 pages) :"	"Fukuda, Munehiro,thesis advisor."	"http://hdl.handle.net/1773/22629;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:1533508"	"875196963"
"User-centered design and usability study of Android-based vision screening tools :"	"the Quick Check application /"	"Kalyani Katariya."	"Katariya, Kalyani,author."	"M.S.C.S.S.E."	"University of Washington, Bothell"	"2019."	"190829t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (135 pages) :"	"Erdly, William Walter,degree supervisor."	"http://hdl.handle.net/1773/43953"	"1114484963"
"Accelerating large-scale simulations of cortical neuronal network development /"		"Fumitaka Kawasaki."	"Kawasaki, Fumitaka,1957-"	"M.S.C.S.S."	"University of Washington, Bothell"	"2012"	"130205s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (vii, 95 pages) :"	"Stiber, Michael,1962-thesis advisor."	"http://hdl.handle.net/1773/20913;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:1515936"	"826756804"
"Effects of peer feedback on password strength /"		"Faisal Irfan Yar Khan."	"Khan, Faisal Irfan Yar,author."	"M.S.C.S.S.E."	"University of Washington, Bothell"	"2017"	"170920t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (vii, 59 pages) :"	"Dupuis, Marc J.,degree supervisor."	"http://hdl.handle.net/1773/40013"	"1004394497"
"Thimblerig :"	"architectural moving target defense and a framework for its game theoretic analysis /"	"Gautam Kumar."	"Kumar, Gautam,1990-author."	"M.S.C.S.S.E."	"University of Washington Bothell"	"2017"	"170912t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (60 pages) :"	"Lagesse, Brent,degree supervisor."	"http://hdl.handle.net/1773/39854"	"1003326169"
"Machine learning of spatiotemporal bursting behavior in developing neural networks /"		"Jewel YunHsuan Lee."	"Lee, Jewel YunHsuan,author."	"M.S.C.S.S.E."	"University of Washington, Bothell"	"2018"	"181114t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (vi, 51 pages) :"	"Stiber, Michael,1962-degree supervisor."	"http://hdl.handle.net/1773/42119"	"1065527884"
"Dynamic load balancing in MASS /"		"Bhargav Mistry."	"Mistry, Bhargav,1977-author."	"M.S."	"University of Washington, Bothell"	"2013."	"140606t20132013wau\\\\\obm\\s000\0\eng\d"	"1 online resource (iii, 33 pages) :"	"Fukuda, Munehiro,degree supervisor."	"http://hdl.handle.net/1773/24069"	"881120041"
"Deep learning to predict protein backbone structure from high-resolution cryo-EM density maps /"		"Spencer Moritz."	"Moritz, Spencer,author."	"M.S.C.S.S.E."	"University of Washington, Bothell"	"2019."	"190508t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (xii, 42 pages) :"	"Si, Dong(Computer scientist),degree supervisor."	"http://hdl.handle.net/1773/43603"	"1100486074"
"Detection of beta-barrels from medium resolution cryo-electron microscopy density maps /"		"Albert Ng."	"Ng, Albert,1990-author."	"M.S.C.S.S.E."	"University of Washington, Bothell"	"2018"	"181101t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (v, 40 pages) :"	"Si, Dong(Computer scientist),degree supervisor."	"http://hdl.handle.net/1773/42069"	"1060585469"
"Vulnerability detection and resolution in internet of things (IoT) devices /"		"Ruth M. Ogunnaike."	"Ogunnaike, Ruth M.,author."	"M.S.C.S.S.E."	"University of Washington Bothell"	"2017"	"170913t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (x, 82 pages) :"	"Lagesse, Brent,degree supervisor."	"http://hdl.handle.net/1773/39894"	"1003585610"
"Shell game :"	"randomized representative based election to defend against 51% attacks in crowd sensing frameworks /"	"Ajay Reddy Palleri Kesavan."	"Palleri Kesavan, Ajay Reddy,author."	"M.S.C.S.S.E"	"University of Washington, Bothell"	"2019."	"190508t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (37 pages) :"	"Lagesse, Brent,degree supervisor."	"http://hdl.handle.net/1773/43602"	"1100486191"
"The potential of latent semantic analysis to identify themes in online forums /"		"Mark J. Paul."	"Paul, Mark J."	"M.S."	"University of Washington"	"2007"	"070806s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 83 leaves :"			"162665863"
"Deciphering protein complex structures from cryo-electron microscopy maps using deep learning /"		"Jonas Pfab."	"Pfab, Jonas,author."	"M.S.C.S.S.E."	"University of Washington, Bothell"	"2020."	"210125t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (vii, 58 pages) :"	"Si, Dong(Computer scientist),degree supervisor."	"http://hdl.handle.net/1773/46307"	"1232487153"
"Constructing phylogenetic trees using multiple sequence alignment /"		"Ryan M. Potter."	"Potter, Ryan M."	"M.S."	"University of Washington, Tacoma"	"2008"	"081205s2008\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 28 leaves :"			"277050827"
"Knowledge discovery in form of prototypical cases using advanced data mining techniques /"		"Rathnavel Rajagopal."	"Rajagopal, Rathnavel."	"M.S."	"University of Washington"	"2007"	"071207s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 102 leaves :"			"183016238"
"Keyword bidding in sponsored search using an estimation of distribution algorithm /"		"Aparna Sundara Rajan."	"Rajan, Aparna Sundara."	"M.S."	"University of Washington"	"2011"	"120123s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 34 leaves :"			"773615404"
"Evaluating the Architecture Centric Traceability for Stakeholders (ACTS) holistically from the economic, social, and technical perspectives /"		"Sherry Ramzy."	"Ramzy, Sherry,author."	"M.S."	"University of Washington, Bothell"	"2015"	"150603t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (x, 108 pages) :"	"Asuncion, Hazeline Uy,degree supervisor."	"http://hdl.handle.net/1773/33064"	"910644925"
"NemoCluster :"	"graph clustering algorithm for structural variant detection /"	"Nicola Rohde."	"Rohde, Nicola,author."	"M.S.C.S.S.E."	"University of Washington, Bothell"	"2020."	"200903s2020\\\\waua\\\\obm\\s000\0\eng\d"	"1 online resource (ix, 137 pages) :"	"Kim, Wooyoung,degree supervisor."	"http://hdl.handle.net/1773/45706"	"1192543455"
"Hyperspectral image compression with optimization for spectral analysis /"		"Kameron Romines."	"Romines, Kameron."	"M.S."	"University of Washington, Tacoma"	"2006"	"061214s2006\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 40 leaves :"			"76971174"
"Federated learning for intrusion detection systems in medical cyber-physical systems /"		"William Henry Alexander Schneble."	"Schneble, William Henry Alexander,author."	"M.S.C.S.S.E."	"University of Washington, Bothell"	"2018."	"190125t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (39 pages) :"	"Thamilarasu, Geethapriya,degree supervisor."	"http://hdl.handle.net/1773/42908"	"1083348942"
"Augmented space library 2 :"	"a network infrastructure for collaborative cross reality applications /"	"Gregory Smith."	"Smith, Gregory,author."	"M.S.C.S.S.E.,"	"University of Washington, Bothell"	"2020."	"200902t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (vi, 51 pages) :"	"Sung, Kelvin,1964-degree supervisor."	"http://hdl.handle.net/1773/45704"	"1192499380"
"A study of correlations between trait affect and phishing susceptibility /"		"Samantha Emily Smith."	"Smith, Samantha Emily,author."	"M.S.C.E."	"University of Washington, Bothell"	"2020."	"210125t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (vii, 41 pages) :"	"Dupuis, Marc J.,degree supervisor."	"http://hdl.handle.net/1773/46306"	"1232487166"
"Using latent semantic indexing for data deduplication /"		"Michael Spiz."	"Spiz, Michael."	"M.S."	"University of Washington, Tacoma"	"2006"	"061206s2006\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 78 pages "			"76895298"
