245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Activation of a novel ERK5-NF-kappaB pathway is required for G2/M progression in the cell cycle /"		"Kelly J. Cude."	"Cude, Kelly J."	"Ph. D."	"University of Washington"	"2004"	"050519s2004\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 123 leaves :"		"http://hdl.handle.net/1773/5003;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3151596"	"60406265"
"Developmental regulation of growth and cell cycle progression in Drosophila melanogaster :"	"a larval growth arrest screen, and molecular and genetic analysis of the cyclin D/Cdk4 complex /"	"by Sanjeev Ashok Datar."	"Datar, Sanjeev A.,1969-"	"Ph. D."	"University of Washington"	"2000"	"000807s2000\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xiv, 147 leaves :"		"http://hdl.handle.net/1773/5008;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9964247"	"44735002"
"The role of cellular factors in retrovirus replication /"		"by Clarissa A. Dirks."	"Dirks, Clarissa A."	"Ph. D."	"University of Washington"	"2001"	"020718s2001\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 120 leaves :"		"http://hdl.handle.net/1773/5072;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3036460"	"50195882"
"Investigating epithelial morphogenesis during dorsal appendage formation in Drosophila oogenesis /"		"Jennie Beth Dorman."	"Dorman, Jennie Beth."	"Ph. D."	"University of Washington"	"2003"	"040226s2003\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 156 leaves :"			"54491367"
"Murine T cell immunity to primary herpes simplex virus infection :"	"roles for costimulation and MHC class I antigen presentation /"	"Kurt H. Edelmann."	"Edelmann, Kurt H."	"Ph. D."	"University of Washington"	"2001"	"010926s2001\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 126 leaves :"		"http://hdl.handle.net/1773/5037;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3014066"	"48031848"
"Isw2 complex slides nucleosomes to create repressive chromatin structure in vivo /"		"Thomas G. Fazzio."	"Fazzio, Thomas G."	"Ph. D."	"University of Washington"	"2004"	"041020s2004\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 129 leaves :"		"http://hdl.handle.net/1773/5092;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3131153"	"56781986"
"Isolation and characterization of calmodulin-binding centrosome components related to Saccharomyces cerevisiae Spc110p from the fission yeast Schizosaccharomyces pombe and humans /"		"Mark Randall Flory."	"Flory, Mark Randall."	"Ph. D."	"University of Washington"	"2001"	"010927s2001\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 112 leaves :"		"http://hdl.handle.net/1773/5061;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3014069"	"48042575"
"Regulation of cell growth in C. elegans and D. melanogaster by ncl-1/brat /"		"Deborah Jean Frank."	"Frank, Deborah Jean."	"Ph. D."	"University of Washington"	"2000"	"020404s2000\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 84 leaves :"		"http://hdl.handle.net/1773/5029"	"49522415"
"Investigation of the mechanism by which the human papillomavirus type-16 E6 oncoprotein induces telomerase in epithelial cells /"		"Lindy Gewin."	"Gewin, Lindy Carol,1974-"	"Ph. D."	"University of Washington"	"2004"	"041020s2004\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 94 leaves :"		"http://hdl.handle.net/1773/5006;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3131157"	"56780664"
"Neutrophil gelatinase-associated lipocalin :"	"a protein involved in immune defense against microbial pathogens /"	"by David Henry Goetz."	"Goetz, David Henry."	"Ph. D."	"University of Washington"	"2002"	"021108s2002\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 75 leaves :"		"http://hdl.handle.net/1773/4991"	"50958423"
