245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Mechanical property and diameter evaluation of epoxide-treated silk fibers /"		"by Dwayne Lee Dunaway."	"Dunaway, Dwayne Lee."	"M.S.E."	"University of Washington"	"1994"	"940714s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 102 leaves :"			"30762392"
"Random coincidence correction in time-of-flight positron emission tomography :"	"implementation on the UWPET scanner /"	"by Doug Ehlert."	"Ehlert, Doug."	"M.S.E."	"University of Washington"	"1992"	"930129s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 122 leaves :"			"27345920"
"Active and passive force measurement in single muscle myofibrils /"		"by Lisa A. Fearn."	"Fearn, Lisa A."	"M.S.E."	"University of Washington"	"1992"	"921105s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 86 leaves :"			"26921062"
"Two-dimensional vector Doppler imaging /"		"by Mary Patricia FitzGerald."	"FitzGerald, Mary Patricia."	"M.S.E."	"University of Washington"	"1987"	"880609s1987\\\\xx\af\\\\bm\\\000\0\eng\d"	"xvii, 254 leaves, 44 unnumbered leaves of plates :"			"18064304"
"A study of corneal transparency using Fourier analysis /"		"by Margo Gisselberg."	"Gisselberg, Margo."	"M.S.E."	"University of Washington"	"1989"	"900604s1989\\\\xx\af\\\\bm\\\000\0\eng\d"	"iv, 72 leaves, 9 unnumbered leaves of plates :"			"21684025"
"Covalent immobilization of L-asparaginase onto a porous hollow fiber plasmapheresis device /"		"by Wayne Richard Gombotz."	"Gombotz, Wayne Richard."	"M.S."	"University of Washington"	"1985"	"850909s1985\\\\xx\af\\\\bm\\\000\0\eng\d"	"x, 112 leaves, 4 unnumbered leaves of plates :"			"12529100"
"Poly(ethylene oxide) surfaces :"	"synthesis, characterization and biological interaction studies /"	"by Wayne Richard Gombotz."	"Gombotz, Wayne Richard."	"Ph. D."	"University of Washington"	"1988"	"890120s1988\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xx, 251 leaves :"		"http://hdl.handle.net/1773/8028"	"19044828"
"Sarcomere mechanics and the mechanism of muscle contraction /"		"by Henk L. Granzier."	"Granzier, Henk L."	"Ph. D."	"University of Washington"	"1988"	"890120s1988\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 164 leaves :"			"19044873"
"Laser Doppler monitoring of the cutaneous microcirculation in acute burn wounds /"		"by Morten O. Green."	"Green, Morten O."	"M.S.E."	"University of Washington"	"1987"	"870710s1987\\\\xx\af\\\\bm\\\000\0\eng\d"	"vi, 113 leaves, 2 unnumbered leaves of plates :"			"16158429"
"Application and evaluation of an imaging technique for 3-dimensional cochlear reconstruction /"		"by Nadeem Haq."	"Haq, Nadeem."	"M.S.E."	"University of Washington"	"1988"	"880615s1988\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xv, 140 leaves :"			"18095085"
"In Vitro evaluations of platelet interactions with biomaterials /"		"by Claire Louise Haycox."	"Haycox, Claire Louise,1959-"	"Ph. D."	"University of Washington"	"1992"	"920804s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xiv, 203 leaves :"			"26330786"
"A study of atherosclerotic flow using an asymmetric model /"		"by Patrick Claar Herriman."	"Herriman, Patrick Claar."	"M.S.E."	"University of Washington"	"1989"	"900724s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 96 leaves :"			"22136392"
"High frequency ultrasonic tissue characterization of skin with applications to thermal injury /"		"by Anne Woodside Holmes."	"Holmes, Anne Woodside."	"M.S.E."	"University of Washington"	"1988"	"880923s1988\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 142 leaves :"			"18524099"
"A prospective study on the use of laser doppler flowmetry for the early detection of hypertrophic burn scars /"		"by Gordon Paul Hosoda."	"Hosoda, Gordon Paul."	"M.S.E."	"University of Washington"	"1985"	"851219s1985\\\\xx\a\\\\\bm\\\000\0\eng\d"	"62 leaves (some folded) :"			"12934343"
"Calcium storage and release in rat cardiac muscle in the presence of inotropic agents :"	"an electron probe X-ray microanalysis study /"	"by Brian Joseph Hurley."	"Hurley, Brian Joseph,1963-"	"Ph. D."	"University of Washington"	"1991"	"920616s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 141 leaves :"			"26029233"
"Ultrasound transducer designs for close proximity, high resolution imaging /"		"by Indira Samanthi Jayawardena."	"Jayawardena, Indira Samanthi."	"M.S.E."	"University of Washington"	"1989"	"900130s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xv, 127 leaves :"			"20976405"
"ESCA studies of protein adsorption :"	"hemoglobin adsorbed to various surfaces /"	"by Anne Bright Johnston."	"Johnston, Anne Bright."	"M.S.E."	"University of Washington"	"1986"	"870209s1986\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 78 leaves :"			"15173015"
"Coincidence detection by binaural neurons in the chick brain stem /"		"by Aaron W. Joseph."	"Joseph, Aaron W."	"M.S.E."	"University of Washington"	"1991"	"920616s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 103 leaves :"			"26029671"
"One-dimensional ultrasonic plethysmography /"		"by John Paul Kansky."	"Kansky, John Paul."	"M.S.E."	"University of Washington"	"1988"	"891115s1988\\\\xx\af\\\\bm\\\000\0\eng\d"	"viii, 151 leaves, 5 unnumbered leaves of plates :"			"20653571"
"Surface characterization and blood interaction of plasma modified vascular grafts /"		"by David Kiaei."	"Kiaei, David."	"M.S.E."	"University of Washington"	"1987"	"870710s1987\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 118 leaves :"			"16159892"
"Tenacious binding of proteins to glow discharge-treated surfaces :"	"mechanism and relevance to blood-material interactions, immunoassays, and immobilized enzymes /"	"by David Kiaei."	"Kiaei, David."	"Ph. D."	"University of Washington"	"1992"	"930209s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xvi, 284 leaves :"			"27405051"
"Development and evaluation of a model of radiotherapy planning target volumes /"		"by Sharon Eileen Kromhout-Schiro."	"Kromhout-Schiro, Sharon Eileen."	"Ph. D."	"University of Washington"	"1993"	"940203s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 97 leaves :"			"29742174"
"An investigation of brachial plexus somatosensory evoked potentials using an orthogonal three dimensional electrode array /"		"by Samuel K. Law."	"Law, Samuel K."	"M.S.E."	"University of Washington"	"1987"	"880526s1987\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 73 leaves :"			"18006554"
"Development of a pH-sensitive membrane for use as a flow controller /"		"by Lynn M. Layman-Spillar."	"Layman-Spillar, Lynn M."	"M.S.E."	"University of Washington"	"1990"	"910806s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xii, 157 leaves :"			"24186300"
"Simultaneous measurement of functional oxygen saturation and percent carboxyhemoglobin using pulse-oximetry technique /"		"by Jason Chih-Shu Lee."	"Lee, Jason Chih-Shu."	"M.S.E."	"University of Washington"	"1990"	"900910s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 147 leaves :"			"22352149"
"Molecular assemblies at interfaces :"	"new model systems for studying biomaterial interactions /"	"by Shelli R. Letellier."	"Letellier, Shelli R."	"M.S.E."	"University of Washington"	"1993"	"931018s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 89 leaves :"			"29045066"
"The control system for an enzyme immunoassay processor /"		"by Jerrold David Liebermann."	"Liebermann, Jerrold David."	"M.S.E."	"University of Washington"	"1989"	"900531s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 92, [1] leaves :"			"21654890"
"Sperm motility measurement by two-angle detection of laser light scattering :"	"comparison of spermatozoa from normal and infertile men /"	"by Kap Lim."	"Lim, Kap."	"M.S."	"University of Washington"	"1987"	"880428s1987\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 142 leaves :"			"17865148"
"An interferometric analysis of a periodontal model /"		"by Nicolas G. Loebel."	"Loebel, Nicolas G."	"M.S.E."	"University of Washington"	"1987"	"880602s1987\\\\xx\af\\\\bm\\\000\0\eng\d"	"vi, 141 leaves, 27 unnumbered leaves of plates :"			"18034103"
"Evaluation of pulse oximetry with EKG synchronization /"		"by Lianne Kam Linn Lum."	"Lum, Lianne Kam Linn."	"M.S.E."	"University of Washington"	"1989"	"900712s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 72 leaves :"			"21996226"
"Platelet adhesion and fibrinogen adsorption :"	"a reexamination /"	"by Katherine Foy Mack."	"Mack, Katherine Foy."	"M.S."	"University of Washington"	"1985"	"860402s1985\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 90 leaves :"			"13380110"
"Mathematical models of optical propagation in tissue with applications to oximetry /"		"by David R. Marble."	"Marble, David R."	"Ph. D."	"University of Washington"	"1993"	"931018s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xiii, 192 leaves :"			"29044996"
