245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Space and the gender conflict :"	"Au bonheur des dames and Nana /"	"by Maureen Ann Davis."	"Davis, Maureen Ann."	"M.A."	"University of Washington"	"1993"	"940113s1993\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 62 leaves "			"29626313"
"Contemporary Nicaraguan poetry :"	"aesthetic commitment in an age of postmodernism /"	"by Greg Dawes."	"Dawes, Greg."	"Ph. D."	"University of Washington"	"1990"	"900917s1990\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 237 leaves "			"22393674"
"Sujeto y nación en la configuración de la literatura autobiográfica chilena /"		"by César Díaz-Cid."	"Díaz-Cid, César,1961-"	"Ph. D."	"University of Washington"	"1996"	"970124s1996\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 304 leaves "		"http://hdl.handle.net/1773/8302"	"36255864"
"The parodic lays"	"a critical edition."		"Dubin, Nathaniel Edward,1945-"	"Ph. D."	"University of Washington"		"890511s1974\\\\xx\\\\\\\bm\\\000\0\eng\d"	"245 leaves"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:7429403"	"19692958"
"Spanish morpho-syntax :"	"a lexical categorical approach /"	"by Rafael Escribano-Diaz."	"Escribano-Diaz, Rafael."	"Ph. D."	"University of Washington"	"1990"	"910226s1990\\\\xx\\\\\\\bmt\\000\0\eng\d"	"x, 63 leaves "		"http://hdl.handle.net/1773/8287;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9104227"	"23158119"
"The attribute restored :"	"Anna Banti as new historian, artist, woman /"	"by Michael Faucette."	"Faucette, Michael,author."	"Ph. D."	"University of Washington"	"1994."	"190725t19941994wau\\\\\obm\\s000\0\eng\d"	"1 online resource (191 pages)"	"Container of (expression):Banti, Anna.Corte savella.English.;Collins, Douglas,1945-degree supervisor."	"http://hdl.handle.net/1773/33343"	"1110109691"
"The attribute restored :"	"Anna Banti as new historian, artist, woman /"	"by Michael Faucette."	"Faucette, Michael,author."	"Ph. D."	"University of Washington"	"1994"	"950428s1994\\\\xx\\\\\\\bm\\\000\0\eng\d"	"191 leaves "	"Container of (expression):Banti, Anna.Corte savella.English."		"32395507"
"La oveja negra :"	"la otredad paradójica de la mujer de ascendencia africana en la literatura latinoamericana /"	"by Patricia Denice Fox."	"Fox, Patricia Denice."	"M.A."	"University of Washington"	"1989"	"900117s1989\\\\xx\\\\\\\bm\\\000\0\spa\d"	"iv, 81 leaves "			"20911169"
"French verbs of perception and causation"	"a case-grammar."		"Fuller, Michael Calvin,1942-"	"Ph. D."	"University of Washington"		"890530s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"232 leaves"			"19781473"
"Desir du pouvoir, solitude, suicide :"	"Tragedie du Roi Christophe /"	"by Jean-Elie Gilles."	"Gilles, Jean-Elie."	"M.A. Romance Languages & Literature"	"University of Washington"	"1998"	"981201s1998\\\\xx\a\\\\\bm\\\000\0\fre\d"	"iii, 51 leaves :"			"40421594"
"Patriotisme, humanisme et modernité :"	"trois concepts europeens au service de l'investigation et de l'affirmation de l'âme nègre dans la littérature francophone d'Haïti du XIXe au XXe siècle /"	"Jean-Elie Gilles."	"Gilles, Jean-Elie."	"Ph. D."	"University of Washington"	"2002"	"020920s2002\\\\xx\a\\\\\bm\\\000\0\fre\d"	"xv, 350 leaves :"		"http://hdl.handle.net/1773/8300"	"50637862"
"Narrative technique in the novels of Stendhal"	"the narrator and the method."		"Godfrey, Gary Melvin."	"Ph. D."	"University of Washington"		"890613s1974\\\\xx\\\\\\\bm\\\000\0\eng\d"	"222 leaves"			"19860597"
"El sistema poetico de Gustavo Adolfo Becquer /"		"by Francisco Javier Gonzalez-Alonso."	"Gonzalez-Alonso, Francisco Javier."	"Ph. D."	"University of Washington"	"1986"	"870130s1986\\\\xx\\\\\\\bmt\\000\0\spa\d"	"iii, 218 leaves "		"http://hdl.handle.net/1773/8280"	"15134235"
"America on my mind :"	"viaggiatori italiani in America nel 20 ̊secolo /"	"Giulia Guarnieri."	"Guarnieri, Giulia."	"Ph. D."	"University of Washington"	"2002"	"030411s2002\\\\xx\\\\\\\bm\\\000\0\ita\d"	"xxvi, 335 leaves "			"52045085"
"Quechua in the Andean indigenista novel :"	"an analysis of representative works by José María Arguedas and Jesús Lara /"	"by Natalie Almy Harrah."	"Harrah, Natalie Almy."	"M.A."	"University of Washington"	"1982"	"820812s1982\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 100 leaves "			"8681552"
"Le Cycle éternel des Rougon-Macquart :"	"une étude du mythe dans La Fortune des Rougon, La Faute de l'Abbé Mouret Au Bonheur des Dames et Le Docteur Pascal d'Émile Zola /"	"by John Scott Hedgcock."	"Hedgcock, John Scott."	"M.A."	"University of Washington"	"1986"	"870331s1986\\\\xx\\\\\\\bm\\\000\0\fre\d"	"171 leaves "			"15467130"
"The abundance of antitheses :"	"the structure of oppositions in Rousseau's Fifth Promenade /"	"by Jóhanna Th. Eiríksdóttir Hull."	"Hull, Jóhanna Th. Eiríksdóttir."	"M.A."	"University of Washington"		"800312s1979\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 147 leaves "			"6073011"
"Spirituality in Michel Tournier :"	"duality aspiring towards a perverse cosmogony /"	"by Judith Anne Jeon-Chapman."	"Jeon-Chapman, Judith Anne."	"Ph. D."	"University of Washington"	"1995"	"960104s1995\\\\xx\\\\\\\bmt\\000\0\eng\d"	"v, 346 leaves "		"http://hdl.handle.net/1773/8283"	"33990342"
"Historiografias y localizaciones subalternas en las novelas de Carmen Boullosa /"		"by Katharina Kayser."	"Kayser, Katharina."	"Ph. D."	"University of Washington"	"1998"	"990610s1998\\\\xx\\\\\\\bm\\\000\0\spa\d"	"iii, 218 leaves "		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9907919"	"41519936"
"Unamuno and Germany /"		"by Shirley King."	"King, Shirley."	"Ph. D."	"University of Washington"	"1990"	"910205s1990\\\\xx\\\\\\\bm\\\000\0\eng\d"	"vi, 279 leaves "			"23064277"
"L'etudiant français tel qu'il apparatt dans l'enquête sociologique et le roman français, 1953/1963."			"Koban, Marie-Pierre,1929-"	"Ph. D."	"University of Washington"		"890530s1971\\\\xx\\\\\\\bm\\\000\0\eng\d"	"319 leaves"			"19781447"
"The detective as social critic :"	"the Spanish and Mexican detective novel 1970-1995 /"	"Darlene Margaret Lake."	"Lake, Darlene Margaret."	"Ph. D."	"University of Washington"	"1999"	"000516s1999\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 215 leaves "		"http://hdl.handle.net/1773/8312;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9985846"	"44062988"
"The poetry of Miguel Hernandez"	"the inner struggle, 1933-36."		"Lamson, Howard Jay."	"Ph. D."	"University of Washington"		"890530s1976\\\\xx\\\\\\\bm\\\000\0\eng\d"	"173 leaves"			"19781598"
"A critical edition of Le Canapé attributed to Fougeret de Monbron /"		"by Katherine M. Landolt."	"Landolt, Katherine M."	"Ph. D."	"University of Washington"	"1988"	"880823s1988\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 145 leaves "	"Fougeret de Monbron, Louis Charles,1706-1760.Canapé couleur de feu."		"18391178"
"A maximization of favorable conditions for oral fluency :"	"an application of SLA theory and approach to FL instruction /"	"by Natalie Lefkowitz."	"Lefkowitz, Natalie."	"M.A."	"University of Washington"	"1984"	"840612s1984\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 90 leaves :"			"10833654"
"Talking backwards, looking forwards :"	"the French language game verlan /"	"by Natalie Jeanne Lefkowitz."	"Lefkowitz, Natalie,1954-"	"Ph. D."	"University of Washington"	"1987"	"871209s1987\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xv, 232 leaves :"			"17212136"
"A history of the Chicano political involvement and the organizational efforts of the United Farm Workers Union in the Yakima Valley, Washington,"		"by Jesus Lemos, Jr."	"Lemos, Jesus."	"M.A."	"University of Washington"		"890614s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"163 leaves"			"19867255"
"Dons, amour et amitié :"	"analyse du personnage de Galehaut dans le Lancelot en prose /"	"by Maria Léon."	"Léon, Maria."	"M.A."	"University of Washington"	"1992"	"921201s1992\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 64 leaves "			"27048042"
"Second language acquisition theory and reading comprehension testing strategies /"		"by Robert Bruce Liddiard."	"Liddiard, Robert Bruce."	"Ph. D."	"University of Washington"	"1992"	"921123s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 261 leaves :"			"27020038"
"Louis-Ferdinand Céline :"	"an aesthetics of anti-semitism /"	"by Diane Margaret Lindblad."	"Lindblad, Diane Margaret."	"Ph. D."	"University of Washington"	"1989"	"900712s1989\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 171 leaves "			"21993786"
"Vowel raising in Spanish historical phonology :"	"a feature geometry analysis /"	"by Lucia Isabel Llorente-Gonzalez."	"Llorente, Lucía I.(Lucía Isabel)"	"Ph. D."	"University of Washington"	"1994"	"941206s1994\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 223 leaves :"			"31622499"
"Pseudomemoirs :"	"the enunciation of Jewish female identity in autobiographical narrative from Mexico and Argentina /"	"Emy Manini."	"Manini, Emy."	"Ph. D."	"University of Washington"	"2002"	"021210s2002\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 195 leaves "		"http://hdl.handle.net/1773/8291"	"51199491"
"Discurso parodico en tres novelas de Manuel Puig :"	"La traición de Rita Hayworth, Boquitas pintadas y The Buenos Aires affair /"	"by Guadalupe Marti-Peña."	"Marti-Peña, Guadalupe."	"Ph. D."	"University of Washington"	"1990"	"910314s1990\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 245 leaves "			"23246803"
"Eros y Pandora :"	"la novelística de Rosa Chacel y el mundo de la circunstancia orteguiana /"	"Asunción Paloma Martínez-Carbajo."	"Martínez-Carbajo, Asunción Paloma."	"Ph. D."	"University of Washington"	"2001"	"011001s2001\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 254 leaves :"		"http://hdl.handle.net/1773/8306"	"48063022"
"Narrativizando la historia :"	"las novelas contemporáneas de Benito Pérez Galdós /"	"by Juan F. Matallana-Abril."	"Matallana-Abril, Juan F."	"Ph. D."	"University of Washington"	"1992"	"920831s1992\\\\xx\\\\\\\bm\\\000\0\spa\d"	"iv, 244 leaves "			"26511477"
"The malmariée :"	"intertextuality of the theme in twelfth- and thirteenth-century French and Occitan lyric and narrative poetry /"	"Patricia Anne McDowell."	"McDowell, Patricia Anne."	"Ph. D."	"University of Washington"	"2001"	"020719s2001\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 217 leaves "			"50200874"
"The Spanish determiner as lexical category /"		"by Linda McManness."	"McManness, Linda."	"Ph. D."	"University of Washington"	"1990"	"910812s1990\\\\xx\\\\\\\bm\\\000\0\eng\d"	"vi, 149 leaves "			"24224529"
"Eris the impulse at the root of mimesis /"		"Marina P. De McVittie."	"McVittie, Marina P. de."	"Ph. D."	"University of Washington"	"2000"	"010306s2000\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 176 leaves "		"http://hdl.handle.net/1773/8308;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9976027"	"46381895"
"Crebillon and his reader"	"problems in interpretation."		"Milan, Paul Breslin,1942-"	"Ph. D."	"University of Washington"		"890615s1972\\\\xx\\\\\\\bm\\\000\0\eng\d"	"98 leaves"			"19872428"
"The 'Kidney' of Madrid :"	"the literary image of the barrio de Lavapies /"	"by Therese Marie Mirande."	"Mirande, Therese Marie."	"Ph. D."	"University of Washington"	"1993"	"940414s1993\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 128 leaves "			"30148636"
"The theatre of Jean Genet"	"a study in the neo-baroque."		"Moore, Margaret Ann,1945-"	"Ph. D."	"University of Washington"		"890615s1972\\\\xx\\\\\\\bm\\\000\0\eng\d"	"346 leaves"			"19872505"
"Love, marriage and desire in the novelas contemporáneas of Benito Pérez Galdós /"		"by Stella Moreno."	"Moreno, Stella."	"Ph. D."	"University of Washington"	"1991"	"920619s1991\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 263 leaves "			"26050134"
"Ghosts in the machine :"	"nostalgia and technology under the Ancien Régime /"	"Marc Olivier."	"Olivier, M.(Marc)"	"Ph. D."	"University of Washington"	"1999"	"000404s1999\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 240 leaves :"		"http://hdl.handle.net/1773/8290;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9936453"	"43769057"
"La búsqueda de identidad nacional en la poesía negrista de Luis Palés Matos /"		"by Arturo Ortiz."	"Ortiz, Arturo."	"Ph. D."	"University of Washington"	"1984"	"841220s1984\\\\xx\\\\\\\bm\\\000\0\spa\d"	"139 leaves "			"11514760"
"A survey of the literature in the field of foreign language teacher education, 1960-1964."			"Parker, Douglas V."	"M.A."	"University of Washington"		"890608s1965\\\\xx\\\\\\\bm\\\000\0\eng\d"	"182 leaves"			"19836140"
"The despotic body and the nymphomaniac body :"	"Spanish culture from Francisco Franco to Jesús Franco /"	"by Tatjana Pavlovic."	"Pavlovic, Tatjana."	"Ph. D."	"University of Washington"	"1996"	"961105s1996\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 202 leaves "			"35846156"
"Ideologia y discurso narrativo en la obra de Miguel Otero Silva /"		"by Jaime J. Perozo."	"Perozo, Jaime Jose,1951-"	"Ph. D."	"University of Washington"	"1994"	"950818s1994\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 231 leaves "			"33014941"
