245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"The phonology of Chilliwack Halkomelem."			"Harris, Jimmy Gene."	"M.A."	"University of Washington"		"890707s1966\\\\xx\\\\\\\bm\\\000\0\eng\d"	"30 leaves"			"19976355"
"Ki complementation in Hindi."			"Hasnain, Ghulam H."	"M.A."	"University of Washington"		"890509s1975\\\\xx\\\\\\\bm\\\000\0\eng\d"	"103 leaves"			"19679789"
"Snohomish chameleon morphology."			"Hess, Thom,1936-2009."	"M.A."	"University of Washington"		"890622s1964\\\\xx\\\\\\\bm\\\000\0\eng\d"	"24 leaves"			"19911047"
"Snohomish grammatical structure."			"Hess, Thom,1936-2009."	"Ph. D."	"University of Washington"		"890516s1967\\\\xx\\\\\\\bm\\\000\0\eng\d"	"109 [1]"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:6803852"	"19713465"
"Contrastive analysis of English and Swedish phonology."			"Hoard, James Ellsworth,1939-"	"M.A."	"University of Washington"		"890609s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"65 leaves"			"19839686"
"On the foundations of phonological theory."			"Hoard, James Ellsworth,1939-"	"Ph. D."	"University of Washington"		"890612s1967\\\\xx\\\\\\\bm\\\000\0\eng\d"	"126 leaves"			"19851696"
"Japanese compound nouns."			"Huber, Thomas Edward."	"M.A."	"University of Washington"		"890622s1963\\\\xx\\\\\\\bm\\\000\0\eng\d"	"51 leaves"			"19911076"
"An integrated theory of English intonation."			"Huckin, Thomas N."	"Ph. D."	"University of Washington"		"890516s1977\\\\xx\\\\\\\bm\\\000\0\eng\d"	"211 leaves"		"http://hdl.handle.net/1773/8388;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:7800932"	"19713529"
"On locative adverbs in English."			"Hukari, Thomas Emerson,1942-"	"M.A."	"University of Washington"		"890613s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"80 leaves"			"19860419"
"Some logical properties of the English complementation system."			"Hukari, Thomas Emerson,1942-"	"Ph. D."	"University of Washington"		"890614s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"202 leaves"			"19867838"
"A lexical approach to the unpassive construction in English."			"Hust, Joel Roger,1944-"	"Ph. D."	"University of Washington"		"890614s1976\\\\xx\\\\\\\bm\\\000\0\eng\d"	"121 leaves"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:7718360"	"19867793"
"Language interference; three examples of the influence of English on Japanese."			"Ishibashi, Mieko Makishi."	"M.A."	"University of Washington"		"890613s1973\\\\xx\\\\\\\bm\\\000\0\eng\d"	"54 leaves"			"19860391"
"A study of the retrospective suffix and speech level of narration in Korean."			"Jo, Mi-Jeung."	"M.A."	"University of Washington"		"890613s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"59 leaves"			"19860381"
"Some problems in the analysis of Korean tense."			"Kim, Nam-Kil."	"M.A."	"University of Washington"		"890511s1973\\\\xx\\\\\\\bm\\\000\0\eng\d"	"87 leaves"			"19692296"
"Studies in the syntax of Korean complementation."			"Kim, Nam-Kil."	"Ph. D."	"University of Washington"		"890511s1974\\\\xx\\\\\\\bm\\\000\0\eng\d"	"145 leaves"			"19692357"
"Modal auxiliaries in Spanish."			"Klein, Philip W.,1940-"	"M.A."	"University of Washington"		"890511s1968\\\\xx\\\\\\\bm\\\000\0\eng\d"	"62 leaves"			"19691996"
"Observations on the semantics of mood in Spanish."			"Klein, Philip W.,1940-"	"Ph. D."	"University of Washington"		"890511s1974\\\\xx\\\\\\\bm\\\000\0\eng\d"	"149 leaves"			"19692421"
"Problems in psycholinguistic experimentation."			"Kritchman, Sheila."	"M.A."	"University of Washington"		"890511s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"36 leaves"			"19692096"
"Word order in Turkish."			"Kuruoğlu, Ayse Güliz."	"M.A."	"University of Washington"		"890524s1975\\\\xx\\\\\\\bm\\\000\0\eng\d"	"75 leaves"			"19756736"
"Phonology of a black Miao dialect."			"Kwan, Julia Chin."	"M.A."	"University of Washington"		"890615s1966\\\\xx\\\\\\\bm\\\000\0\eng\d"	"44 leaves"			"19872692"
"Economy in phonemics."			"Lackowsi, Peter George,1937-"	"M.A."	"University of Washington"		"890615s1963\\\\xx\a\\\\\bm\\\000\0\eng\d"	"26 leaves"			"19872607"
"The formulation of grammatical rules in language acquisition."			"Lackowski, Peter George."	"Ph. D."	"University of Washington"		"890615s1964\\\\xx\\\\\\\bm\\\000\0\eng\d"	"72 leaves"			"19872634"
"Pro-forms in the Spanish noun phrase."			"Lackstrom, John Edwin."	"M.A."	"University of Washington"		"890524s1967\\\\xx\\\\\\\bm\\\000\0\eng\d"	"125 leaves"			"19756631"
"Agent and non-agent subjects of English causal sentences."			"Lackstrom, John Edwin,1943-"	"Ph. D."	"University of Washington"		"890524s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"164 leaves"			"19756823"
"Some applications of comuputers to linguistic field methods."			"Lawler, John Michael."	"M.A."	"University of Washington"		"890613s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"29 leaves"			"19860455"
"Adjective as a lexical category; an argument from Russian."			"Lawson, Jack Odell."	"M.A."	"University of Washington"		"890613s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"38 leaves"			"19860363"
"Problems in Catalan phonology."			"Lleó, Conxita."	"M.A."	"University of Washington"		"890601s1968\\\\xx\\\\\\\bm\\\000\0\eng\d"	"62 leaves"			"19792727"
"The application of linguistics to English composition teaching."			"Lybbert, Evart Kay."	"M.A."	"University of Washington"		"890719s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"84 leaves"			"20030118"
"A generative phonology of a speech defective child."			"Markessinis, Joan."	"M.A."	"University of Washington"		"890516s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"79 leaves"			"19713408"
"Word boundaries and fast speech."			"Maxwell, Michael B."	"M.A."	"University of Washington"		"890613s1977\\\\xx\\\\\\\bm\\\000\0\eng\d"	"52 leaves"			"19860312"
"Polish phonology"	"a transformational outline."		"Mikulski, Zdzisław."	"M.A."	"University of Washington"		"890613s1971\\\\xx\\\\\\\bm\\\000\0\eng\d"	"92 leaves"			"19860330"
"An analysis of true contractions and quasi-contractions of quotative verb forms in Korean."			"Nam, Ki-shim."	"M.A."	"University of Washington"		"890613s1967\\\\xx\\\\\\\m\\\\000\0\eng\d"	"42 leaves"			"19860439"
"Heavy NP shift: is it cyclic?"			"Nornang, Willa."	"M.A."	"University of Washington"		"890816s1976\\\\xx\\\\\\\bm\\\000\0\eng\d"	"65 leaves"			"20185389"
"A preliminary analysis of Japanese morphophonemics."			"Oyakawa, Takatsugu."	"M.A."	"University of Washington"		"890816s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"104 leaves"			"20185316"
"Clayoquot phonology."			"Paik, Tai Shung."	"M.A."	"University of Washington"		"890524s1968\\\\xx\\\\\\\m\\\\000\0\eng\d"	"52 leaves"			"19756655"
"Referential and nonreferential noun phrases."			"Patrick, Ralph Wayne,1942-"	"M.A."	"University of Washington"	"1970"	"100222s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"121 leaves :"			"525349379"
