245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"An efficiency rating for departmental managers in department stores:"	"based on a study of an assumed typical store, from data pertaining to the Retail research association, furnished by the Bon Marche of Seattle ..."		"Frankenfield, Lorraine."				"960717s1921\\\\xx\a\\\\\bm\\\000\0\eng\d"	"74 leaves"			"35099428"
"Soviet lumber exports and their effect upon the export of lumber from the United States ..."			"Fricke, Edgar Frederick."	"M.B.A."	"University of Washington"		"890613s1931\\\\xx\ab\\\\bm\\\000\0\eng\d"	"126 leaves"			"19861899"
"The cotton manufacturing industry of Japan and her competitors in the oriental markets ..."			"Fushimi, Shigeichi."				"960628s1925\\\\xx\ad\\\\bm\\\000\0\eng\d"	"143 [1] leaf"			"35006213"
"State regulation of aeronautics ..."			"Garretson, Charles Earl."	"M.B.A."	"University of Washington"		"900424s1930\\\\xx\\\\\\\blm\\000\0\eng\d"				"21421041"
"The attitude of churches toward labor ..."			"Gerbel, Maribeth."				"960708s1927\\\\xx\\\\\\\bm\\\000\0\eng\d"	"49 leaves"			"35040600"
"The organization of a course for assistant buyers in a department store ..."			"Grant, Ruth Aeneas."	"M.B.A."	"University of Washington"		"890807s1928\\\\xx\\\\\\\bm\\\000\0\eng\d"	"101 leaves"			"20135097"
"The problem of location in the Pike place farmers' market of Seattle, Washington ..."			"Griesinger, Philip."	"M.B.A."	"University of Washington"		"890619s1929\\\\xx\a\\\\\bm\\\000\0\eng\d"	"65 leaves"			"19891369"
"Wheat: world production and international trade ..."			"Groat, Elva Belle."	"M.B.A."	"University of Washington"		"890731s1928\\\\xx\ab\\\\bm\\\000\0\eng\d"	"154 leaves"			"20100785"
"Anti-chain store legislation ..."			"Haas, Harold Milburn."	"M.B.A."	"University of Washington"		"890705s1930\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 102 leaves"			"19961792"
"The comparative effects of the export of capital on the internal and external economies of the United Kingdom and the United States ..."			"Hall, Melvin Eugene."	"M.B.A."	"University of Washington"		"890705s1931\\\\xx\a\\\\\bm\\\000\0\eng\d"	"96 leaves"			"19961711"
"Development of Longview, Washington ..."			"Hart, Harvey Blake."	"B.B.A."	"University of Washington"		"890705s1929\\\\xx\f\\\\\bm\\\000\0\eng\d"	"60 leaves including plates"			"19961832"
