245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"A comparison of fatty liver of pregnancy in humans and ketosis in pregnant ewes."			"Eisele, John William."	"M.S."	"University of Washington"		"890616s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"74 leaves"			"19880551"
"Immunopathologic aspects of tissue destruction in long-term inflammatory diseases."			"Engel, Lowell David."	"Ph. D."	"University of Washington"		"890616s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"89 leaves"			"19880233"
"The identification of antigens recognized by monoclonal antibodies to human melanoma cells /"		"by Ramon M. Esclamado."	"Esclamado, Ramon M."	"M.S."	"University of Washington"	"1986"	"860331s1986\\\\xx\af\\\\bm\\\000\0\eng\d"	"57 leaves, 9 unnumbered leaves of plates :"			"13364768"
"A mutational analysis of the transactivating domain of the 289R Ela protein of adenovirus type 2 /"		"by Margaret Louise Fahnestock."	"Fahnestock, Margaret Louise."	"Ph. D."	"University of Washington"	"1988"	"890404s1988\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 106 leaves :"			"19494176"
"Synthesis and secretion of the human cholesteryl ester transfer protein (LTP-1) :"	"regulation and implicated functions /"	"by Russell Allen Faust."	"Faust, Russell Allen."	"Ph. D."	"University of Washington"	"1988"	"890630s1988\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xv, 152 leaves :"			"19953645"
"Identification and characterization of the human beta-globin locus activation region /"		"by William C. Forrester."	"Forrester, William C.,1959-"	"Ph. D."	"University of Washington"	"1990"	"910826s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 102 leaves :"			"24294586"
"The melanoma chondroitin sulfate proteoglycan :"	"a biochemical and immunocytochemical analysis of a proteoglycan expressed on microspikes, a specific microdomain of the cell surface /"	"by Henry Jacques Garrigues."	"Garrigues, Henry Jacques,1831-1913."	"Ph. D."	"University of Washington"	"1988"	"890404s1988\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 141 leaves :"			"19494127"
"A study of the mammalian kidney during various states of water balance."			"Griffith, Lyle D."	"M.S."	"University of Washington"		"890513s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"152 leaves"			"19703462"
"Analysis of the biological activities of the E6 and E7 genes of human papillomavirus types 6b and 16 in human epithelial cells /"		"by Christine Lin Halbert."	"Halbert, Christine Lin."	"Ph. D."	"University of Washington"	"1991"	"920518s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 102 leaves :"			"25840517"
"Murine myeloma nuclear DNA-dependent RNA polymerases; isolation and characterization of template interactions."			"Hall, Stanton Harris."	"Ph. D."	"University of Washington"		"890511s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"165 leaves"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:7429423"	"19691466"
"Studies on the anti-donor immune potential of rats operationally tolerant of skin allografts."			"Hamilton, Brian Lukens."	"Ph. D."	"University of Washington"		"890511s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"102 leaves"			"19691477"
"Partial characterization of a 55 kilodalton protein modified by a derivative of mevalonic acid /"		"by Daniel Raymond Harrah."	"Harrah, Daniel Raymond."	"M.S."	"University of Washington"	"1989"	"900419s1989\\\\xx\af\\\\bm\\\000\0\eng\d"	"vi, 67 leaves, 14 unnumbered leaves of plates :"			"21398703"
"Platelet-derived growth factor receptor :"	"studies examining synthesis, phosporylation and degradation of the receptor using an anti-receptor monoclonal antibody /"	"by Charles Edward Hart."	"Hart, Charles Edward."	"Ph. D."	"University of Washington"	"1987"	"880613s1987\\\\xx\af\\\\bm\\\000\0\eng\d"	"vii, 118 leaves, 10 unnumbered leaves of plates :"			"18079291"
"In vivo and in vitro studies of the pathogenesis of phenytoin-induced connective tissue alternations in the gingivae /"		"by Thomas Michael Hassell."	"Hassell, Thomas M."	"Ph. D."	"University of Washington"	"1978"	"820927s1978\\\\xx\a\\\\\bm\\\000\0\eng\d"	"140 leaves :"			"8808761"
"Characterization and kenetic analysis of lymphoid cell mediated inhibition of antibody dependent cellular cytotoxicity /"		"by Michael Vincent Herrick."	"Herrick, Michael Vincent."	"M.S."	"University of Washington"		"890526s1979\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 58 leaves :"			"19768422"
"Structural and metabolic studies of the murine serum amyloid protein (ApoSAA) response /"		"by Jeffrey Stephen Hoffman."	"Hoffman, Jeffrey Stephen."	"Ph. D."	"University of Washington"	"1983"	"830613s1983\\\\xx\af\\\\bm\\\000\0\eng\d"	"viii, 144 leaves, 29 unnumbered leaves of plates :"			"9599693"
"Physical analysis of RecBCD-mediated recombination in Escherichia coli /"		"by Susan Lauranne Holbeck."	"Holbeck, Susan Lauranne,1956-"	"Ph. D."	"University of Washington"	"1991"	"920616s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 117 leaves :"			"26029198"
"Promoters selected from random DNA sequences and their regulation by DNA superhelix-induced cruciform extrusion /"		"by Marshall Scott Horwitz."	"Horwitz, Marshall."	"Ph. D."	"University of Washington"	"1988"	"890117s1988\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 90 leaves :"			"19030064"
"Structure and chemistry of human glomerular basement membrane."			"Huang, Thomas Wen-che."	"Ph. D."	"University of Washington"		"890526s1973\\\\xx\a\\\\\bm\\\000\0\eng\d"	"89 leaves"			"19768378"
"Electrophoretic studies of human alkaline phosphatase."			"Jackson, Douglas Wayne."	"M.S."	"University of Washington"		"890613s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"41 leaves"			"19860639"
"A study of the inhibition of muscle differentiation by histone deacetylase inhibitors /"		"by Laura A. Johnston."	"Johnston, Laura A."	"Ph. D."	"University of Washington"	"1994"	"941104s1994\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 106 leaves :"			"31405199"
"Studies of PDGF/receptor interaction /"		"by James Darrel Kelly."	"Kelly, James Darrel,1953-"	"Ph. D."	"University of Washington"	"1991"	"920124s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 132 leaves :"			"25161729"
"Synthesis of collagen by human glomerular cells in culture /"		"by Paul Driffield Killen."	"Killen, Paul Driffield."	"Ph. D."	"University of Washington"	"1985"	"850816s1985\\\\xx\af\\\\bm\\\000\0\eng\d"	"vii, 120 leaves, 21 unnumbered leaves of plates :"			"12394420"
"Studies on alternative 3' RNA processing in histone genes and on an RNA-binding motif /"		"by Andrew L. Kirsh."	"Kirsh, Andrew L."	"Ph. D."	"University of Washington"	"1993"	"940202s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 52 leaves :"			"29737224"
"Studies of complement-mediated cytolytic effects on mast cells and P815 tumor cells."			"Ko, Li-wen."	"M.S."	"University of Washington"		"890506s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"36 leaves"			"19668386"
"Prostaglandin regulation of synthetic activity in human diploid fibroblasts."			"Ko, San-te David."	"M.S."	"University of Washington"		"890506s1977\\\\xx\a\\\\\bm\\\000\0\eng\d"	"74 leaves"			"19668312"
"A biochemical and genetic analysis of Drosophila src /"		"by Steven James Kussick."	"Kussick, Steven James,1960-"	"Ph. D."	"University of Washington"	"1992"	"930511s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 200 leaves :"			"28088550"
"The cDNA sequence, chromosomal location and characterization of two novel cDNAs in humans :"	"thrombospondin 2 and dermal fibroblast heparan sulfate N-deacetylase/N-sulfotransferase /"	"by Terry Lee LaBell."	"LaBell, Terry Lee."	"Ph. D."	"University of Washington"	"1995"	"960209s1995\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 98 leaves :"			"34164941"
"The effect of the hapten:carrier molar ratio and antigen dose on the rat's immune response to dinitrophenylated human serum albumin."			"Larralde, Carlos,1938-"	"Ph. D."	"University of Washington"		"890616s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"78 leaves"			"19880311"
"Immunological studies in a murine bladder carcinoma model :"	"characterization of tumor-associated antigens and idiotypic analysis of the antibody response /"	"by Victor Kawai Lee."	"Lee, Victor Kawai."	"Ph. D."	"University of Washington"	"1985"	"851217s1985\\\\xx\af\\\\bm\\\000\0\eng\d"	"viii, 118 leaves, 18 unnumbered leaves of plates :"			"12926153"
"Interactions of phosphatidylserine with mast cells /"		"by Thomas Wayne Martin."	"Martin, Thomas Wayne."		"University of Washington"		"790905s1979\\\\xx\af\\\\bm\\\000\0\eng\d"	"ix, 157 leaves, 29 unnumbered leaves of plates :"			"5341031"
"Pathologists' assistants :"	"a review of their role and training programs ; a proposal for a training program at the University of Washington /"	"by Marianne Elizabeth McIlroy."	"McIlroy, Marianne Elizabeth."	"M.S."	"University of Washington"		"790906s1979\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 79 leaves "			"5344862"
"Uptake of aggregated albumin by rat macrophages in vitro"	"affinities of cells for monomeric and aggregated BSA."		"Mehl, Thomas David."	"Ph. D."	"University of Washington"		"890605s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"139 leaves"			"19816652"
"Identification of a family of phosphate transporters that serve as retrovirus receptors /"		"by Daniel G. Miller."	"Miller, Daniel G.(Daniel Guthrie),1965-"	"Ph. D."	"University of Washington"	"1994"	"950412s1994\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 140 leaves :"			"32297636"
"Immunochemical studies on the nature of tumor antigens /"		"by Gerald Hezekiah Mosely."	"Mosely, Gerald Hezekiah."	"Ph. D."	"University of Washington"	"1986"	"860709s1986\\\\xx\af\\\\bm\\\000\0\eng\d"	"ix, 132 leaves, 23 unnumbered leaves of plates :"			"13845196"
"Nonspecific phospholipid exchange proteins :"	"a tool in membrane research /"	"by Kimberly Ann Muczynski."	"Muczynski, Kimberly Ann."	"Ph. D."	"University of Washington"	"1984"	"840910s1984\\\\xx\af\\\\bm\\\000\0\eng\d"	"x, 134 leaves, 18 unnumbered leaves of plates :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:8419177"	"11136092"
"Cytochrome P₄₅₀ and cytochrome b₅ levels in rat liver microsomes during prolonged administration of phenobarbital"	"changes in the topographical relationship of cytochrome b₅."		"Muna, Walinjom Fombad."	"Ph. D."	"University of Washington"		"890620s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"121 leaves"			"19899235"
"The pathogenesis of renal interstitial scar formation and its relationship to renal function in obstruction nephropathy."			"Nagle, Raymond Burdell."	"Ph. D."	"University of Washington"		"890615s1977\\\\xx\a\\\\\bm\\\000\0\eng\d"	"165 leaves"			"19872355"
"Metabolism and utilization of actin in bovine aortic endothelium following release from contact inhibition of growth /"		"by Andrew J. Nelson."	"Nelson, Andrew J."	"M.S."	"University of Washington"	"1985"	"851218s1985\\\\xx\af\\\\bm\\\000\0\eng\d"	"46 leaves, 13 unnumbered leaves of plates :"			"12930674"
"Products of murine spleen cells that specifically modulate cell-medited immunity to syngeneic tumor cells."			"Nelson, Karen Ann Schermer."	"Ph. D."	"University of Washington"		"890615s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"71 leaves"			"19872318"
"Separation of two isozymes from human spleen and their differential uptake by deficient human fibroblasts."			"Nicol, David M."	"M.S."	"University of Washington"		"890821s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"49 leaves"			"20223306"
"Function of the reticuloendothelial system"	"a kinetic study of particle clearance."		"Normann, Sigurd Johns,1935-"	"Ph. D."	"University of Washington"		"890721s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"117 leaves"			"20049406"
"On the replicative potential of vascular and perivascular cells /"		"Charles Edward Ogburn."	"Ogburn, Charles Edward."	"M.S."	"University of Washington"		"890821s1978\\\\xx\a\\\\\bm\\\000\0\eng\d"	"53 leaves :"			"20223326"
"Experimental lathyrism"	"a molecular disease of connective and vascular tissues."		"Page, Roy Christopher,1932-"	"Ph. D."	"University of Washington"		"890616s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"128 leaves"			"19880371"
"Skin fibroblast-mediated gene therapy /"		"by Theodore D. Palmer."	"Palmer, Theodore D.,1958-"	"Ph. D."	"University of Washington"	"1990"	"910306s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 100 leaves :"			"23196953"
"The chemical, anticoagulant, and antithrombin III binding characteristics of heparin fractionated by anion exhcnage chromatography /"		"by Michael William Piepkorn."	"Piepkorn, Michael William."		"University of Washington"		"800825s1980\\\\xx\af\\\\bm\\\000\0\eng\d"	"vii, 93 leaves, 13 unnumbered leaves of plates :"			"6652619"
"Characterization and expression of the melanotransferrin (p97) gene /"		"by Gregory D. Plowman."	"Plowman, Gregory D."	"Ph. D."	"University of Washington"	"1986"	"870403s1986\\\\xx\af\\\\bm\\\000\0\eng\d"	"viii, 229 leaves, 53 unnumbered leaves of plates :"			"15483171"
"Telomere formation in yeast :"	"molecular requirements and a possible role for recombination /"	"by Ann Frances Pluta."	"Pluta, Ann Frances."	"Ph. D."	"University of Washington"	"1988"	"890216s1988\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 129 leaves :"			"19226733"
"Molecular and genetic analysis of the Chi and M26 recombination hotspots /"		"by Alfred Salvatore Ponticelli."	"Ponticelli, Alfred Salvatore."	"Ph. D."	"University of Washington"	"1988"	"890707s1988\\\\xx\af\\\\bm\\\000\0\eng\d"	"viii, 142 leaves, 6 unnumbered leaves of plates :"			"19979374"
"A study of the effects of specific genotypic alterations on the virulence of the filamentous ascomycete Aspergillus nidulans for male DBA/2J mice."			"Purnell, Dallas Michael,1939-"	"Ph. D."	"University of Washington"		"890616s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"174 leaves"			"19878915"
"Aspects of the regulation and function of metallothionein in the mouse /"		"by Carol Jo Quaife."	"Quaife, Carol Jo."	"Ph. D."	"University of Washington"	"1984"	"840410s1984\\\\xx\af\\\\bm\\\000\0\eng\d"	"v, 105 leaves, 14 unnumbered leaves of plates :"			"10612638"
"The isolation and characterization of SSX2 and SSX3 as suppressors of SWI6 /"		"by Tineka Jager Quinton."	"Quinton, Tineka Jager."	"M.S."	"University of Washington"	"1993"	"930914s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 53 leaves :"			"28820958"
"Morphologic and biochemical observations on the development of the rat parotid gland."			"Redman, Robert Shelton,1935-"	"Ph. D."	"University of Washington"		"890616s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"137 leaves"			"19878907"
"Studies on protein synthesis in the rat parotid gland"	"morphology and incorporation of amino acids by a ribonucleoprotein cell-free system."		"Robinovitch, Murray Ralph,1939-"	"Ph. D."	"University of Washington"		"890616s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"110 leaves"			"19878895"
"Analysis of the Trypanosoma equiperdum variable surface glycoprotein expression site /"		"by Douglas T. Ross."	"Ross, Douglas T."	"Ph. D."	"University of Washington"	"1992"	"930622s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 150 leaves :"			"28312711"
"Collagen formation under normal and pathological conditions."	"Studies of healing wounds from normal, scorbutic, and ascorbic acid-treated scorbutic guinea pigs."		"Ross, Russell,1929-"	"Ph. D."	"University of Washington"		"890531s1962\\\\xx\a\\\\\bm\\\000\0\eng\d"	"139 leaves"			"19787936"
"Physical perturbations of a yeast telomere :"	"effects on chromosome stability, cell cycle and telomere position effect /"	"by Lisa Leopold Sandell."	"Sandell, Lisa Leopold."	"Ph. D."	"University of Washington"	"1994"	"950626s1994\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 97 leaves :"			"32711719"
"Effects of 5-bromodeoxyuridine on the expression of hypoxanthine-guanine phosphoribosyl transferase in enzyme deficient and sufficient diploid human fibroblasts /"		"Barbara Rae Schwartz."	"Schwartz, Barbara Rae."	"M.S."	"University of Washington"		"890515s1978\\\\xx\a\\\\\bm\\\000\0\eng\d"	"73, [1] leaves :"			"19706655"
"Structure-function relationships in the aortic intima."			"Schwartz, Stephen Mark."	"Ph. D."	"University of Washington"		"890515s1973\\\\xx\a\\\\\bm\\\000\0\eng\d"	"195 leaves"			"19706586"
"On the mechanism of oyster amoebocyte aggregation /"		"by Ronald Albert Seifert."	"Seifert, Ronald Albert."	"Ph. D."	"University of Washington"	"1983"	"830913s1983\\\\xx\af\\\\bm\\\000\0\eng\d"	"ix, 145 leaves, 34 unnumbered leaves of plates :"			"9902387"
"Studies of endothelial wound repair in vitro /"		"by Sydney Charles Selden, III."	"Selden, Sydney Charles."	"Ph. D."	"University of Washington"	"1980"	"810112s1980\\\\xx\af\\\\bm\\\000\0\eng\d"	"vii, 136 leaves, 35 unnumbered leaves of plates :"			"7056879"
"A study of antineutrophil serum in guinea pigs and its use in examination of the role of the neutrophilic leukocyte in wound repair."			"Simpson, David Murray,1941-"	"Ph. D."	"University of Washington"		"890605s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"147 leaves"			"19816564"
"An experimental study of premalignant mammary tissues of mice."			"Slemmer, Glenn Lee,1939-"	"Ph. D."	"University of Washington"		"890605s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"332 leaves"			"19816613"
"Acute liver injury; the early effects of carbon tetrachloride."			"Smuckler, Edward Aaron,1931-"	"Ph. D."	"University of Washington"		"890601s1963\\\\xx\a\\\\\bm\\\000\0\eng\d"	"102 leaves"			"19792828"
"Cytogenetic studies of somatic recombination in cultured human fibroblasts (1)."			"Sprague, Curtis Allen."	"M.S."	"University of Washington"		"890516s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"42 leaves"			"19714012"
"Identification and characterization of glutathione-S-transferase isozyme in 2-chloroethylnitrosourea-resistant human malignant astrocytoma cell lines /"		"by Razia Sultana."	"Sultana, Razia."	"M.S."	"University of Washington"	"1991"	"910917s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 48 leaves :"			"24396140"
"Two aspects of the mammalian sex chromosomes :"	"mouse X-linked gene Sb1.8 and role of the Y-chromosome in gonadoblastoma /"	"by Razia Sultana."	"Sultana, Razia."	"Ph. D."	"University of Washington"	"1995"	"960209s1995\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 103 leaves :"			"34165176"
"Aging and ribosomal RNA genes in the laboratory mouse /"		"by Karen Lynn Swisshelm."	"Swisshelm, Karen Lynn,1947-"	"Ph. D."	"University of Washington"	"1989"	"900316s1989\\\\xx\af\\\\bm\\\000\0\eng\d"	"vii, 153 leaves, 19 unnumbered leaves of plates :"			"21224327"
