245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Design and construction of a solid-injection Diesel fuel system."			"Fry, Penrose Wesley."	"B.S. in M.E."	"University of Washington"		"080520s1934\\\\xx\\\\\\\m\\\\000\0\eng\d"	"25 leaves"			"228409674"
"Observations on the testing of V belts."			"Gonnella, Airo Mario."	"B.S. in M.E."	"University of Washington"		"080520s1936\\\\xx\\\\\\\m\\\\000\0\eng\d"	"25 leaves"			"228409731"
"Construction of a V type two cylinder four cycle motorcyle engine of high efficiency."			"Graves, Kenneth Nelson."	"B.S. in M.E."	"University of Washington"		"080520s1936\\\\xx\\\\\\\m\\\\000\0\eng\d"	"15 leaves"			"228409864"
"Wearing properties of sand cast aluminum piston alloys against surfaces of commercial cylinder cast iron."			"Grinstead, Loren."	"B.S.M.E."	"University of Washington"		"080520s1935\\\\xx\\\\\\\m\\\\000\0\eng\d"	"25 leaves"			"228409346"
"Development and testing of a supercharger for the passenger car engine."			"Hage, Sigurd Daniel."	"B.S. in M.E."	"University of Washington"		"080520s1937\\\\xx\\\\\\\m\\\\000\0\eng\d"	"16 leaves"			"228409863"
"Rotary scavenger blower."			"Henderson, George."	"B.S. in M.E."	"University of Washington"		"080520s1936\\\\xx\\\\\\\m\\\\000\0\eng\d"	"23 leaves"			"228409670"
"Practical engineering of air conditioning for summer comfort."			"Hendrickson, Harold Martin."	"M.E."	"University of Washington"		"080520s1935\\\\xx\\\\\\\m\\\\000\0\eng\d"	"iv, 68 leaves"			"228409247"
"Research and developments in the construction and use of plastic patterns."			"Higgins, Elliott Bryant."	"B.S. in M.E."	"University of Washington"		"080520s1934\\\\xx\\\\\\\m\\\\000\0\eng\d"	"37 leaves"			"228409744"
"Low-compression spark-ignition Diesl-oil-burning engine."			"Hilands, William Henry."	"B.S. in M.E."	"University of Washington"		"080520s1935\\\\xx\\\\\\\m\\\\000\0\eng\d"	"14 leaves"			"228409704"
"Design, construction, and calibration of a hydraulic universal testing machine."			"Hitchcock, Ralph Clark."	"B.S.M.E."	"University of Washington"		"080520s1937\\\\xx\\\\\\\m\\\\000\0\eng\d"	"iii, 29 leaves"			"228409669"
"Study of the relationship of power consumption to the life of lathe tools."			"Hite, Merrill Wallace."	"B.S. in M.E."	"University of Washington"		"080520s1937\\\\xx\\\\\\\m\\\\000\0\eng\d"	"ii, 25 leaves"			"228409724"
