245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Urban consolidation :"	"an analysis of accessory dwelling units and backyard cottages in Seattle /"	"Nathaniel Taylor Hickey."	"Hickey, Nathaniel Taylor."	"M. Urban Plan."	"University of Washington"	"2010"	"101229s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 106 pages :"			"694518412"
"Application of optimization to the production planning of construction prefabrication supply chains /"		"Chung Thi Thu Ho."	"Ho, Chung Thi Thu,author."	"Ph. D."	"University of Washington"	"2019."	"190906t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (viii, 104 pages) :"	"Kim, Yong-Woo,1972-degree supervisor.http://www.wikidata.org/entity/Q105284102"	"http://hdl.handle.net/1773/44071"	"1117509432"
"Aligning contractual, technological, and organizational elements to achieve higher performance buildings :"	"a qualitative comparative analysis approach /"	"Hoda Homayouni."	"Homayouni, Hoda,author.http://www.wikidata.org/entity/Q106195580"	"Ph. D."	"University of Washington"	"2015"	"151216t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (vii, 156 pages) :"	"Dossick, Carrie Sturts,1973-degree supervisor.http://www.wikidata.org/entity/Q99439465"	"http://hdl.handle.net/1773/33622"	"932350992"
"Coming home to the land :"	"natural farming as therapeutic landscape experience in Chengdu Plain, China /"	"Jaiwen Hu."	"Hu, Jiawen,1984-author."	"Ph. D."	"University of Washington"	"2015"	"151216t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (x, 200 pages) :"	"Mugerauer, Robert,degree supervisor.http://www.wikidata.org/entity/Q101210396"	"http://hdl.handle.net/1773/33625"	"932351819"
"Remaking Chinese planning as a profession :"	"growing demand and challenges /"	"Kuang-ting Huang."	"Huang, Kuang-ting."	"Ph. D."	"University of Washington"	"2012"	"130129s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (v, 143 pages) :"	"Abramson, Daniel(Daniel Benjamin),1963-thesis advisor.http://www.wikidata.org/entity/Q103814558"	"http://hdl.handle.net/1773/20883"	"825818367"
"Carescapes :"	"transnational urban redevelopment of the post-colonial Hong Kong /"	"Shu-Mei Huang."	"Huang, Shu-Mei,1979-author."	"Ph. D."	"University of Washington"	"2012"	"140328s2012\\\\xx\ab\\\obm\\\000\0\eng\d"	"1 online resource (xii, 306 pages) :"	"Mugerauer, Robert,degree supervisor.http://www.wikidata.org/entity/Q101210396"	"http://hdl.handle.net/1773/22603"	"875016202"
"Community of industry :"	"making a postconsumer digital crafts center on the Duwamish Industrial Waterway /"	"Jack T. Hunter."	"Hunter, Jack T.,author."	"M. Arch."	"University of Washington"	"2010"	"110420s2010\\\\xx\ab\\\\bm\\\000\0\eng\d"	"v, 60 pages :"			"713661520"
"Measured, marked, modeled :"	"becoming with the urban landscape /"	"Sara Jacobs."	"Jacobs, Sara(Professor of Landscape architecture),author.http://www.wikidata.org/entity/Q107281760"	"Ph. D."	"University of Washington"	"2020."	"210402t20202020wauab\\\obm\\s000\0\eng\c"	"1 online resource (7 unnumbered pages, 207 pages):"	"Way, Thaïsa,1960-degree supervisor.http://www.wikidata.org/entity/Q105100012"	"http://hdl.handle.net/1773/46390"	"1244554767"
"Recall a Chinese traditional residential community :"	"""hutong"" /"	"Ang Jiao."	"Jiao, Ang,author."	"M. Arch."	"University of Washington"	"2017"	"170918t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (70 pages) :"	"Manio, Claudine,degree supervisor."	"http://hdl.handle.net/1773/39968"	"1004241081"
"History, narrative, and production in the Cheonggyecheon reconstruction /"		"Eyun Jennifer Kim."	"Kim, Eyun Jennifer,author."	"Ph. D."	"University of Washington"	"2018."	"190129t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (vii, 272 pages):"	"Way, Thaïsa,1960-degree supervisor.http://www.wikidata.org/entity/Q105100012"	"http://hdl.handle.net/1773/42984"	"1083548612"
