245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Formal proof systems for the tautology problem /"		"by Steven Firebaugh."	"Firebaugh, Steven."	"M.S."	"University of Washington"	"1991"	"920519s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 44 [1] pages :"			"25846031"
"Constraint imperative programming /"		"by Bjorn Freeman-Benson."	"Freeman-Benson, Bjorn,1963-"	"Ph. D."	"University of Washington"	"1991"	"920211s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xi, 172 leaves :"			"25260404"
"Issues in the design of an integrated programming language and data management system for knowledge-based computer vision /"		"by Andrew M. Goodman."	"Goodman, Andrew M."	"M.S."	"University of Washington"	"1990"	"910204s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 158 leaves :"			"23058260"
"Program restructuring as an aid to software maintenance /"		"by William G. Griswold."	"Griswold, William G.,1962-"	"Ph. D."	"University of Washington"	"1991"	"920213s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 189 leaves :"			"25274189"
"A procedure based expert system for computer operations support /"		"by Susan M. Hashisaki."	"Hashisaki, Susan M."	"M.S."	"University of Washington"	"1990"	"910513s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 74 leaves :"			"23738285"
"Parallel programming, partitioning, and unit-delay logic simulation /"		"by Christopher A. Hébert."	"Hébert, Christopher A."	"M.S."	"University of Washington"	"1992"	"930519s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 42 leaves :"			"28131468"
"Formal models in computer architecture /"		"by Samuel William Ho."	"Ho, Samuel William,1968-"	"Ph. D."	"University of Washington"	"1991"	"910827s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 76 leaves :"			"24299974"
"A user-friendly graphics toolkit for network management /"		"by James Phillip Hogle."	"Hogle, James Phillip."	"M.S."	"University of Washington"	"1990"	"910513s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 88 leaves :"			"23738332"
"Reconfigurable hardware for digital signal processing algorithms /"		"by Frederick R. Hood."	"Hood, Frederick R."	"M.S."	"University of Washington"	"1993"	"940506s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 79 leaves :"			"30397161"
"Application of Dantzig-Wolfe decomposition to the performance analysis of asynchronous circuits /"		"by David Lyons Hubbell."	"Hubbell, David Lyons."	"M.S."	"University of Washington"	"1993"	"931230s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 31, [1] leaves :"			"29562483"
"Synthesis of vision algorithms based on state-space search /"		"by Shu-Yuen Hwang."	"Hwang, Shu-Yuen,1959-"	"Ph. D."	"University of Washington"	"1989"	"900801s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xi, 136 leaves :"			"22167077"
"Managing applications using the simple network management protocol :"	"a SYBASE monitoring prototype /"	"by Julia Lee Jaundalderis."	"Jaundalderis, Julia Lee."	"M.S."	"University of Washington"	"1991"	"930203s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 92 leaves :"			"27367943"
"The real-time producer/consumer paradigm :"	"towards verifiable real-time computations /"	"by Kevin Jeffay."	"Jeffay, Kevin,1960-"	"Ph. D."	"University of Washington"	"1989"	"900411s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xii, 235 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9013801"	"21359021"
"Real-time processing of moving data /"		"by Simon H. Kahan."	"Kahan, Simon H.,1964-"	"Ph. D."	"University of Washington"	"1991"	"920406s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 106 leaves :"			"25599881"
"Parallel algorithms for geometric intersection graphs /"		"by Sung Kwon Sim."	"Kim, Sung Kwon,1958-"	"Ph. D."	"University of Washington"	"1990"	"910619s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 110 leaves :"			"23957673"
"A C++ based project for an undergraduate operating systems course /"		"by Dean Kling."	"Kling, Dean."	"M.S."	"University of Washington"	"1990"	"910830s1990\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 99 leaves "			"24316849"
"Knowledge-based organ identification from CT images /"		"by Masaharu Kobashi."	"Kobashi, Masaharu."	"M.S."	"University of Washington"	"1992"	"921201s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 40, [1] leaves :"			"27047988"
"Dynamic load balancing in a distributed-parallel object-oriented environment /"		"by Simon M. Koeman."	"Koeman, Simon M."	"M.S."	"University of Washington"	"1990"	"910830s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 66 leaves :"			"24315717"
"Deterministic and chaotic adaptive routing in multicomputers /"		"by Smaragda Konstantinidou."	"Konstantinidou, Smaragda."	"Ph. D."	"University of Washington"	"1991"	"911023s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 120 leaves :"			"24612142"
"Communication complexity :"	"iterative techniques for lower bounds /"	"by Joan T. Lawry."	"Lawry, Joan T.,1958-"	"Ph. D."	"University of Washington"	"1993"	"931011s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 142 leaves :"			"28981023"
"A study on Internet management /"		"by Sai Lun Li."	"Li, Sai Lun."	"M.S."	"University of Washington"	"1990"	"910226s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 99 leaves :"			"23157624"
"The portability of parallel programs across MIMD computers /"		"by Calvin Lin."	"Lin, Calvin,1963-"	"Ph. D."	"University of Washington"	"1992"	"930512s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 169 pages :"			"28095817"
"Understanding the limits of optimistic and conservative parallel simulation /"		"by Yi-Bing Lin."	"Lin, Yi-Bing."	"Ph. D."	"University of Washington"	"1990"	"910813s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xii, 267 leaves :"			"24229012"
"An expanded system for coordinate-free geometric programming /"		"by William J.R. Longabaugh."	"Longabaugh, William J. R."	"M.S."	"University of Washington"	"1992"	"920917s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xi, 182 leaves :"			"26621121"
"Generalized B-spline surfaces of arbitrary topological type /"		"by Charles Teorell Loop."	"Loop, Charles Teorell."	"Ph. D."	"University of Washington"	"1992"	"920916s1992\\\\xx\a\\\\\bmt\\000\0\eng\d"	"viii, 106 leaves :"		"http://hdl.handle.net/1773/6888"	"26615093"
"Formal specification of interactive graphics programming languages /"		"by William Roberts Mallgren."	"Mallgren, William R.(William Roberts)"	"Ph. D."	"University of Washington"	"1981"	"811215s1981\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 270 leaves :"			"7996439"
"Using constraints for user interface construction /"		"by John Harold Maloney."	"Maloney, John Harold,1958-"	"Ph. D."	"University of Washington"	"1991"	"920213s1991\\\\xx\a\\\\\bmt\\000\0\eng\d"	"xii, 177 leaves :"		"http://hdl.handle.net/1773/6872;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9203280"	"25274181"
"Surface approximation using geometric hermite patches /"		"by Stephen Mann."	"Mann, Stephen,1963-"	"Ph. D."	"University of Washington"	"1992"	"930602s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 106 leaves :"			"28196830"
"Programming with mediators :"	"developing a graphical mesh environment /"	"by Tomson McCabe."	"McCabe, Tomson."	"M.S."	"University of Washington"	"1991"	"910827s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 56 pages :"			"24299997"
"A task allocator for real-time multi-processor simulations /"		"by Daniel M. Miles."	"Miles, Daniel M.(Daniel Michael)"	"M.S."	"University of Washington"	"1993"	"930916s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 34, [2] leaves :"			"28833525"
"Memory hierarchy management schemes in large scale shared-memory multiprocessors /"		"by Sang Lyul Min."	"Min, Sang Lyul,1961-"	"Ph. D."	"University of Washington"	"1989"	"900417s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 200 leaves :"			"21385734"
"A scalable replicated information distribution service /"		"by David Morgan."	"Morgan, David."	"M.S."	"University of Washington"	"1990"	"910306s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 45, [3] leaves :"			"23195890"
"A TCP/IP user library in a Mach 3.0 system /"		"by Evelyn Moy."	"Moy, Evelyn."	"M.S."	"University of Washington"	"1993"	"930914s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 44 leaves :"			"28824641"
"The virtual system model :"	"a scalable approach to organizing large systems /"	"by Barry Clifford Neuman."	"Neuman, Barry Clifford,1963-"	"Ph. D."	"University of Washington"	"1992"	"930218s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xi, 177 leaves :"			"27464821"
"Non-intrusive error reporting :"	"one use of interactive color displays within software environments /"	"by Bruce Alan Oberg."	"Oberg, Bruce Alan."	"M.S."	"University of Washington"	"1989"	"900802s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 42, [1] leaves :"			"22170217"
"Antialiased raytracing by adaptive progressive refinement /"		"by James S. Painter."	"Painter, James S.,1956-"	"Ph. D."	"University of Washington"	"1990"	"901030s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 78 leaves :"			"22609226"
