245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"The history of the flute and its music in the United States ..."			"Giroux, Paul Henry."	"M.A. in Music"	"University of Washington"		"890823s1952\\\\xx\h\\\\\bm\\\000\0\eng\d"	"iv, 255 leaves"			"20234779"
"A cappella choral settings for mixed voices of selected texts from the psalms ..."			"Glarum, Leonard Stanley."				"930113s1946\\\\xx\\\\\\\m\\\\000\0\eng\d"	"4 preliminary leaves, 63 leaves"			"27247369"
"A translation and adaptation of La cambiale di matrimonio by Gioacchino Antonio Rossini."			"Goleeke, William R."	"M.A. in Mus."	"University of Washington"		"890828s1955\\\\xx\a\\\\\bm\\\000\0\eng\d"	"114 leaves"			"20270183"
"The development of musicianship in high school band players as a aid to proficiency in sight reading ..."			"Hallgrimson, Benedict Triovi."	"M.A. in Mus."	"University of Washington"		"890707s1953\\\\xx\g\\\\\bm\\\000\0\eng\d"	"114 leaves"			"19977672"
"The rhythmic, melodic and harmonic practice of Olivier Messiaen ..."			"Hansen, Edward Allen."	"M.A. in Mus."	"University of Washington"		"890707s1952\\\\xx\g\\\\\bm\\\000\0\eng\d"	"vii, 56 leaves"			"19977588"
"François Couperin le Grand and his harpsichord pieces ..."			"Harper, Flora Gwendoline."	"M.A. in Mus."	"University of Washington"		"890613s1947\\\\xx\j\\\\\bm\\\000\0\eng\d"	"84 leaves"			"19861141"
"A study of the problems of the boys' glee club in high school ..."			"Hart, Florence Bird."	"M.A. in Mus."	"University of Washington"		"890613s1951\\\\xx\\\\\\\bm\\\000\0\eng\d"	"56 leaves"			"19861220"
"The New England colonial singing school."			"Hopkins, Walter."	"M.A. in Music"	"University of Washington"		"890613s1956\\\\xx\h\\\\\bm\\\000\0\eng\d"	"120 leaves"			"19863634"
"Instruments and instrumental performance 1100-1400 A.D. ..."			"Howard, Wanda Medora."	"M.A. in Music"	"University of Washington"		"890613s1948\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 132 leaves"			"19863447"
"A survey of eighteenth century orchestral literature of Mannheim and Vienna with selected examples arranged for secondary school orchestras."			"Jakey, Howard R."	"M.A. in Mus."	"University of Washington"		"930503s1955\\\\xx\g\\\\\abm\\000\0\eng\d"	"v, 50 leaves, and score (91 pages)"			"28035627"
"Some consort music of John Jenkins,"		"by John Douglas Workman ..."	"Jenkins, John,1592-1678."	"M.A. in Music"	"University of Washington"		"890613s1953\\\\xx\g\\\\\bm\\\000\0\eng\d"	"xv, 95 pages (on double leaves)"	"Workman, John Douglas."		"19863596"
"An analysis of Béla Bartók's Sonata for solo violin."			"Kantner, Karla."	"M.A. in Mus."	"University of Washington"		"890823s1957\\\\xx\\\\\\\bm\\\000\0\eng\d"	"32, [2] leaves"			"20234842"
"Elements of the style of Gabriel Fauré."			"Kerr, Wallis."	"M.A. in Mus."	"University of Washington"		"890608s1958\\\\xx\\\\\\\bm\\\000\0\eng\d"	"195 leaves"			"19834908"
"Music in colonial Philadelphia, 1664-1776 ..."			"Kinscella, Hazel Gertrude."	"D. Phil."	"University of Washington"		"890608s1941\\\\xx\\\\\\\bm\\\000\0\eng\d"	"116 leaves"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:DP16267"	"19834672"
"The ars inveniendi of rhetoric as applied to music in Johann Mattheson's Der vollkommene Capellmeister."			"Koch, Don J."	"M.A. in Mus."	"University of Washington"		"890623s1958\\\\xx\ag\\\\bm\\\000\0\eng\d"	"133 leaves"			"19914907"
"The brass sextet: A short history of its component instruments"	"a discussion of the principles of arranging; and five arrangements by the author ..."		"Krenz, Edward Buchmann."	"M.A. in Mus."	"University of Washington"		"890823s1952\\\\xx\g\\\\\bm\\\000\0\eng\d"	"128 leaves"			"20234602"
"American national music in the compositions of Charles Ives."			"Logan, Adeline Marie."	"M.A."	"University of Washington"	"1943"	"850906s1943\\\\xx\ag\\\\m\\\\000\0\eng\d"	"77 leaves"			"12495938"
"Principles of arranging for woodwind quintet /"		"Horace Lowell Lyford."	"Lyford, Horace Lowell."	"M.A. Music"	"University of Washington"	"1947"	"850301s1947\\\\xx\g\\\\\bm\\\000\0\eng\d"	"ii, 146 leaves :"	"Bach, Johann Sebastian,1685-1750.Christus, der uns selig macht;arranged.;Debussy, Claude,1862-1918.Children's corner.Little shepherd;arranged.;MacDowell, Edward,1860-1908.Woodland sketches.To a wild rose;arranged.;Mozart, Wolfgang Amadeus,1756-1791.Quintets,clarinet, basset horn, violin, viola, cello,K. Anh. 90,F major;arranged.;Prokofiev, Sergey,1891-1953.Pieces,piano,op. 59,Progulka;arranged."		"11751958"
"A stylistic study of the Magelone Lieder of Johannes Brahms."			"Marshall, Russell Joseph."	"M.A. in Music"	"University of Washington"		"890614s1955\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 67 leaves"			"19866076"
"An analysis of the Mikrokosmos of Béla Bartók /"		"by Wallace Elwood Marshall."	"Marshall, Wallace(Wallace Elwood),author.http://www.wikidata.org/entity/Q106315705"	"M.A. in Music"	"University of Washington"		"150810s1946\\\\waug\\\\obm\\s000\0\eng\d"	"1 online resource (104 leaves) :"		"http://hdl.handle.net/1773/23935"	"917196808"
"An analysis of the Mikrokosmos of Béla Bartók ..."			"Marshall, Wallace(Wallace Elwood),author."	"M.A. in Music"	"University of Washington"	"1946"	"890613s1946\\\\xx\\\\\\\bm\\\000\0\eng\d"	"104 leaves"			"19863386"
"Contrapuntal technique in the sacred vocal works of Francisco Guerrero,"		"by Sister Mary Edwina, O.P. <Mary Marjorie Sweeney> ..."	"Mary Edwina,Sister."	"M.A. in Music"	"University of Washington"		"890613s1946\\\\xx\ag\\\\bm\\\000\0\eng\d"	"3 preliminary leaves, 111 leaves"			"19863272"
"The musical meter of the English lute air,"		"by Sister Mary Francesca, F.S.P.A. (Ursula Zoeller) ..."	"Mary Francesca,Sister."	"Master of Music"	"University of Washington"		"890614s1942\\\\xx\ag\\\\bm\\\000\0\eng\d"	"111 leaves"			"19866406"
"A study of the introit Resurrexi from five medieval manuscripts in neume notation,"		"by Sister Mary Joseph, O.P., (Mary Felicia Towey) ..."	"Mary Joseph,Sister."	"M.A. in Music Ed."	"University of Washington"		"890614s1943\\\\xx\agh\\\bm\\\000\0\eng\d"	"164 leaves"			"19866489"
