245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"The low temperature oxidation of magnetite and titanomagnetite and the implications for paleomagnetism."			"Johnson, Harlan Paul,1939-"	"Ph. D."	"University of Washington"		"890615s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"117 [1] leaf"			"19872960"
"Stress waves in snow /"		"Jerome Ben Johnson."	"Johnson, Jerome Ben."	"Ph. D."	"University of Washington"		"890615s1978\\\\xx\a\\\\\bm\\\000\0\eng\d"	"148 leaves :"			"19873149"
"Resonant interaction of internal waves in linear shear flow."			"Jones, Kathleen Ferris."	"M.S."	"University of Washington"		"890610s1974\\\\xx\\\\\\\bm\\\000\0\eng\d"	"19 leaves"			"19844337"
"Aspects of equatorial pitch angle anisotropy and particle precipitation."			"Kaye, Stanley Martin."	"M.S."	"University of Washington"		"890513s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"83 leaves"			"19703414"
"Crustal structure of the East Pacific rise"	"computed models from gravity data."		"Kazzaz, Hisham Hassan."	"M.S."	"University of Washington"		"890513s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"58 leaves"			"19703265"
"Seismic refraction, gravity anomalies, and the Peru trench /"		"Barry Ruland Keller."	"Keller, Barry Ruland."	"M.S."	"University of Washington"		"890513s1978\\\\xx\a\\\\\bm\\\000\0\eng\d"	"39 leaves :"			"19703359"
"The sensitivity of a pack ice model to initial ice thickness distribution."			"Kettleson, Michael Lee."	"M.S."	"University of Washington"		"890513s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"55 leaves"			"19703371"
"Seismicity, crustal structure, and tectonics near the northern termination of the San Andreas fault /"		"by John Stafford Knapp, Jr."	"Knapp, John Stafford."	"Ph. D."	"University of Washington"	"1982"	"820712s1982\\\\xx\abf\\\bm\\\000\0\eng\d"	"xxv, 316 leaves, 6 unnumbered leaves of plates :"			"8593182"
"Velocity changes associated with the Ferndale earthquake,"		"by John Stafford Knapp, Jr."	"Knapp, John Stafford."	"M.S."	"University of Washington"		"890513s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"93 leaves"			"19703391"
"Plastic deformation in two single crystal clinopyroxenes /"		"by Jack John Kollé."	"Kollé, Jack John."		"University of Washington"		"800818s1980\\\\xx\af\\\\bm\\\000\0\eng\d"	"viii, 174 leaves, 27 unnumbered leaves of plates (some color) :"			"6632038"
"Sea breezes on the Alaskan Arctic coast /"		"by Thomas Leslie Kozo."	"Kozo, Thomas Leslie."		"University of Washington"		"791003s1979\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 192 leaves :"			"5461341"
"Crustal deformation in central California :"	"multi-wavelength geodetic observations and interpretations /"	"by John Oliver Langbein."	"Langbein, John Oliver."		"University of Washington"		"790814s1979\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 202 leaves :"			"5270958"
"Well log characteristics of the Columbia River Basalts /"		"by Eric N. Lanning."	"Lanning, Eric N."	"M.S."	"University of Washington"	"1981"	"810818s1981\\\\xx\ab\\\\bm\\\000\0\eng\d"	"vi, 151 leaves :"			"7679886"
"Effect of magnetosheath flow on magnetopause fields."			"Leamy, David Wilson."	"M.S."	"University of Washington"		"890610s1973\\\\xx\a\\\\\bm\\\000\0\eng\d"	"33 leaves"			"19844338"
"A refraction study of the Oregon Cascades /"		"by Donald S. Leaver."	"Leaver, Donald S."	"M.S."	"University of Washington"	"1982"	"820825s1982\\\\xx\abf\\\bm\\\000\0\eng\d"	"v, 67 leaves, 2 unnumbered leaves of plates :"			"8717539"
"Some magnetic properties of magnetite as a function of grain size and their implications for paleomagnetism."			"Levi, Shaul."	"Ph. D."	"University of Washington"		"890512s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"210 leaves"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:7528383"	"19700300"
"A magnetic profile of a Casade volcano, Mt. Baker, Washington /"		"by Daniel Matthew Likarish."	"Likarish, Daniel Matthew."	"M.S."	"University of Washington"		"890610s1978\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 59 leaves :"			"19844344"
"Light adsorption by atmospheric aerosol and its global climatic implications."			"Lin, Chin-i."	"Ph. D."	"University of Washington"		"890615s1973\\\\xx\a\\\\\bm\\\000\0\eng\d"	"83 leaves"			"19873053"
"A study of upper mantle structure in the Pacific Northwest using P waves from teleseisms."			"Lin, Jia-wen."	"Ph. D."	"University of Washington"		"890615s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"97 leaves"			"19873097"
"Linear inversion of gravity data with geological and geophysical constraints /"		"by Jeffrey Donald MacQueen."	"MacQueen, Jeffrey Donald,1955-"	"Ph. D."	"University of Washington"	"1982"	"820712s1982\\\\xx\af\\\\bm\\\000\0\eng\d"	"vi, 137 leaves, 66 unnumbered leaves of plates :"			"8593197"
"An analysis of continuous seismic profiles from the Strait of Juan de Fuca."			"Mayers, Ian Richard."	"M.S."	"University of Washington"		"890602s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"123 leaves"			"19804051"
"The implication of Pn amplitudes for velocity gradients in the uppermost oceanic mantle /"		"by James Steven McClain."	"McClain, James Steven."		"University of Washington"		"790815s1979\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 96 leaves :"			"5275770"
"A geophysical study of accretionary processes on the Washington continental margin /"		"by Kevin John McClain."	"McClain, Kevin John."	"Ph. D."	"University of Washington"	"1981"	"820329s1981\\\\xx\abf\\\bm\\\000\0\eng\d"	"vii, 141 leaves, 47 unnumbered leaves of plates :"			"8287410"
"Avalanche defense mechanics."			"McClung, David Michael."	"Ph. D."	"University of Washington"		"890512s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"103 leaves"			"19700239"
"An array study of upper mantle seismic veolcity in Washington State."			"McCollom, Robert Lloyd."	"M.S."	"University of Washington"		"890512s1972\\\\xx\ab\\\\bm\\\000\0\eng\d"	"62 leaves"			"19700150"
"An experimental investigation of the boundary layer under pack ice."			"McPhee, Miles Gordon."	"Ph. D."	"University of Washington"		"890522s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"164. leaves"			"19744939"
"The structure of the oceanic crust off southern Peru determined from an OBS experiment."			"Meeder, Charles Andrew."	"M.S."	"University of Washington"		"890602s1977\\\\xx\a\\\\\bm\\\000\0\eng\d"	"31 leaves"			"19803900"
"Physical and chemical processes associated with the erosional energy of the Nisqually Glacier."			"Metcalf, Richard Carl."	"M.S."	"University of Washington"		"890602s1977\\\\xx\a\\\\\bm\\\000\0\eng\d"	"109 leaves"			"19803934"
"Rapid in situ thermal conductivity measurements for the study of geothermal heat flow /"		"by Todd Michael Mojesky."	"Mojesky, Todd Michael."	"M.S."	"University of Washington"	"1981"	"810609s1981\\\\xx\af\\\\bm\\\000\0\eng\d"	"viii, 139 leaves, 53 unnumbered leaves of plates :"			"7489771"
"Forced internal waves in the Arctic Ocean /"		"by James Howe Morison."	"Morison, James Howe."		"University of Washington"		"800612s1980\\\\xx\af\\\\bm\\\000\0\eng\d"	"xii, 289 leaves, 3 unnumbered leaves of plates :"			"6412231"
"Geomagnetic depth-sounding in the state of Washington."			"Newbauer, Thomas Raymond."	"M.S."	"University of Washington"		"890818s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"49 leaves"			"20211740"
"Role of sudden commencements in triggering magnetospheric substorms."			"Newell, Richard Erin."	"M.S."	"University of Washington"		"890818s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"59 leaves"			"20211770"
"Experimental and theoretical investigations of Ocean-Earth acoustic coupling /"		"by Robert Irving Odom, Jr."	"Odom, Robert Irving."		"University of Washington"		"800819s1980\\\\xx\af\\\\bm\\\000\0\eng\d"	"x, 163 leaves, 26 unnumbered leaves of plates :"			"6634310"
