245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"A technical preconstruction services process model for the private real estate development industry /"		"Gregory A. Duggan."	"Duggan, Gregory A.,author."	"M.S.C.M."	"University of Washington"	"2003"	"040217s2003\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 108 leaves :"			"54435349"
"Barriers to the adoption of 4D modeling within the construction industry /"		"John R. Elswick."	"Elswick, John R."	"M.S.C.M."	"University of Washington"	"2011"	"120509s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 121 leaves :"			"793359930"
"Construction management in developing nations in Africa /"		"Theodros Gebremichael."	"Gebremichael, Theodros."	"M.S.C.M."	"University of Washington"	"2000"	"001220s2000\\\\xx\ab\\\\bm\\\000\0\eng\d"	"vii, 69 pages :"			"45607131"
"Mentoring in the construction industry /"		"Harold C. Gerber."	"Gerber, Harold C.,author."	"M.S.C.M."	"University of Washington"	"2002."	"190725s2002\\\\wau\\\\\obm\\s000\0\eng\d"	"1 online resource (ii, 46 pages)"	"Schaufelberger, John,1942-degree supervisor."	"http://hdl.handle.net/1773/33332"	"1110109693"
"Mentoring in the construction industry /"		"Harold C. Gerber."	"Gerber, Harold C.,author."	"M.S.C.M."	"University of Washington"	"2002"	"030715s2002\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 46 leaves "			"52615770"
"Analysis of life cycle costs and social acceptance of solar photovoltaic systems implementation in Washington State Public Schools /"		"Charusheela Ghadge."	"Ghadge, Charusheela,author."	"M.S.C.M."	"University of Washington"	"2012"	"130205s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (vi, 127) :"	"Kim, Yong-Woo,1972-degee supervisor.http://www.wikidata.org/entity/Q105284102"	"http://hdl.handle.net/1773/20910;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:1515907"	"826735299"
"3D BIM metrics for mechanical contractors /"		"Regina Goth."	"Goth, Regina."	"M.S.C.M."	"University of Washington"	"2007"	"080910s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 87 leaves :"			"247646974"
"The tools of feasibility analysis in three sectors of multi-unit residential real estate /"		"Robert Grimaldi."	"Grimaldi, Robert(Robert L.)"	"M.S.C.M."	"University of Washington"	"2004"	"040830s2004\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xx, 326 leaves :"			"56391912"
"An analysis of construction management service and practice in Korea through analyzing public cases of construction management /"		"Hongjin Ha."	"Ha, Hongjin."	"M.S.C.M."	"University of Washington"	"2005"	"060426s2005\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 74 leaves :"			"67714707"
"Process improvement for real estate development project performance analysis /"		"Jeffrey Andrew Hagen."	"Hagen, Jeffrey Andrew."	"M.S.C.M."	"University of Washington"	"2005"	"051114s2005\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 134 leaves :"			"62272441"
"Dismantling silos :"	"from creative collaboration to collaborative creativity /"	"Andrew Hansen."	"Hansen, Andrew,1982-author.http://www.wikidata.org/entity/Q106028683"	"M.S.C.M."	"University of Washington"	"2014"	"150102t20142014waua\\\\obm\\s000\0\eng\d"	"1 online resource (xii, 90 pages) :"	"Dossick, Carrie Sturts,1973-degree supervisor.http://www.wikidata.org/entity/Q99439465"	"http://hdl.handle.net/1773/25975"	"899141722"
"The Evergreen Point floating bridge in crisis :"	"an apporach to evaluating alternative solutions /"	"by Stephen J. Hitch."	"Hitch, Stephen J."	"M.S.C.M."	"University of Washington"	"1999"	"000504s1999\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 112 leaves :"			"43980612"
"Transformational leadership and lean construction implementation /"		"Kirk Hochstatter."	"Hochstatter, Kirk,author."	"M.S.C.M"	"University of Washington"	"2013."	"140421t20132013waua\\\\od\\\\000\0\eng\d"	"1 online resource (iv, 74 pages) :"	"Kim, Yong-Woo,1972-degree supervisor.http://www.wikidata.org/entity/Q105284102"	"http://hdl.handle.net/1773/23361"	"877833604"
"The applicability of dispute resolution boards on privately financed construction projects /"		"Arnold Leonard Holm, Jr."	"Holm, Len."	"M.S.C.M."	"University of Washington"	"2005"	"060706s2005\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 75 leaves :"			"70255410"
