245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"The seven deadly sins in early English dramatic literature ..."			"Franklin, Grace Hawley."	"M.A."	"University of Washington"		"890626s1931\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 72 leaves"			"19924277"
"Carlyle's influence on a Tale of two cities ..."			"Fraser, Alice Sinclair."	"M.A."	"University of Washington"		"890626s1929\\\\xx\\\\\\\bm\\\000\0\eng\d"	"58 leaves"			"19924291"
"The disillusion of Herman Melville ..."			"Griswold, Dorothy Littlefield."	"M.A."	"University of Washington"		"890707s1931\\\\xx\\\\\\\bm\\\000\0\eng\d"	"72 leaves, 2 leaves"			"19976184"
"Notes and comments on the Prioresse /"		"by Sister Mary Alexander (Elizabeth Gloor Gross)."	"Gross, Elizabeth Gloor."	"M.A."	"University of Washington"		"791207s1930\\\\xx\a\\\\rbm\\\000\0\eng\d"	"iii, 113 leaves :"			"5770570"
"The use of witchcraft in Elizabethan drama ..."			"Haley, Margaret Lois."	"M.A."	"University of Washington"		"890706s1930\\\\xx\\\\\\\bm\\\000\0\eng\d"	"64 leaves"			"19968011"
"The function of music and song in Elizabethan drama through Shakespeare /"		"Agnes Camilla Hansen."	"Hansen, Agnes Camilla,author."	"M.A."	"University of Washington"	"1930."	"191114s1930\\\\wau\\\\\obm\\\000\0\eng\d"	"1 online resource (53 pages)"	"Taylor, Edward Ayers,degree supervisor."	"http://hdl.handle.net/1773/44600"	"1127641498"
"The function of music and song in Elizabethan drama through Shakespeare ..."			"Hansen, Agnes Camilla."	"M.A."	"University of Washington"		"890707s1930\\\\xx\\\\\\\bm\\\000\0\eng\d"	"53 leaves"			"19976258"
"A study in evaluations ..."			"Hansen, Bert Benjamin."	"M.A."	"University of Washington"		"890707s1929\\\\xx\\\\\\\bm\\\000\0\eng\d"	"50 leaves"			"19976329"
"Walt Whitman and quakerism ..."			"Harris, Jessie Elizabeth."	"M.A."	"University of Washington"		"890707s1929\\\\xx\\\\\\\bm\\\000\0\eng\d"	"71 leaves"			"19976294"
"The literary sources of Donn Byrne's Messer Marco Polo ..."			"Jaeger, Ethel Freeman."				"920526s1929\\\\xx\b\\\\\bm\\\000\0\eng\d"	"69 leaves"	"Byrne, Donn,1889-1928.Messer Marco Polo."		"25883369"
"The Robin Hood legend in ballad and dramatic literature ..."			"Kaufman, Charles Louis."	"M.A."	"University of Washington"		"890601s1930\\\\xx\\\\\\\bm\\\000\0\eng\d"	"81 leaves"			"19793106"
"The women in Shakespeare's English historical plays ..."			"Kerrigan, Lillian."	"M.A."	"University of Washington"		"890609s1931\\\\xx\\\\\\\bm\\\000\0\eng\d"	"82 leaves"			"19840671"
"Is the picaresque tale a low form of literature? ..."			"Langford, Susan Coffman."	"M.A."	"University of Washington"		"890623s1929\\\\xx\\\\\\\bm\\\000\0\eng\d"	"57 leaves"			"19917577"
"The court jester in the plays of Shakespeare with some consideration of his prototypes /"		"by Alice Warner (Bollmann) Larivee."	"Larivee, Alice Warner Bollmann."	"M.A."	"University of Washington"	"1931"	"831205s1931\\\\xx\\\\\\\bm\\\000\0\eng\d"	"78 leaves "			"10189472"
"Chaucer's personal envoy poems:"	"a study in historical background ..."		"Lawson, Ruth Margaret."	"M.A."	"University of Washington"		"890720s1929\\\\xx\\\\\\\bm\\\000\0\eng\d"	"71 leaves"			"20040546"
"William Vaughn Moody"	"a study."		"Lee, Alta Lucretia."	"M.A."	"University of Washington"		"890623s1931\\\\xx\\\\\\\bm\\\000\0\eng\d"	"60 leaves"			"19917623"
"Joseph Conrad - his technique ..."			"Lewis, Wilma Eleanor."	"M.A."	"University of Washington"		"890713s1930\\\\xx\\\\\\\bm\\\000\0\eng\d"				"20001597"
"Cervantes on the English state, 1694-1794 ..."			"Lievsay, John Leon."	"M.A."	"University of Washington"		"890726s1930\\\\xx\\\\\\\bm\\\000\0\eng\d"	"162 leaves"			"20071811"
"The evolution of Brook Farm ..."			"Lindell, Mildred Helene."	"M.A."	"University of Washington"		"890707s1931\\\\xx\\\\\\\bm\\\000\0\eng\d"	"48 leaves"			"19976195"
"Reform tendencies of Henry Demarest Lloyd and Upton Sinclair ..."			"Linderman, Paul Booth."	"M.A."	"University of Washington"		"890720s1931\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 96 leaves"			"20040609"
"Literary reputation of Walt Whitman 1925 to 1930 ..."			"Longenbaugh, May Moore."	"M.A."	"University of Washington"		"890713s1930\\\\xx\\\\\\\bm\\\000\0\eng\d"	"92 leaves"			"20001698"
"The philosophy of Boethius ..."			"Lutey, William Glen."	"M.A."	"University of Washington"		"890621s1931\\\\xx\\\\\\\bm\\\000\0\eng\d"	"60 leaves"			"19904298"
"Waldo David Frank as expressionist and prophet ..."			"Malloy, Kathleen Jocelyn."	"M.A."	"University of Washington"		"890621s1929\\\\xx\\\\\\\bm\\\000\0\eng\d"	"89 leaves"			"19904020"
"The influence of the Paston letters on Stevenson's The black arrow ..."			"Mary Alicia,Sister (Julia Elizabeth Allehoff)"	"M.A."	"University of Washington"		"890612s1930\\\\xx\\\\\\\bm\\\000\0\eng\d"	"63 leaves"			"19852995"
"Eavesdropping in Shakespeare's comedies ..."			"McGuire, Grace Amy Peppett."	"M.A."	"University of Washington"		"890612s1929\\\\xx\\\\\\\bm\\\000\0\eng\d"	"60 leaves"			"19852679"
"Brooks Adams and the Adams tradition ..."			"McHugh, Eileen Anne."	"M.A."	"University of Washington"		"890612s1930\\\\xx\\\\\\\bm\\\000\0\eng\d"	"61 leaves"			"19852091"
"Howells the realist, as revealed in the Editor's Study, Harpers magazine, 1886-1892 ..."			"McKinlay, Florence Dillow."	"M.A."	"University of Washington"		"890804s1931\\\\xx\\\\\\\bm\\\000\0\eng\d"	"41 leaves"			"20124616"
"Shelley's travels, real and imaginary ..."			"Mollestad, Howard Mace."				"901106s1930\\\\xx\\\\\\\bm\\\000\0\eng\d"	"48 numb L"			"22639556"
"The influence of the west upon Mark Twain ..."			"Neff, Merlin Lee,1906-"	"M.A."	"University of Washington"		"890728s1931\\\\xx\\\\\\\bm\\\000\0\eng\d"	"76 leaves"			"20082174"
"Studies in Nathaniel Ward ..."			"Nelson, Elvera Isabel."	"M.A."	"University of Washington"		"890612s1929\\\\xx\\\\\\\bm\\\000\0\eng\d"	"81 leaves"			"19853199"
"Recurring types in Shakespeare's early comedies ..."			"Nesbitt, Hazel Delphine."	"M.A."	"University of Washington"		"890725s1930\\\\xx\\\\\\\bm\\\000\0\eng\d"	"77 leaves"			"20064641"
"Essential sanity of the mysticism of William Blake: creation of a plausible system ..."			"Norlin, Agnes."	"M.A."	"University of Washington"		"890725s1931\\\\xx\\\\\\\bm\\\000\0\eng\d"	"141 leaves"			"20064854"
"The catholicism of Philip Massinger ..."			"Okamura, Hanna."	"M.A."	"University of Washington"		"890727s1931\\\\xx\\\\\\\bm\\\000\0\eng\d"	"64 leaves"			"20078306"
"The relation between the quarto version and the folio version of Shakespeare's Henry V."			"Okerlund, Gerda Maria."	"Ph. D."	"University of Washington"		"890725s1931\\\\xx\\\\\\\bm\\\000\0\eng\d"	"114 leaves"			"20063918"
"Tennyson's ontology ..."			"Oliver, Egbert S.(Egbert Samuel),1902-1989."	"M.A."	"University of Washington"		"890725s1929\\\\xx\\\\\\\bm\\\000\0\eng\d"	"46 leaves"			"20064752"
"The supernatural in the Íslendinga söjur."			"Peterson, Sigurd Harlan,1886-1963."	"Ph. D."	"University of Washington"		"850104s1931\\\\xx\\\\\\\bm\\\000\0\eng\d"	"244 leaves, 22 leaves"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:DP16272"	"11545633"
"The philosophy of Wordsworth,"	"a reinterpertation in the light of the new evidence ..."		"Rader, Melvin(Melvin Miller),1903-1981."	"Ph. D."	"University of Washington"		"890610s1929\\\\xx\\\\\\\bm\\\000\0\eng\d"	"315 leaves"			"19844546"
"The world of restoration comedy /"		"by Luverne Clement Ramsland."	"Ramsland, Luverne Clement,author."	"M.A."	"University of Washington, 1929."		"191120s1929\\\\xx\\\\\\obm\\\000\0\eng\d"	"1 online resource (108 leaves)"	"Benham, Allen Rogers,1879-1961,degree supervisor."	"http://catalog.hathitrust.org/api/volumes/oclc/19984164.html;http://hdl.handle.net/1773/44591"	"1128154551"
"The world of restoration comedy ..."			"Ramsland, Luverne Clement."	"M.A."	"University of Washington"		"890710s1929\\\\xx\\\\\\\bm\\\000\0\eng\d"	"108 leaves"			"19984164"
"The social aspect of the prose of George Eliot ..."			"Redman, Crosby Eaton."	"M.A."	"University of Washington"		"890609s1929\\\\xx\\\\\\\bm\\\000\0\eng\d"	"77 leaves"			"19839469"
"The element of satire in Sir Thopas ..."			"Reed, Jessica."	"M.A."	"University of Washington"		"890609s1931\\\\xx\\\\\\\bm\\\000\0\eng\d"	"51 leaves"			"19839978"
"The strongest tie"	"a drama in three acts ..."		"Ringnalda, Margaret Elizabeth."	"M.A."	"University of Washington"		"890609s1931\\\\xx\\\\\\\m\\\\000\0\eng\d"	"147 leaves"			"19840212"
