245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"The Invisible Hand of Islam :"	"Islamic Business and the State Relations in Turkey and Egypt."		"Gormus, Evrim,author."	"Ph. D."	"University of Washington"	"2014"	"141219t20142014waua\\\\obm\\s000\0\eng\d"	"1 online resource :"	"Migdal, Joel S.,degree supervisor."	"http://hdl.handle.net/1773/27119"	"898357511"
"And the beloved speaks :"	"Mihri Hatun's voice in early modern Ottoman literature /"	"Didem Z. Havlioğlu."	"Havlioğlu, Didem Z.,1970-"	"Ph. D."	"University of Washington"	"2008"	"090508s2008\\\\xx\\\\\\\bm\\\000\0\eng\d"	"vii, 214 pages "			"320543667"
"Writing a grammatical commentary on Hafiz of Shiraz :"	"a sixteenth-century Ottoman scholar on the Divan of Hafiz /"	"Murat Umut Inan."	"Inan, Murat Umut."	"Ph. D."	"University of Washington"	"2012"	"140324s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (iii, 162 pages) :"	"Kuru, Selim Sırrı,thesis advisor."	"http://hdl.handle.net/1773/22500"	"874581289"
"(Re)bordering territory and citizenship on the Greek-Turkish borderland /"		"Zeynep U. Kasli."	"Kasli, Zeynep U.,author."	"Ph. D."	"University of Washington"	"2017"	"170622t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (404 pages) :"	"Migdal, Joel S.,degree supervisor.;Kasaba, Resat,degree supervisor."	"http://hdl.handle.net/1773/38667"	"990793488"
"Ottoman reflections on gender, class and race in Victorian England :"	"Abdülhak Hamid Tarhan's Finten /"	"Sevim Kebeli."	"Kebeli, Sevim,author."	"Ph. D."	"University of Washington"	"2015"	"160205t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (iv, 184 pages) :"	"Kuru, Selim S.,degree supervisor."	"http://hdl.handle.net/1773/34092"	"936728314"
"Assembling 'cosmopolitan' Pera :"	"an infrastructural history of late Ottoman Istanbul /"	"Koca Mehmet Kentel."	"Kentel, Koca Mehmet,author."	"Ph. D."	"University of Washington"	"2018."	"190401t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (xvii, 287 pages) :"	"Kasaba, Reşat,1954-degree supervisor."	"http://hdl.handle.net/1773/43431"	"1091059039"
"Censorship and legitimacy in Iran :"	"modernity, governance, and the public sphere /"	"Abel Kerevel."	"Kerevel, Abel."	"M.A.I.S."	"University of Washington"	"2007"	"080208s2007\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 194 leaves "			"191888807"
"Kyrgyz nomadic customs and the impact of re-Islamization after independence /"		"Elmira M. Kuchumkulova."	"Kuchumkulova, Elmira M."	"Ph. D."	"University of Washington"	"2007"	"070607s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 408 leaves :"		"http://hdl.handle.net/1773/10840;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3252871"	"140854659"
"Textual histories of early Jewish writings :"	"multivalences vs. the quest for ""the original"" /"	"Gary D. Martin."	"Martin, Gary D."	"Ph. D."	"University of Washington"	"2007"	"070925s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"2 volumes (ix, 493) leaves :"		"http://hdl.handle.net/1773/10837;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3265377"	"173283858"
"Middle East militaries :"	"in and out of politics and economies due to external threat perceptions a dynamic regional order approach to civil-military relations: comparative cases of Turkey, Egypt, Israel /"	"Marwa Maziad."	"Maziad, Marwa,author."	"Ph. D."	"University of Washington"	"2019."	"191029t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (xiv, 427 pages) :"	"Migdal, Joel S.,degree supervisor.;Kasaba, Reşat,1954-degree supervisor."	"http://hdl.handle.net/1773/44413"	"1125265408"
