245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Reactor noise experiments in small plutonium systems."			"Hess, George Marion."	"M.S.E."	"University of Washington"		"080520s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"64 leaves"			"228410950"
"Application of neutron activation analysis to detection of trace elements in tissues of cystic fibrosis patients and controls."			"Hicks, Warren Dale."	"M.S.E."	"University of Washington"		"080520s1968\\\\xx\\\\\\\m\\\\000\0\eng\d"	"91 leaves"			"228412092"
"Determination of the gamma energy flux in the biological shield of the University of Washington nuclear reactor."			"Holtz, Walter E."	"M.S.E.(Nuclear)"	"University of Washington"		"080520s1964\\\\xx\\\\\\\m\\\\000\0\eng\d"	"54 leaves"			"228410915"
"Experimental investigation of the effects of resonance capture at 1.056 eV in systems containing Plutonium-240."			"Hulka, Charles John."	"M.S.E."	"University of Washington"		"080520s1969\\\\xx\\\\\\\m\\\\000\0\eng\d"	"69 leaves"			"228412093"
"Study of the magnetohydrodynamics of liquid metals and electrolytes."			"Humphries, Joseph Roger."	"M.S.E.(Nuclear)"	"University of Washington"		"080520s1964\\\\xx\\\\\\\m\\\\000\0\eng\d"	"107 leaves"			"228410913"
"Measurement of cumulative fission yields of iodine-131, iodine 133, and iodine-135 from thermal neutron fission of plutonium-239 and plutonium-241."			"Hunnicutt, Doyle Myron."	"M.S.E.(Nuclear)"	"University of Washington"		"080520s1964\\\\xx\\\\\\\m\\\\000\0\eng\d"	"60 leaves"			"228410917"
"Effect of added scatterers on nuclear criticality."			"Iwai, Makoto."	"M.S.E.(Nuclear)"	"University of Washington"		"080520s1969\\\\xx\\\\\\\m\\\\000\0\eng\d"	"27 leaves"			"228412089"
"Thermal neutron distribution with a fast extraneous source within a subcritical pile."			"Jimenez, Rafael Francis."	"M.S. in E."	"University of Washington"		"080520s1964\\\\xx\\\\\\\m\\\\000\0\eng\d"	"83 leaves"			"228410918"
"Heat transfer during stratified flow of steam - water mixtures."			"Johnson, Kenneth Lawrence."	"M.S. in E."	"University of Washington"		"080520s1965\\\\xx\\\\\\\m\\\\000\0\eng\d"	"78 leaves"			"228410930"
"Study of the shear induced lift force on isolated aerosol droplets."			"Kolesar, Donald Clifford,1936-"	"Ph. D."	"University of Washington"		"080520s1967\\\\xx\\\\\\\m\\\\000\0\eng\d"	"173 leaves"			"228412077"
"Effect of interfacial tension on holdup in a pulsed solvent extraction column."			"Larson, D. E.(Donald Eugene),1939-"	"M.S.E."	"University of Washington"		"080520s1967\\\\xx\\\\\\\m\\\\000\0\eng\d"	"192 leaves"			"228411138"
