245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"People's perceptions of wildlife in the landscape /"		"by Margaret H. Ferm."	"Ferm, Margaret H."	"M. Landsc. Arch."	"University of Washington"	"1993"	"930916s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 194 leaves :"			"28834257"
"Dualism to commitment :"	"developmental theory and design education /"	"by Gary Charles Findell."	"Findell, Gary Charles."	"M. Landsc. Arch."	"University of Washington"	"1986"	"860625s1986\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 160 leaves (some folded) :"			"13779769"
"The effects of environmental attitudes on landscape preferences in an urbanizing county /"		"by Marilyn R. Freeman."	"Freeman, Marilyn R."	"M. Landsc. Arch."	"University of Washington"	"1987"	"880606s1987\\\\xx\ab\\\\bm\\\000\0\eng\d"	"v, 113 leaves :"			"18044235"
"The incorporation of natural/low structural stormwater management systems in urban open space networks :"	"two case study examples /"	"by Renee L. Freier."	"Freier, Renee L."	"M. Landsc. Arch."	"University of Washington"	"1989"	"900111s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 113 leaves :"			"20874670"
"Migration beyond the urban fringe :"	"what are people looking for? what aren't they willing to leave behind? /"	"by Judy Haines Giseburt."	"Giseburt, Judy Haines."	"M. Landsc. Arch."	"University of Washington"	"1989"	"900222s1989\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 81 leaves "			"21109864"
"Bicycle commuters :"	"a better route through Eastlake community /"	"by Holly J. Godard."	"Godard, Holly J."	"M. Landsc. Arch."	"University of Washington"	"1992"	"930517s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 67 leaves :"			"28120791"
"Landscape capability analysis and plan evaluation :"	"in the state of Alaska /"	"by Roger Rust Goddard."	"Goddard, Roger Rust."	"M. Landsc. Arch."	"University of Washington"	"1983"	"830629s1983\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 171 leaves :"			"9655385"
"The landscape history of Moran State Park /"		"by Timothy E. Goss."	"Goss, Timothy E."	"M. Landsc. Arch."	"University of Washington"	"1995"	"950901s1995\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 125 leaves :"			"33077216"
"The role of familiarity in landscape preference :"	"an empirical approach to the meaning in landscape /"	"by Gloria Gould-Wessen."	"Gould-Wessen, Gloria."	"M. Landsc. Arch."	"University of Washington"	"1989"	"900727s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 145 leaves :"			"22151213"
"The naturalistic approach to golf course architecture :"	"design perspectives and practices /"	"by Charles Griswold."	"Griswold, Charles."	"M. Landsc. Arch."	"University of Washington"	"1990"	"910508s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 196 leaves :"			"23716606"
"Circle of kinship :"	"the heart of the Native American cultural landscape /"	"by Roxanne Hamilton."	"Hamilton, Roxanne."	"M. Landsc. Arch."	"University of Washington"	"1993"	"940103s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 162 leaves (some folded) :"			"29569439"
"Experience of place :"	"significant childhood and adult environments /"	"by Kathleen Sono Hashisaki."	"Hashisaki, Kathleen Sono."	"M. Landsc. Arch."	"University of Washington"	"1988"	"880815s1988\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 155 leaves :"			"18355808"
"The front yard :"	"Wallingford landscapes, 1937-1985 /"	"by Anne E. Heasly."	"Heasly, Anne E."	"M. Landsc. Arch."	"University of Washington"	"1986"	"860925s1986\\\\xx\abf\\\bm\\\000\0\eng\d"	"iv, 96 leaves, 23 unnumbered leaves of plates :"			"14263913"
"Habitat theory in the Arboretum :"	"a prototype geographic information system for evaluating psychological aspects of open space in the city /"	"by Jennifer Lynn Heins."	"Heins, Jennifer Lynn."	"M. Landsc. Arch."	"University of Washington"	"1993"	"930922s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 187 leaves (some folded) :"			"28873898"
"Private roads in residential communities :"	"an investigation into the mandatory use of public road standards for private roads /"	"by Jacqueline E. Hightower."	"Hightower, Jacqueline E."	"M. Landsc. Arch."	"University of Washington"	"1987"	"870612s1987\\\\xx\abe\\\bm\\\000\0\eng\d"	"77 leaves :"			"15925168"
"Genius loci :"	"a theory on the nature of the spirit of place /"	"by James D. Irish."	"Irish, James D."	"M. Landsc. Arch."	"University of Washington"	"1989"	"900727s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 118 leaves :"			"22151175"
"Understanding the stream channel landscape :"	"the use of geomorphic classification systems by landscape architects and other landscape professionals /"	"by Scott Keva James."	"James, Scott Keva."	"M. Landsc. Arch."	"University of Washington"	"1995"	"950901s1995\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 105 leaves :"			"33077204"
"Songkhla Lake watershed area landscape planning /"		"by Vanrapa Jearkjirm."	"Jearkjirm, Vanrapa."	"M. Landsc. Arch."	"University of Washington"	"1983"	"831207s1983\\\\xx\ab\\\\bm\\\000\0\eng\d"	"vii, 114 leaves :"			"10196590"
"El Centro de la Raza, a community center :"	"historical case study of adaptive reuse of a Seattle school to a community center /"	"by Mary Lynn Jensen."	"Jensen, Mary Lynn."	"M. Landsc. Arch."	"University of Washington"	"1991"	"911126s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 66 leaves :"			"24862318"
"Meaning of place and mind :"	"a consciousness approach to the environmental experience of waterfronts /"	"by Mary E. Jorgensen."	"Jorgensen, Mary E."	"M. Landsc. Arch."	"University of Washington"	"1990"	"910625s1990\\\\xx\\\\\\\bm\\\000\0\eng\d"	"vii, 153 leaves "			"23988159"
"The influence of lifestyle on recreation choice behavior /"		"by Berit Charlotte Kaae."	"Kaae, Berit Charlotte."	"M. Landsc. Arch."	"University of Washington"	"1990"	"910531s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 152 leaves :"			"23864953"
"Young children's attraction to refuge in the landscape :"	"an opportunity for dramatic play /"	"by Mary Ann Krauseneck Kirkby."	"Kirkby, Mary Ann Krauseneck."	"M. Landsc. Arch."	"University of Washington"	"1984"	"840927s1984\\\\xx\af\\\\bm\\\000\0\eng\d"	"iv, 80 leaves, 3 unnumbered leaves of plates :"			"11202477"
"The design and implementation of a map-based desktop information system /"		"by Valdis Imants Kirsis."	"Kirsis, Valdis Imants."	"M. Landsc. Arch."	"University of Washington"	"1994"	"941202s1994\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 218 leaves :"			"31602930"
"Exploring place :"	"looking toward the preservation and creation of landscape places /"	"by John Albert Koepke."	"Koepke, John Albert."	"M. Landsc. Arch."	"University of Washington"	"1990"	"910625s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 126 leaves :"			"23988190"
"Crime and fear in urban parks and open space :"	"solutions through community participation, design and programming /"	"by Martha Buland Koerner."	"Koerner, Martha Buland."	"M. Landsc. Arch."	"University of Washington"	"1994"	"950208s1994\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 145 leaves :"			"31954101"
"Georgetown :"	"image of a community /"	"by Lana Krisman."	"Krisman, Lana."	"M. Landsc. Arch."	"University of Washington"	"1991"	"920622s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 161 leaves :"			"26062208"
"Identifying the concept categories included in contemporary environmental education curriculum materials for the elementary grades /"		"by Paul Wesley Lander."	"Lander, Paul Wesley."	"M. Landsc. Arch."	"University of Washington"	"1990"	"910516s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 81 leaves :"			"23754293"
"The meanings of water in urban parks :"	"a comparison of adults and children /"	"by Danielle Machotka."	"Machotka, Danielle."	"M. Landsc. Arch."	"University of Washington"	"1992"	"930329s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 99 leaves :"			"27820374"
"Integral landscapes :"	"environmental art, ethics and landscape architecture /"	"by Catherine Susan Maggio."	"Maggio, Catherine Susan."	"M. Landsc. Arch."	"University of Washington"	"1994"	"941230s1994\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 129 leaves :"			"31752822"
"Recultivating the landscape :"	"a case study in Port Townsend, Washington /"	"by Ann Catherine Meeks-Wagner."	"Meeks-Wagner, Ann Catherine."	"M. Landsc. Arch."	"University of Washington"	"1986"	"860925s1986\\\\xx\ab\\\\bm\\\000\0\eng\d"	"v, 70 leaves :"			"14263956"
"Children's use of the outdoor environment /"		"by Roberta Ann Miller."	"Miller, Roberta Ann."	"M. Landsc. Arch."	"University of Washington"	"1984"	"841018s1984\\\\xx\a\\\\\bm\\\000\0\eng\d"	"89 leaves :"			"11280738"
"Expressive space :"	"an investigation into the correlation of movement signatures and spatial perception /"	"by Randall J. Montbriand."	"Montbriand, Randall J."	"M. Landsc. Arch."	"University of Washington"	"1985"	"860207s1985\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 208 leaves :"			"13119652"
"An urban design analysis of contemporary mixed use buildings in Seattle /"		"by Jennifer Frances Mundee."	"Mundee, Jennifer Frances."	"M. Landsc. Arch."	"University of Washington"	"1994"	"950314s1994\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 169 leaves :"			"32146361"
"The open space legacy of twentieth century U.S. world's fairs /"		"by Deborah Ann Natelson."	"Natelson, Deborah Ann."	"M. Landsc. Arch."	"University of Washington"	"1989"	"900808s1989\\\\xx\af\\\\bm\\\000\0\eng\d"	"vix, 161 leaves, 10 unnumbered leaves of plates (some folded) :"			"22196921"
"A typology of urban open space :"	"the relationship between form and function /"	"by Charles B. Nevins."	"Nevins, Charles B."	"M. Landsc. Arch."	"University of Washington"	"1995"	"950807s1995\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 124 leaves :"			"32935511"
"The visual essence of the natural landscape of the Puget Sound Basin :"	"through the eyes of the region's landscape artists /"	"by Michael A. Oechsle."	"Oechsle, Michael A."	"M. Landsc. Arch."	"University of Washington"	"1994"	"950807s1994\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 161 leaves :"			"32935371"
"Urban design prospect in the new federal capital development of Nigeria /"		"by Justin Chiedu Osemene."	"Osemene, Justin Chiedu."	"M. Landsc. Arch."	"University of Washington"	"1989"	"900125s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 170 leaves :"			"20956956"
"Preserving the landscape features in industrial site restorations and adaptations /"		"by Julian d'Este Penrose."	"Penrose, Julian d'Este."	"M. Landsc. Arch."	"University of Washington"	"1991"	"910912s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 162 leaves :"			"24366027"
"""Daylighting"" urban streams /"		"by Michael Robert Perrin."	"Perrin, Michael Robert."	"M. Landsc. Arch."	"University of Washington"	"1992"	"930329s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 76 leaves (some folded) :"			"27821708"
"The role of spatial quality and familiarity in determining countryside landscape preference /"		"by Mary Victoria Porter."	"Porter, Mary Victoria."	"M. Landsc. Arch."	"University of Washington"	"1987"	"880610s1987\\\\xx\ab\\\\bm\\\000\0\eng\d"	"xiii, 201 leaves :"			"18068695"
"Shoreline access design guidelines /"		"by Richard W. Rawlings."	"Rawlings, Richard W."	"M. Landsc. Arch."	"University of Washington"	"1994"	"950117s1994\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 36 leaves :"			"31829164"
"A comparison of expert and public procedures for scenic quality evaluation of north Cascade mountain landscapes /"		"by Bill Richard Reid."	"Reid, Bill Richard."	"M. Landsc. Arch."	"University of Washington"	"1990"	"910530s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 80 leaves :"			"23862446"
