245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"From saint to psychotic :"	"the crisis of human identity in the late 18th century ; a comparative study of Clarissa La Nouvelle Héloise Die Leiden des jungen Werther /"	"by Maurice Richard Funke."	"Funke, Maurice Richard."	"Ph. D."	"University of Washington"	"1981"	"820224s1981\\\\xx\\\\\\\bm\\\000\0\eng\d"	"215 leaves "			"8187553"
"The uses of the supernatural in the works of Lord Dunsany and James Stephens /"		"by Ronald Gallagher."	"Gallagher, Ronald."	"Ph. D."	"University of Washington"	"1990"	"910107s1990\\\\xx\\\\\\\bmt\\000\0\eng\d"	"iii, 244 leaves "		"http://hdl.handle.net/1773/6675;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9104233"	"22930039"
"Narratives of the first person :"	"language and imagination from Rousseau to Beckett /"	"by Inger Gilbert."	"Gilbert, Inger."	"Ph. D."	"University of Washington"	"1986"	"861022s1986\\\\xx\\\\\\\bm\\\000\0\eng\d"	"271 leaves "			"14481432"
"The Gospel of Nicodemus."		"Translated by John Trevisa; now first edited with introduction and complete glossary, by Hack Chin Kim."		"Ph. D."	"University of Washington"		"890822s1963\\\\xx\d\\\\\bm\\\000\0\eng\d"	"1 volume (various pagings)"	"Trevisa, John,-1402.;Kim, Hack Chin,1926-"		"20230108"
"Studies in Milton's blank verse."			"Hampsten, Richard Franklin,1929-"	"Ph. D."	"University of Washington"		"890706s1964\\\\xx\a\\\\\bm\\\000\0\eng\d"	"131 leaves"			"19965587"
"The art of organization :"	"foundations of a political ontology in Gilles Deleuze and Antonio Negri /"	"by Michael Hardt."	"Hardt, Michael,1960-"	"Ph. D."	"University of Washington"	"1990"	"910716s1990\\\\xx\\\\\\\bmt\\000\0\eng\d"	"iv, 258 leaves "		"http://hdl.handle.net/1773/6623;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9117950"	"24082607"
"Subjectivity and the signs of love :"	"paradigms of self-presentation in Honore d'Urfe's L'Astree /"	"by James Monroe Hembree."	"Hembree, James Monroe."	"Ph. D."	"University of Washington"	"1993"	"940421s1993\\\\xx\\\\\\\bm\\\000\0\eng\d"	"277 leaves "			"30310988"
"The development of Gawain as a literary figure in medieval German and English Arthurian romance."			"Herzog, Michael Bernard."	"Ph. D."	"University of Washington"		"890517s1971\\\\xx\\\\\\\bm\\\000\0\eng\d"	"345 leaves"			"19717721"
"The theory and practice of the frame story as narrative device :"	"Boccaccio's Decameron as paradigm /"	"by Mary Lyn Hikel."	"Hikel, Mary Lyn."	"Ph. D."	"University of Washington"	"1989"	"900301s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 238 leaves :"			"21140744"
"Gender reversal :"	"women in Chinese drama under Mongol rule (1234-1368) /"	"by Tsui-fen Jiang."	"Jiang, Tsui-fen,1961-"	"Ph. D."	"University of Washington"	"1991"	"911015s1991\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 278 leaves "		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9131654"	"24566732"
