245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Coordination in commons-based peer production communities :"	"evaluation, analysis, and design for emergent systems /"	"Michael D. Gilbert."	"Gilbert, Michael D.(Michael Dean),author."	"Ph. D."	"University of Washington"	"2015"	"160404t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (178 pages) :"	"Zachry, Mark,1968-degree supervisor."	"http://hdl.handle.net/1773/35096"	"945931159"
"The effect of need to belong on online social behaviors and cognitive interactions /"		"Zhiwei Guan."	"Guan, Zhiwei,1974-author."	"Ph. D."	"University of Washington"	"2016"	"170320t20162016waua\\\\obm\\s000\0\eng\d"	"1 online resource (xii, 263 pages) :"	"Ramey, Judith,degree supervisor."	"http://hdl.handle.net/1773/38038"	"976438841"
"""Getting on the same page"" :"	"negotiation and intellectual collaboration in student research groups /"	"Kathleen F. Gygi."	"Gygi, Kathleen F."	"Ph. D."	"University of Washington"	"2011"	"110725s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"1 volume (various pagings) "		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3452747"	"742425892"
"Supporting intentional media use in families /"		"Alexis Hiniker."	"Hiniker, Alexis,author."	"Ph. D."	"University of Washington"	"2017"	"170908t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (vi, 148 pages) :"	"Kientz, Julie A.,degree supervisor."	"http://hdl.handle.net/1773/39792"	"1003221643"
"Construction of interactive and intelligible distance cartograms /"		"by Ray Hong."	"Hong, Ray,author."	"Ph. D."	"University of Washington"	"2018."	"190312t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (xiv, 113 unnumbered pages) :"	"Aragon, Cecilia Rodriguez,degree supervisor."	"http://hdl.handle.net/1773/43242"	"1089759555"
"Mediation, motives, and goals :"	"identifying the networked nature of contemporary activism /"	"Natasha N. Jones."	"Jones, Natasha N."	"Ph. D."	"University of Washington"	"2012"	"121109s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (ix, 260 pages) :"	"Zachry, Mark,1968-thesis advisor."	"http://hdl.handle.net/1773/20575;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3521684"	"816702525"
"Designing engaging conversational interactions for health & behavior change /"		"Rafal Kocielnik."	"Kocielnik, Rafal Dariusz,author."	"Ph. D."	"University of Washington"	"2021."	"210831t20212021waua\\\\obm\\s000\0\eng\d"	"1 online resource (xiii, 219 pages) :"	"Hsieh, Gary,degree supervisor."	"http://hdl.handle.net/1773/46972"	"1266225681"
"Choices on top of choices :"	"a case illustrating the dialectic impact of user technology choice /"	"Steven Lappenbusch."	"Lappenbusch, Steven."	"Ph. D."	"University of Washington"	"2013"	"140415s2013\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource ([x], 123 pages) :"	"Haselkorn, Mark P.,thesis advisor."	"http://hdl.handle.net/1773/22887;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3563188"	"876757829"
"Toward better design of humanitarian ICT :"	"a social agency-centered framework of humanitarian information needs based on a grounded study of successful Red Cross/Red Crescent practitioners /"	"Robin E. Mays."	"Mays, Robin E.,author."	"Ph. D."	"University of Washington"	"2018."	"190312t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (iv, 222 pages)  :"	"Haselkorn, Mark P.,degree supervisor."	"http://hdl.handle.net/1773/43241"	"1089759319"
"Robots on the job :"	"do robots elicit gender stereotypes? /"	"Sean Michael Mitchell."	"Mitchell, Sean Michael."	"M.S.H.C.D.E."	"University of Washington"	"2010"	"120913s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 33 pages :"			"809868354"
"Promoting rhetorical awareness and perceived self-efficacy :"	"engineering undergraduate students creating preparedness portfolios about communication /"	"Kathryn A. Mobrand."	"Mobrand, Kathryn A."	"Ph. D."	"University of Washington"	"2012"	"140415s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (280 pages) :"	"Turns, Jennifer,1968-thesis advisor."	"http://hdl.handle.net/1773/22889;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3563079"	"876760104"
"Coordinating the commons :"	"diversity & dynamics in open collaborations /"	"Jonathan T. Morgan."	"Morgan, Jonathan T.,author."	"Ph. D."	"University of Washington"	"2013."	"140701t20132013waua\\\\obm\\s000\0\eng\d"	"1 online resource (176 pages) :"	"Zachry, Mark,1968-degree supervisor."	"http://hdl.handle.net/1773/25074"	"882270788"
