245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Behavioral and biochemical mechanisms of olfactory imprinting and homing by Coho salmon /"		"by Andrew Harris Dittman."	"Dittman, Andrew Harris,1959-"	"Ph. D."	"University of Washington"	"1994"	"940628s1994\\\\xx\ab\\\\bmt\\000\0\eng\d"	"ix, 104 leaves :"		"http://hdl.handle.net/1773/10321"	"30680641"
"An X-ray photoelectron spectroscopy (XPS) study of in-situ fractured reaction bonded silicon nitride (RBSN) /"		"by Michael Stafford Donley."	"Donley, Michael Stafford."	"Ph. D."	"University of Washington"	"1987"	"870327s1987\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 224 leaves :"			"15383028"
"A theory of animate perception /"		"by Matthew W. Dunn."	"Dunn, Matthew Wayne,1962-"	"Ph. D."	"University of Washington"	"1995"	"960321s1995\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 274 pages :"			"34429504"
"The effect of cultural assimilator training on cross-cultural bargaining outcomes /"		"by Joseph C. Dupris."	"Dupris, Joseph C."	"Ph. D."	"University of Washington"	"1994"	"941229s1994\\\\xx\\\\\\\bmp\\000\0\eng\d"	"viii, 337 leaves "			"31750005"
"Molecular mechanisms of block of sodium channels by inactivation gate peptides /"		"by Galen Eaholtz."	"Eaholtz, Galen,1957-"	"Ph. D."	"University of Washington"	"1995"	"960415s1995\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 154 leaves :"			"34574106"
"Muscular control of a learned movement /"		"by Roger Maro Enoka."	"Enoka, Roger Maro."	"Ph. D."	"University of Washington"	"1981"	"811112s1981\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 156 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:8212527"	"7931086"
"Sustainable development in one Amazon várzea /"		"by Graciela Etchart."	"Etchart, Graciela."	"Ph. D."	"University of Washington"	"1995"	"960503s1995\\\\xx\ab\\\\bm\\\000\0\eng\d"	"xiv, 364 leaves :"			"34674232"
"Fetomaternal potassium relations in the rat."			"Fantel, Alan George."	"Ph. D."	"University of Washington"		"890526s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"99 leaves"			"19768230"
"Refinement of fish oil for human consumption :"	"engineering investigations /"	"by Carmen Cecilia Fernandez."	"Fernandez, Carmen Cecilia."	"Ph. D."	"University of Washington"	"1986"	"870126s1986\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xvii, 342 leaves (some folded) :"			"15114973"
"Pharmacological asymmetry in the human brain :"	"evidence for the differential hemispheric action of amobarbital /"	"by Lynn Robert Frumkin."	"Frumkin, Lynn Robert."	"Ph. D."	"University of Washington"	"1984"	"840716s1984\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 109 leaves :"			"10953006"
"Improvement of small diameter vascular graft performance with glow discharge treatment /"		"by Andrew Marc Garfinkle."	"Garfinkle, Andrew Marc."	"Ph. D."	"University of Washington"	"1984"	"841218s1984\\\\xx\af\\\\bm\\\000\0\eng\d"	"xii, 199 leaves, 4 unnumbered leaves of plates :"			"11505345"
"Laboratory control language"	"a laboratory automation system."		"Garthwaite, Charles Richmond."	"Ph. D."	"University of Washington"		"890501s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"99 leaves"			"19637032"
"Nucleic acid metabolism in X-irradiated rat thymocytes."			"Geraci, J. P.(Joseph P.)"	"Ph. D."	"University of Washington"		"890501s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"79 leaves"			"19636971"
"Genetic testing for susceptibility to breast and ovarian cancer :"	"a case study of clinical decision-making in medical genetics /"	"by Andrea E. Glassberg."	"Glassberg, Andrea E."	"Ph. D."	"University of Washington"	"1997"	"981013s1997\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 262 leaves :"		"http://hdl.handle.net/1773/10308"	"40101179"
"The Tafsīr of Abū ʻAlī al-Jubbāʼī :"	"first steps toward a reconstruction, with texts, translation, biographical introduction and analytical essay /"	"by Rosalind Ward Gwynne."	"Gwynne, Rosalind Ward."	"Ph. D."	"University of Washington"	"1982"	"820505s1982\\\\xx\\\\\\\bmt\\000\0\eng\d"	"ii, 308 leaves "	"Jubbāʼ, Abū ʻAlī,-915.Tafsīr."	"http://hdl.handle.net/1773/10329;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:8212544"	"8400226"
