245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"On the water masses of the Arctic Ocean."			"Coachman, Lawrence K.,1926-"	"Ph. D."	"University of Washington"		"890718s1962\\\\xx\ab\\\\bm\\\000\0\eng\d"	"94 leaves"			"20024373"
"Physical and chemical features of the waters in the East Siberian and Laptev Seas in the summer."			"Codispoti, Louis Anthony."	"M.S."	"University of Washington"		"890718s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"51 leaves"			"20024342"
"The potentiometric titration of sulfate in sea water ..."			"Collias, Eugene E.,1925-"	"M.S."	"University of Washington"		"890714s1951\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 30 leaves"			"20007508"
"Processes affecting suspended particulate matter in the Columbia River-effluent system, summer, 1965, 1966."			"Conomos, Tasso John,1938-"	"Ph. D."	"University of Washington"		"890810s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"141 leaves"			"20153117"
"Diel differences in trawl catches of some demersal fishes."			"Cooney, Robert T."	"M.S."	"University of Washington"		"890810s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"97 leaves"			"20153082"
"Zooplankton and micronekton associated with a diffuse sound-scattering layer in Puget Sound, Washington."			"Cooney, Robert T."	"Ph. D."	"University of Washington"		"890810s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"208 leaves"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:7124025"	"20153127"
"Vertical distributions of copepoda in Dabob Bay, December 1960."			"Damkaer, David M."	"M.S."	"University of Washington"		"890731s1964\\\\xx\a\\\\\bm\\\000\0\eng\d"	"84 leaves"			"20103139"
"The velocity profiles and stresses above the sea floor in Agate Passage and San Juan Channel."			"Duxbury, Alyn C.,1932-"	"M.S."	"University of Washington"		"890801s1956\\\\xx\a\\\\\bm\\\000\0\eng\d"	"82 leaves"			"20106269"
"Long period time dependent motion in a polar ocean."			"Farmer, Harlow Grosvenor,1923-"	"Ph. D."	"University of Washington"		"890810s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"144 leaves"			"20155638"
"The Alaskan stream."			"Favorite, Felix."	"M.S."	"University of Washington"		"890616s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"71 leaves"			"19881893"
"The response of a stratified model ocean to a pressure disturbance moving seaward across the continental shelf."			"Galt, J. A.(Jerry Alan),1941-"	"Ph. D."	"University of Washington"		"890810s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"93 leaves"			"20155621"
"The boron chlorinity ratio, its determination and its variation."			"Gast, James Avery,1929-"	"M.S."	"University of Washington"		"890621s1956\\\\xx\a\\\\\bm\\\000\0\eng\d"	"39 leaves"			"19905776"
