245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Postmodernism and narrative in Edvard Hoem's Kjærleikens ferjereiser and Ave Eva /"		"by Tara Chace."	"Chace, Tara."	"M.A."	"University of Washington"	"1994"	"941130s1994\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 77 leaves "			"31537714"
"Saxo Grammaticus :"	"the political ideology of the Gesta Danorum /"	"by John Cramer."	"Cramer, John,1968-"	"M.A."	"University of Washington"	"1995"	"960103s1995\\\\xx\\\\\\\bm\\\000\0\eng\d"	"73 leaves "			"33981816"
"The development of the suffixed article in Scandinavian (North Germanic) in areal perspecitve /"		"by Kassandra Cruit-Salzberg."	"Cruit-Salzberg, Kassandra."	"M.A."	"University of Washington"	"1999"	"991018s1999\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 96 leaves :"			"42658085"
"The mantle and dis-mantling of patriarchal power :"	"a feminist intertextual reading of Torgny Lindgren's Bat Seba /"	"by Elizabeth de Noma."	"De Noma, Elizabeth A."	"M.A."	"University of Washington"	"1994"	"950816s1994\\\\xx\\\\\\\bm\\\000\0\eng\d"	"58 leaves "			"32997074"
"Multiple melodrama :"	"the making and remaking of three Selma Lagerlöf narratives in the silent era and the 1940s /"	"Elizabeth A. de Noma."	"De Noma, Elizabeth A."	"Ph. D."	"University of Washington"	"2000"	"010102s2000\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 200 leaves "		"http://hdl.handle.net/1773/6580"	"45643880"
"Interpreting the language of emancipation :"	"an exploration of ethnic and anti-ethnic terminology in nineteenth century Jewish emancipation in Scandinavia /"	"by Sonja Dordal."	"Dordal, Sonja."	"M.A."	"University of Washington"	"1996"	"970124s1996\\\\xx\\\\\\\bm\\\000\0\eng\d"	"79 leaves "			"36256274"
"Aesthetic text, gender, identity and social critique in Karin Boye's ""Kris"" and Monika Fagerholm's ""Diva"" /"		"by Amanda Elaine Doxtater."	"Doxtater, Amanda Elaine.http://www.wikidata.org/entity/Q100432973"	"M.A."	"University of Washington"	"2003"	"030618s2003\\\\xx\\\\\\\bm\\\000\0\eng\d"	"i, 73 leaves "			"52461925"
"A subject in becoming :"	"the individuation process in Lars Gustafsson's fiction /"	"by Ia Dübois."	"Dübois, Ia.http://www.wikidata.org/entity/Q100746202"	"Ph. D."	"University of Washington"	"1991"	"920428s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 234 leaves :"			"25727873"
"The troll and the poltergeist :"	"the effects of a storyteller's principal memorats on his repertory and beliefs /"	"by Birke R. Duncan."	"Duncan, Birke."	"M.A."	"University of Washington"	"1997"	"980319s1997\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 66, [2] leaves "			"38752053"
"A nation in the pages :"	"nation, history, and metaphor in the fiction of Ebbe Kløvedal Reich /"	"by Trevor G. Elkington."	"Elkington, Trevor G.(Trevor Glen),1970-"	"M.A."	"University of Washington"	"1997"	"980318s1997\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 81 leaves "			"38743681"
"Hvalblaast! :"	"a study of life onboard modern whaling factory vessels /"	"William F. Fischer."	"Fischer, William F.,1975-"	"M.A."	"University of Washington"	"2000"	"010118s2000\\\\xx\ab\\\\bm\\\000\0\eng\d"	"ii, 96 leaves :"			"45746004"
"The generic ambiguity of August Strindberg's Inferno :"	"occult novel and autobiography /"	"by Ann-Charlotte Gavel Adams."	"Gavel Adams, Ann-Charlotte,1944-http://www.wikidata.org/entity/Q29341932"	"Ph. D."	"University of Washington"	"1990"	"910813s1990\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 238 leaves "		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9108471"	"24229526"
"Experiential time in the works of Johan Borgen /"		"by Leslie Grove."	"Grove, Leslie(Leslie Ann)"	"Ph. D."	"University of Washington"	"1994"	"950817s1994\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 223 leaves "			"33000603"
"Individualism in the welfare state /"		"by Ann-Kathrin Halvorsen Sopp."	"Halvorsen Sopp, Ann-Kathrin."	"M.A."	"University of Washington"	"1998"	"990209s1998\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 58 leaves "			"40760242"
"Reconceptualizing regions :"	"the fixed link at Öresund and the restructuring of identity in Malmö-Lund /"	"by Brian T. Hodges."	"Hodges, Brian T."	"M.A."	"University of Washington"	"1998"	"990210s1998\\\\xx\ab\\\\bm\\\000\0\eng\d"	"ii, 70 leaves :"			"40766352"
"The literary author as ethnographer :"	"Ludvig Nordström and his stories from the archipelago /"	"by Lars Jenner."	"Jenner, Lars."	"M.A."	"University of Washington"	"1992"	"930503s1992\\\\xx\\\\\\\bm\\\000\0deng\d"	"70 leaves "			"28033973"
"The depiction of women in Gísla saga Súrssonar :"	"a comparison of the M and S redactions /"	"by Siv Kalve."	"Kalve, Siv."	"M.A."	"University of Washington"	"1998"	"981109s1998\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 40 leaves "			"40264010"
"The counter-hermeneutic framework of Göran Sonnevi's poetry /"		"by Kevin Karlin."	"Karlin, Kevin."	"M.A."	"University of Washington"	"1992"	"921209s1992\\\\xx\\\\\\\bm\\\000\0\eng\d"	"i, 85 leaves "			"27089832"
"The Norwegian male chorus movement in America :"	"a study /"	"by Alf Lunder Knudsen."	"Knudsen, Alf Lunder,1934-"	"Ph. D."	"University of Washington"	"1989"	"891228s1989\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 405 leaves "		"http://hdl.handle.net/1773/6589;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9000267"	"20833240"
"A translation of Willy Kyrklund's Åtta variationer (Eight variations) /"		"with an introduction by Paul Norlen."	"Kyrklund, Willy,1921-2009."	"M.A."	"University of Washington"	"1992"	"921215s1992\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 110, [1] leaves "	"Norlén, Paul R."		"27125024"
"Imagining themselves :"	"national belongings in post-ethnic Nordic literature /"	"Peter S. Leonard."	"Leonard, Peter,1975-"	"Ph. D."	"University of Washington"	"2011"	"110802s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 179 leaves "		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3452758"	"744474935"
"Imagining themselves :"	"voice, text, and reception in Anyuru, Khemiri and Wenger /"	"Peter Leonard."	"Leonard, Peter,1975-"	"M.A."	"University of Washington"	"2005"	"060118s2005\\\\xx\\\\\\\bm\\\000\0\eng\d"	"i, 57 leaves "			"63064828"
"Experimentation, tradition, and transformation in the films of Tancred Ibsen /"		"by Arne Olav Lunde."	"Lunde, Arne Olav."	"M.A."	"University of Washington"	"1998"	"990218s1998\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 81 leaves "			"40818530"
"Subversion, theft and reinscription in the (anti- )novels of Kjartan Fløgstad /"		"by James T. Manis."	"Manis, James T.,1949-"	"Ph. D."	"University of Washington"	"1989"	"900125s1989\\\\xx\\\\\\\bm\\\000\0\eng\d"	"422 leaves "			"20956810"
"Farvens klang :"	"color spaces in Strindberg, Branner, Dinesen, and Bjorneboe /"	"Mark Mussari."	"Mussari, Mark."	"Ph. D."	"University of Washington"	"1999"	"000403s1999\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 230 leaves :"		"http://hdl.handle.net/1773/6588;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9936450"	"43760614"
"The problem of cultural identity in the works of Waldemar Ager, Simon Johnson, and Johannes B. Wist /"		"by James P. Nelson."	"Nelson, James P.,1943-"	"Ph. D."	"University of Washington"	"1990"	"910313s1990\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 229 leaves "			"23239910"
"Making a people, breaking a people :"	"discourses of national identity in Finland, 1809-1918 /"	"by Andrew K. Nestingen."	"Nestingen, Andrew K.http://www.wikidata.org/entity/Q100440585"	"M.A."	"University of Washington"	"1999"	"000406s1999\\\\xx\\\\\\\bm\\\000\0\eng\d"	"i, 115 leaves "			"43795435"
"Why nation? :"	"globalization and national culture in Finland, 1980-2001 /"	"Andrew Nestingen."	"Nestingen, Andrew K.http://www.wikidata.org/entity/Q100440585"	"Ph. D."	"University of Washington"	"2001"	"020429s2001\\\\xx\\\\\\\bm\\\000\0\eng\d"	"vi, 271 leaves "		"http://hdl.handle.net/1773/6585;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3022874"	"49684750"
"Genre, intertexts, and play in the short prose of Willy Kyrklund /"		"by Paul R. Norlen."	"Norlén, Paul R."	"Ph. D."	"University of Washington"	"1995"	"960228s1995\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 250 leaves "			"34286754"
"Modern women reach North :"	"a feminist theological study of the Norse goddesses /"	"by Heather Dawnice O'Brien."	"O'Brien, Heather Dawnice."	"M.A."	"University of Washington"	"1995"	"960228s1995\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 45 leaves "			"34287121"
"Including ""the Other"" :"	"a comparative study of Danish and Swedish immigration policy /"	"Timothy Alan Raines."	"Raines, Timothy Alan."	"M.A."	"University of Washington"	"2004"	"041124s2004\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 110 leaves "			"57040156"
"The author who loved roads :"	"paths of marginality in the works of Cora Sandel /"	"by Ellen Rees."	"Rees, Ellen Rebecca."	"M.A."	"University of Washington"	"1992"	"921012s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 61 leaves :"			"26773924"
"Cora Sandel, Norwegian neo-realist or European modernist? /"		"by Ellen Rebecca Rees."	"Rees, Ellen Rebecca."	"Ph. D."	"University of Washington"	"1995"	"960312s1995\\\\xx\\\\\\\bmt\\000\0\eng\d"	"iv, 196 leaves "		"http://hdl.handle.net/1773/6590"	"34345766"
"Early poems of Eeva Liisa Manner in translation /"		"Lola Rogers."	"Rogers, Lola."	"M.A."	"University of Washington"	"2005"	"060307s2005\\\\xx\\\\\\\bm\\\000\p\eng\d"	"3, 96 leaves "			"64567408"
"The importance of principled ideas :"	"a Norwegian example /"	"by Christopher Mark Rowland."	"Rowland, Christopher Mark."	"M.A."	"University of Washington"	"1996"	"970424s1996\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 38 leaves :"			"36794685"
"Potriarchal power in prescribed gender speaking of a letter in the writing of August Strindberg /"		"by Matthew M. Roy."	"Roy, Matthew M."	"M.A."	"University of Washington"	"1996"	"961127s1996\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 69 leaves :"			"36009779"
"Heliga Katarina och Liten Karin :"	"the cult of Saint Catherine of Alexandria and its resonances in medieval and post-Reformation Sweden /"	"by Tracey Renée Sands."	"Sands, Tracey R."	"Ph. D."	"University of Washington"	"1998"	"981201s1998\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 411 leaves "		"http://hdl.handle.net/1773/6584"	"40419291"
"Paradigmatic re-plottings :"	"discursive dialogue in Irmelin Sandman Lilius' Korpfolksungen /"	"by Anna Margareta Sonnerup."	"Sonnerup, Anna Margareta."	"M.A."	"University of Washington"	"1996"	"971119s1996\\\\xx\\\\\\\bm\\\000\0\eng\d"	"83 leaves "			"37967649"
"Harmonien :"	"an ethnohistorical sociolinguistic analysis of a Danish-American organization /"	"by Marianne Tove Stolen."	"Stolen, Marianne Tove."	"Ph. D."	"University of Washington"	"1990"	"910822s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 214 leaves :"			"24273649"
"Seductive strategies for female subjects :"	"how contemporary Scandinavian women dramatists represent women on stage /"	"by Tanya Thresher."	"Thresher, Tanya."	"Ph. D."	"University of Washington"	"1998"	"990310s1998\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 204 leaves "		"http://hdl.handle.net/1773/6587;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9836264"	"40937326"
"Voyage or exile? :"	"two female novels of development from 1930s Finland /"	"by Sonia Wichmann."	"Wichmann, Sonia."	"M.A."	"University of Washington"	"1997"	"980319s1997\\\\xx\\\\\\\bm\\\000\0\eng\d"	"52 leaves "			"38750451"
