245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"DNA-RNA hybridization studies with crown gall tumors of tobacco and the kinetic complexity of tobacco DNA."			"Eden, Francine C."	"Ph. D."	"University of Washington"		"890616s1973\\\\xx\a\\\\\bm\\\000\0\eng\d"	"226 leaves"			"19879345"
"Studies on the nature of acquired immunity to experimental syphilis in rabbits."			"Erickson, David Loren."	"M.S."	"University of Washington"		"890531s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"33 leaves"			"19789545"
"Serological and chemical studies on human biclonal myeloma immunoglobulins."			"Fair, Daryl Stanley,1947-"	"Ph. D."	"University of Washington"		"890531s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"141 leaves"			"19789505"
"Serological and pathogenic studies of Geotrichum candidum."			"Fleschutz, Carol Joanne."	"M.S."	"University of Washington"		"890605s1963\\\\xx\a\\\\\bm\\\000\0\eng\d"	"78 leaves"			"19816383"
"Studies on an acute allogeneic disease in mice."			"Granger, Gale Arthur,1937-"	"M.S."	"University of Washington"		"890622s1963\\\\xx\a\\\\\bm\\\000\0\eng\d"	"51 leaves"			"19908695"
"Studies on in vitro homograft rejection in mice."			"Granger, Gale Arthur,1937-"	"Ph. D."	"University of Washington"		"890705s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"90 leaves"			"19960226"
"Electrophoretic studies of phosphoglucomutase isozymes in Saccharomyces."			"Grindall, Denny Paul."	"M.S."	"University of Washington"		"890630s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"44 leaves"			"19950716"
"The function of the mononuclear phagocyte system in experimental immune complex disease."			"Haakenstad, Alan Otto."	"Ph. D."	"University of Washington"		"890615s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"139 leaves"			"19876024"
"Studies on the development of competence with purified competent cells of Bacillus subtilis."			"Hadden, Charles Thomas,1944-"	"Ph. D."	"University of Washington"		"890511s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"90 leaves"			"19691434"
"Studies on maternal immune responses to antigens of the fetus."			"Hamilton, Marilyn Stanley."	"Ph. D."	"University of Washington"		"890511s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"84 leaves"			"19691444"
"Studies on tuberculin sensitivity."			"Han, Shou-hwa,1930-"	"Ph. D."	"University of Washington"		"890629s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"120 leaves"			"19948308"
"The transposition of a plasmid DNA sequence which mediates ampicillin resistance."			"Heffron, Frederick."	"Ph. D."	"University of Washington"		"890523s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"97 leaves"			"19750447"
"Bacteriophage SP82 gene expression during infection of Bacillus subtilis."			"Hiatt, William Ralph."	"Ph. D."	"University of Washington"		"890523s1977\\\\xx\a\\\\\bm\\\000\0\eng\d"	"145 leaves"			"19750525"
"Studies of mechanisms of immunity in rainbow trout (Salmo gairdneri)."			"Hodgins, Harold O."	"Ph. D."	"University of Washington"		"890622s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"100 leaves"			"19909743"
"Studies of complement and precipitating antibody in Shope papilloma virus infections."			"Hsia, Shyuan,1940-"	"M.S."	"University of Washington"		"890622s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"47 leaves"			"19909933"
"Studies of rabbit kidney vacuolating virus."			"Hsia, Shyuan,1940-"	"Ph. D."	"University of Washington"		"890523s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"98 leaves"			"19750271"
"Studies on in vitro target cell destruction by alloimmune mouse peritoneal macrophanges."			"Hunter, James Thomas,1940-"	"Ph. D."	"University of Washington"		"890615s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"142 leaves"			"19872224"
"A study of R factor carrying strains of Escherichia coli and characterization of R factor deoxyribonucleic acid."			"Jay, Vee Codie,1942-"	"Ph. D."	"University of Washington"		"890615s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"82 leaves"			"19872208"
"A study towards the selection of a reference medium for antibiotic sensitivity testing."			"Jay, Vee Codie,1942-"	"M.S."	"University of Washington"		"890609s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"115 leaves"			"19841344"
"Studies on the induction of primary and secondary tumor immune responses in vitro."			"Kall, Mary Ann Therese."	"Ph. D."	"University of Washington"		"890615s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"101 leaves"			"19872279"
"Enzymatic control of histone phosphorylation during the cell cycle of Physarum polycephalum."			"Keene, Jack Donald."	"Ph. D."	"University of Washington"		"890506s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"119 leaves"			"19668278"
"The inhibitory effect of certain amines and ammonium salts on diphtheria toxin action in tissue culture."			"Kim, Kenneth Sun Won,1931-"	"Ph. D."	"University of Washington"		"890605s1964\\\\xx\\\\\\\bm\\\000\0\eng\d"	"75 leaves"			"19816523"
"Isolation and characterization of a bacteriophage infecting the myxobacterium Chondrococcus columnaris."			"Kingsbury, David T."	"M.S."	"University of Washington"		"890605s1964\\\\xx\a\\\\\bm\\\000\0\eng\d"	"67 leaves"			"19816470"
"Antibody response of mice to chemically induced sarcomas /"		"by Jack Maurice Klitzman."	"Klitzman, Jack Maurice."		"University of Washington"		"890506s1978\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 98 leaves "			"19668302"
"Gas vesicles of Microcyclus aquaticus."			"Konopka, Allen Eugene."	"Ph. D."	"University of Washington"		"890601s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"109 leaves"			"19792625"
