245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Vindicating public environmental interest :"	"defining the role of environmental public interest litigation in China /"	"Juan Chu."	"Chu, Juan,1986-author."	"Ph. D."	"University of Washington"	"2018."	"190403t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (v, 177 pages)  :"	"Knudsen, Sanne H.,degree supervisor."	"http://hdl.handle.net/1773/43406"	"1091359627"
"Standard essential patent in telecommunication standard :"	"United States and China comparison /"	"Hung-yu Chuang."	"Chuang, Hung-yu,author."	"Ph. D."	"University of Washington"	"2016"	"161116t20162016wau\\\\\obm\\s000\0\eng\d"	"1 online resource (x, 225 pages)"	"Winn, Jane K.,1957-degree supervisor."	"http://hdl.handle.net/1773/37166"	"962767104"
"Law, brands, and innovation :"	"how trademark law helps to create fashion innovation /"	"Dayoung Chung."	"Chung, Dayoung,author."	"Ph. D."	"University of Washington"	"2017"	"171012t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (167 pages) :"	"Townsend, Michael E.,degree supervisor."	"http://hdl.handle.net/1773/40220"	"1005934602"
"Systemic problems of foreign financing in the PRC :"	"a comparative legal study /"	"by Zhi-Ying Fang."	"Fang, Zhi-Ying."	"Ph. D."	"University of Washington"	"1991"	"920324s1991\\\\xx\\\\\\\bmt\\000\0\eng\d"	"vi, 333 leaves "		"http://hdl.handle.net/1773/9619"	"25524592"
"How activist lawyers mobilized the law for social and political change in South Korea, 1988-2007 /"		"Patricia Goedde."	"Goedde, Patricia."	"Ph. D."	"University of Washington"	"2008"	"080729s2008\\\\xx\\\\\\\bm\\\000\0\eng\d"	"x, 329 leaves "			"236490474"
"Transnational crime, mutual legal assistance, and compliance with international obligations in the developing world :"	"reforming and enforcing legal mechanisms to effectively combat transnational crime in Afghanistan /"	"Abdul Mahir Hazim."	"Hazim, Abdul Mahir,author."	"Ph. D."	"University of Washington"	"2020."	"210412t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (various pagings) :"	"Eddy, Jonathan A.,degree supervisor."	"http://hdl.handle.net/1773/46494"	"1245872774"
"From humble beginnings to a functioning court :"	"the Indonesian constitutional court, 2003-2008 /"	"Hendrianto."	"Hendrianto."	"Ph. D."	"University of Washington"	"2008"	"090505s2008\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 303 leaves :"			"320256544"
"Backlash against foreign investment regime :"	"Indonesia's experience /"	"Herliana."	"Herliana,author."	"Ph. D."	"University of Washington"	"2017"	"170622t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (xiii, 347)"	"Zang, Dongsheng(Law professor),degree supervisor."	"http://hdl.handle.net/1773/38648"	"990792243"
"The origin of the marital community property system ..."			"Hill, Cyril Dean."				"960717s1923\\\\xx\\\\\\\bm\\\000\0\eng\d"	"43 leaves"			"35097286"
"The impact of containerization on carrier's liabilities and rate regulations in international liner shipping with emphasis on United States/Japanese trade."			"Huang, David M.(David Mao-ching),1940-"	"Ph. D."	"University of Washington"		"890517s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"364 leaves"			"19717644"
"Beyond the Bayh-Dole effect :"	"an entrepreneurial approach to building technology transfer /"	"Ye Jiang."	"Jiang, Ye,1990-author."	"Ph. D."	"University of Washington"	"2018."	"190214t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (vi, 250 pages) :"	"Winn, Jane K.,1957-degree supervisor."	"http://hdl.handle.net/1773/43080"	"1085677051"
"Redefining medical tourism :"	"a legal and qualitative analysis of international medical travel from the United States /"	"Tanya E. Karwaki."	"Karwaki, Tanya E.,author."	"Ph. D."	"University of Washington"	"2016"	"170419t20162016waua\\\\obm\\s000\0\eng\d"	"1 online resource (v, 149 pages) :"	"Kuszler, Patricia C.,1952-degree supervisor."	"http://hdl.handle.net/1773/38166"	"982960222"
"A blue sky law for the state of Washington ..."			"Kelly, Raphael Lester."	"M.B.A."	"University of Washington"		"890727s1921\\\\xx\\\\\\\bm\\\000\0\eng\d"	"87 leaves"			"20078179"
