245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Microstructure-property relationships in A1₃Nb-based intermetallic alloys /"		"by Fred Robert Frasier."	"Frasier, Fred Robert."	"M.S. Mat. S. & E."	"University of Washington"	"1989"	"900313s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 88 leaves :"			"21208046"
"Microstructure characteristics of consolidated non-aqueous silicon suspensions /"		"by Gregg W. Frey."	"Frey, Gregg W."	"M.S. Cer. E."	"University of Washington"	"1984"	"841031s1984\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 58 leaves :"			"11330824"
"The evolution of cellular structures /"		"by Steven K. Fukuda."	"Fukuda, Steven K.(Steven Ken),1952-"	"Ph. D."	"University of Washington"	"1988"	"890320s1988\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 132 leaves :"			"19403062"
"Synthesis and characterization of VLS silicon carbide whisker reinforced reaction bonded silicon nitride /"		"by Frank David Gac."	"Gac, Frank D."	"Ph. D."	"University of Washington"	"1989"	"891114s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xiii, 235 leaves :"			"20645876"
"Dispersion in nonaqueous solvents for enhanced consolidation /"		"by Dennis Gallagher."	"Gallagher, Dennis."	"Ph. D."	"University of Washington"	"1988"	"890320s1988\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 135 leaves :"			"19403116"
"Effect of microstructure and temperature on the fracture resistance of duplex microstructure mullite /"		"by Asish Ghosh."	"Ghosh, Asish."	"Ph. D."	"University of Washington"	"1989"	"900413s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 190 leaves :"			"21371181"
"Chromia impregnation strengthening of alumina /"		"by Yoichi Hamano."	"Hamano, Yoichi."	"M.S. Mat. S.E."	"University of Washington"	"1987"	"870721s1987\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 118 leaves :"			"16261834"
"Processing of cordierite-mullite composites /"		"by Chan Han."	"Han, Chan."	"Ph. D."	"University of Washington"	"1989"	"900809s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 150 leaves :"			"22201886"
"Vapor phase epitaxial growth and etching of GaAs :"	"thermodynamic and kinetic study /"	"by Hong Gyu Han."	"Han, Hong Gyu."	"Ph. D."	"University of Washington"	"1988"	"890112s1988\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xi, 262 leaves :"			"19010126"
"Anomalous temperature dependence of the electrical resistivity of Ti-Ni and Ti-Fe alloys /"		"by Edward William Hare."	"Hare, Edward William."	"M.S. Met. E."	"University of Washington"	"1986"	"861218s1986\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 55 leaves :"			"14990852"
"The influence of magnesium and age hardening on the stress corrosion cracking and exfoliation behavior of an Al-Cu-Li alloy extrusion /"		"by James Harold Hawkins."	"Hawkins, James Harold."	"M.S. Met. E."	"University of Washington"	"1986"	"861003s1986\\\\xx\af\\\\bm\\\000\0\eng\d"	"viii, 164 leaves, 16 unnumbered leaves of plates :"			"14342208"
"The influence of beta phase decomposition on dp/dT of Titanium alloys /"		"by Mary Ann Hill."	"Hill, Mary Ann."	"M.S. Met. E."	"University of Washington"	"1986"	"860317s1986\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 100 leaves :"			"13305033"
"Strength of iliac crest and ilium bone /"		"by Kimi Ann Emi Ishigo."	"Ishigo, Kimi Ann Emi."	"M.S. Mat. S. & E."	"University of Washington"	"1989"	"891024s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 104 leaves :"			"20540702"
