245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Heliocracy :"	"a comprehensive reevaluation of Japanese political history /"	"Douglas Miller."	"Miller, Douglas,1981-author.http://www.wikidata.org/entity/Q104651346"	"Ph. D."	"University of Washington"	"2020."	"200903t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (xii, 283 pages) :"	"Hellmann, Donald C.,1933-degree supervisorhttp://www.wikidata.org/entity/Q100605735"	"http://hdl.handle.net/1773/45757"	"1192967109"
"""That stinks"" :"	"news framing of a corruption scandal /"	"Monique Myriam Nasrallah."	"Nasrallah, Monique Myriam,author."	"M.A.I.S."	"University of Washington"	"2017"	"171130t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (58 pages) :"	"Curran, Sara R.,degree supervisor.http://www.wikidata.org/entity/Q104603996"	"http://hdl.handle.net/1773/40438"	"1013596192"
"Let my people stay :"	"irregular migrants' struggle for rights and recognition /"	"Oded D. Oron."	"Oron, Oded D.,author."	"Ph. D."	"University of Washington"	"2018"	"181106t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (xii, 291 pages) :"	"Friedman, Kathie,degree supervisor."	"http://hdl.handle.net/1773/42078"	"1061313808"
"Projecting South Korea's future as a middle power in the Arctic /"		"Jay-Kwon James Park."	"Park, Jay-Kwon James,author."	"M.A.I.S."	"University of Washington"	"2017"	"180410t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (62 pages) :"	"Gallucci, Vincent F.,degree supervisor."	"http://hdl.handle.net/1773/40811"	"1030980230"
"21st century European populism :"	"boundaries of inclusion and exclusion /"	"Francisco Ramos."	"Ramos, Francisco,1993-author.http://www.wikidata.org/entity/Q107103366"	"M.A.I.S."	"University of Washington"	"2018."	"190115t20182018wau\\\\\obm\\s000\0\eng\d"	"1 online resource (58 pages)"	"Pekkanen, Robert,degree supervisor.http://www.wikidata.org/entity/Q100954769"	"http://hdl.handle.net/1773/42140"	"1082267966"
"""Scotland's future in Scotland's hands"" :"	"identity, memory, and grievance in the 2014 Scottish Independence Referendum /"	"Elizabeth D. Reams."	"Reams, Elizabeth D.,author."	"M.A.I.S."	"University of Washington"	"2017"	"171130t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (vi, 89 pages) :"	"Lang, Sabine,1959-degree supervisor."	"http://hdl.handle.net/1773/40430"	"1013558351"
"Contemporary sanctuary in Germany :"	"Bavaria and the intricacies of church asylum /"	"Randy Siebert."	"Siebert, Randy,author."	"M.A.I.S."	"University of Washington"	"2017"	"170913t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (87 pages) :"	"Lang, Sabine,1959-degree supervisor."	"http://hdl.handle.net/1773/39864"	"1003532570"
"Winning friends and influencing people with guns :"	"understanding the growth of China's military diplomacy /"	"Steven J. Smith."	"Smith, Steven J.,1972-author."	"Ph. D."	"University of Washington"	"2016"	"160804t20162016waua\\\\obm\\s000\0\eng\d"	"1 online resource (viii, 264) :"	"Bachman, David M.,degree supervisor.http://www.wikidata.org/entity/Q101933530"	"http://hdl.handle.net/1773/36456"	"954775615"
"The Exodus from Iraq and the end of Christian nation-building /"		"Stephen Randolph Thompson."	"Thompson, Stephen Randolph,author."	"Ph. D."	"University of Washington"	"2017"	"171103t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (118 pages)"	"Wellman, James K.,degree supervisor."	"http://hdl.handle.net/1773/39869"	"1009083560"
"The Mestizo state :"	"violence and state formation in Peru (1980-2000) /"	"Fernando Turn Sanchez."	"Turin Sanchez, Fernando,author."	"M.A.I.S."	"University of Washington"	"2016"	"160804t20162016waua\\\\obm\\s000\0\eng\d"	"1 online resource (107 pages) :"	"Lucero, Jose Antonio,1972-degree supervisor.http://www.wikidata.org/entity/Q107503387"	"http://hdl.handle.net/1773/36462"	"954785740"
