245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"In vitro alloreactivity of mouse bone marrow cells /"		"by Vera Brankovan Ercegovac."	"Ercegovac, Vera Brankovan."		"University of Washington"		"790906s1979\\\\xx\af\\\\bm\\\000\0\eng\d"	"vi, 67 leaves, 1 unnumbered leaf of plates :"			"5344942"
"The differential effect of hydrocortisone on the short-lived lymphocyte of the art."			"Esteban, Jose Navarro."	"M.S."	"University of Washington"		"890511s1967\\\\xx\\\\\\\bm\\\000\0\eng\d"	"34 leaves"			"19694017"
"An electron microscope study of the cells of the neural plate and the process of neurulation in an ascidian embryo."			"Everingham, John Wheeler,1932-"	"Ph. D."	"University of Washington"		"890627s1964\\\\xx\a\\\\\bm\\\000\0\eng\d"	"109 leaves"			"19932401"
"Properties of F9 cells stably transfected with sense and antisense sparc cDNA /"		"by Elizabeth Anne Everitt."	"Everitt, Elizabeth Anne,1957-"	"Ph. D."	"University of Washington"	"1991"	"920331s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 80 leaves :"			"25567014"
"Topographic order in the rat's optic pathway,"		"by James Gerard Flaherty, III."	"Flaherty, James Gerard."	"M.S."	"University of Washington"		"890601s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"67 leaves"			"19792936"
"Neurulation in the mouse :"	"morphology and mechanisms in neural morphogenesis /"	"Beverly Ann Foerder."	"Foerder, Beverly Ann."	"Ph. D."	"University of Washington"		"890601s1978\\\\xx\a\\\\\bm\\\000\0\eng\d"	"86 leaves :"			"19792898"
"Ontogeny of Langerhans cells in human embryonic and fetal skin :"	"surface markers and cell densities /"	"by Carolyn Ann Foster."	"Foster, Carolyn Ann."	"Ph. D."	"University of Washington"	"1986"	"870408s1986\\\\xx\af\\\\bm\\\000\0\eng\d"	"v, 97 leaves, 9 unnumbered leaves of plates :"			"15502575"
"An electron microscopic investigation of mineralizing tissues."			"Frazier, Paul David,1936-"	"Ph. D."	"University of Washington"		"890601s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"2 volumes"			"19792969"
"Internalization and degradation of radioimmunoconjugates by malignant human lymphoid cells /"		"by Francis Terrence Geissler."	"Geissler, Francis Terrence,1957-"	"Ph. D."	"University of Washington"	"1990"	"910821s1990\\\\xx\af\\\\bm\\\000\0\eng\d"	"viii, 79 leaves, 10 unnumbered leaves of plates :"			"24267794"
"Male germ cell development and teratoma formation in 129/J mice /"		"by Daniel Gong."	"Gong, Daniel."	"M.S."	"University of Washington"		"800326s1979\\\\xx\f\\\\\bm\\\000\0\eng\d"	"iv, 91 leaves, 17 unnumbered leaves of plates "			"6131328"
"Normal anatomy of the hippocampus with phased array fast spin echo MRI /"		"by Aurora Gonzalez."	"Gonzalez, Aurora."	"M.S."	"University of Washington"	"1994"	"950123s1994\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 45 leaves :"			"31871775"
"Cell surface determinants of embryonal carcinoma cells, primordial germ cells and early mouse embryos /"		"by Ann Caryn Hahnel."	"Hahnel, Ann Caryn."	"Ph. D."	"University of Washington"	"1984"	"850111s1984\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 88 leaves :"			"11570542"
"Adult and fetal myoblasts regulate myosin heavy chain expression differently /"		"by Rebecca Sue Hartley."	"Hartley, Rebecca Sue,1963-"	"Ph. D."	"University of Washington"	"1992"	"921202s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 130 leaves :"			"27051229"
"Regeneration of the retina in the newt (Diemictylus v. viridescens)"	"an electron microscope study."		"Hendrickson, Anita Elizabeth,1936-"	"Ph. D."	"University of Washington"		"890613s1964\\\\xx\a\\\\\bm\\\000\0\eng\d"	"254 leaves"		"http://hdl.handle.net/1773/5689;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:6411174"	"19860990"
"The normal ultrastructural organization of the immature feline trigeminal brainstem sensory nuclear complex and its morphological response following injury to deciduous dental pulps /"		"by Michael Alan Henry."	"Henry, Michael Alan,1954-"	"Ph. D."	"University of Washington"	"1991"	"920406s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 228 leaves :"			"25599874"
"The respiratory distress syndrome."			"Huber, Gary Louis."	"M.S."	"University of Washington"		"890522s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"368 leaves"			"19746266"
"Cerebral cortex transplants :"	"a morphological study on the development of cerebral cortex from fetal rats transplanted to the brains of newborn rats /"	"by Christine Brunhilde Jaeger."	"Jaeger, Christine Brunhilde."		"University of Washington"		"791101s1979\\\\xx\af\\\\bm\\\000\0\eng\d"	"vii, 190 leaves, 37 unnumbered leaves of plates :"			"5634522"
"Achaete-scute homologs in vertebrate retinogenesis /"		"by Christine L. Jasoni."	"Jasoni, Christine L."	"Ph. D."	"University of Washington"	"1994"	"950215s1994\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 109 leaves :"			"31995593"
"Mechanisms involved in adjustment of neural circuitry in the visual pathways of the rat /"		"by Ling Sun Jen."	"Jen, Ling Sun."		"University of Washington"		"791029s1979\\\\xx\f\\\\\bm\\\000\0\eng\d"	"viii, 110 leaves, 19 unnumbered leaves of plates "			"5621049"
"The application of dansyl-chloride in complex biological systems."			"Jenkins, Donald Pauling."	"Ph. D."	"University of Washington"		"890615s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"170 leaves"			"19872098"
"Development of human embryonic and fetal cutaneous vasculature /"		"by Carole Lillian Johnson."	"Johnson, Carole Lillian,1945-"	"Ph. D."	"University of Washington"	"1988"	"891006s1988\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 87 leaves :"			"20448893"
"Dental primary afferent connectivity in the brain stem trigeminal nuclear complex /"		"by Lonnie Rhodes Johnson."	"Johnson, Lonnie Rhodes."	"Ph. D."	"University of Washington"	"1985"	"850816s1985\\\\xx\af\\\\bm\\\000\0\eng\d"	"vi, 195 leaves, 42 unnumbered leaves of plates :"			"12394383"
"In vivo studies of the mechanisms underlying enhancement and the reversal of tumor growth in mice employing x-irradiation and adoptive transfer of lymphoid cells /"		"Frank R. Jones."	"Jones, Frank R."	"Ph. D."	"University of Washington"		"890615s1978\\\\xx\a\\\\\bm\\\000\0\eng\d"	"70 leaves :"			"19872041"
"An ultrastructural study of the plasma membrane of hamster spermatozoa with particular reference to changes associated with capacitation in-vitro."			"Kinsey, William Henderson."	"Ph. D."	"University of Washington"		"890515s1977\\\\xx\a\\\\\bm\\\000\0\eng\d"	"98 leaves"			"19704359"
"Crystal structures of ferredoxin II and cytochrome C3 from Desulfovibrio gigas /"		"by Charles Richard Kissinger."	"Kissinger, Charles Richard,1956-"	"Ph. D."	"University of Washington"	"1989"	"900719s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 208 leaves :"			"22099190"
"Analysis of the myogenic lineage in chick embryos /"		"by Douglas Evan Kligman."	"Kligman, Douglas Evan."		"University of Washington"		"791101s1979\\\\xx\f\\\\\bm\\\000\0\eng\d"	"vi, 59 leaves, 4 unnumbered leaves of plates "			"5634587"
"The influence of antimacrophage serum on rat lymphoid tissues and immunological competence in vivo and on macrophage structure and function in vitro."			"Knudson, Sharon Marie,1945-"	"Ph. D."	"University of Washington"		"890515s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"186 leaves"			"19704285"
"The recovery of immunological competence following sublethal irradiation as monitored by the mixed lymphocyte reaction."			"Lamberg, John David."	"M.S."	"University of Washington"		"890609s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"35 leaves"			"19840923"
"The myelogenous phase of B lymphocyte production in the mouse /"		"by Kenneth Samuel Landreth."	"Landreth, Kenneth Samuel."	"Ph. D."	"University of Washington"	"1980"	"810112s1980\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 97 leaves, [8] leaves :"			"7057104"
"Functional analysis of metal binding sites in SPARC through the use of synthetic peptides /"		"by Timothy Fuller Lane."	"Lane, Timothy Fuller,1957-"	"Ph. D."	"University of Washington"	"1992"	"930511s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 144 leaves :"			"28088510"
"Cellular and fiber patterns in the superior colliculus of the cat."	"A Goli and degeneration study."		"Langer, Thomas Paul."	"Ph. D."	"University of Washington"		"890601s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"282 leaves"			"19792919"
"Inhibition of muscle fusion by phospholipase C"	"release of cell surface macromolecules."		"Leung, Julia Pauline."	"Ph. D."	"University of Washington"		"890518s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"54 leaves"			"19726169"
"Adhesive interactions in the growth and migration of vascular endothelial and smooth muscle cells /"		"by Lucy Liaw."	"Liaw, Lucy."	"Ph. D."	"University of Washington"	"1994"	"950214s1994\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 134 leaves :"			"31992340"
"Identification and characterization of two sperm maturation-related glycoproteins from mouse epididymis /"		"by Hwan-Wun Liu."	"Liu, Hwan-Wun,1954-"	"Ph. D."	"University of Washington"	"1988"	"880929s1988\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 65 leaves :"			"18545106"
"An investigation of neural groove and neural tube development in the domestic fowl (Gallus gallus) using radiautography and light microscopy."			"Martin, Alexander Hamilton,1932-"	"Ph. D."	"University of Washington"		"890522s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"70 leaves"			"19746165"
"Aspects of forebrain regulation of plasma glucocorticoids in primates."			"Matheson, Gordon Keith,1934-"	"Ph. D."	"University of Washington"		"890522s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"93 leaves"			"19746217"
"Cell death during normal development of the somites in the rat."			"Matthias, Dixie Lee."	"M.S."	"University of Washington"		"890613s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"70 leaves"			"19860488"
"Glycolipids in myogenesis /"		"by John Edward McKay."	"McKay, John Edward."	"Ph. D."	"University of Washington"	"1981"	"820414s1981\\\\xx\af\\\\bm\\\000\0\eng\d"	"iv, 57 leaves, 6 unnumbered leaves of plates :"			"8333493"
"The effects of antilymphocytic serum, cyclophosphamide, and irradiation treatment on RNA synthesis in small lymphocytes of the rat as measured by H³ - uridine incorporation."			"Mhyre, James Gregory."	"M.S."	"University of Washington"		"890605s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"44 leaves"			"19815576"
"The effects of surgical modification of the fetal rat superior colliculus on the development of the retinocollicular projection."			"Miller, Bruce F."	"Ph. D."	"University of Washington"		"890605s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"88 leaves"			"19815597"
"Radioautographic and marker chromosome analysis of the graft-versus-host reaction in the mouse popliteal node."			"Monié, Herbert Joseph,1942-"	"Ph. D."	"University of Washington"		"890605s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"63 leaves"			"19815585"
"Characterization of small lymphocytes involved in allogenic skin graft rejection with respect to lifespan."			"Mulé, James Joseph."	"M.S."	"University of Washington"		"890609s1977\\\\xx\a\\\\\bm\\\000\0\eng\d"	"95 leaves"			"19840991"
"Studies on the development of the superior colliculus of the albina [sic] rat."			"Mustari, Michael J."	"Ph. D."	"University of Washington"		"890615s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"151 leaves"			"19872079"
"Isolation of plasma membrane vesicles from cultured myogenic cells."			"Neff, Anton William."	"Ph. D."	"University of Washington"		"890615s1977\\\\xx\a\\\\\bm\\\000\0\eng\d"	"88 leaves"			"19872060"
"Development and synaptogenesis in fetal pyriform cortex :"	"qualitative and quantitative analyses of cortical maturation and synapse formation in layer I /"	"by Helen Elaine Newman-Gage."	"Newman-Gage, Helen Elaine."	"Ph. D."	"University of Washington"	"1984"	"850227s1984\\\\xx\af\\\\bm\\\000\0\eng\d"	"vi, 228 leaves, 67 unnumbered leaves of plates :"			"11741518"
"Densitometry of small bone specimens using non-screen radiographic film and a 35 mm slide digitizer /"		"by Colleen Jean Parker."	"Parker, Colleen Jean."	"M.S."	"University of Washington"	"1993"	"940331s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 34 leaves :"			"30062870"
"Cellular responses to distal tubal disease in animal models of hydrosalpinx and salpingitis /"		"by Dorothy Louise Patton."	"Patton, Dorothy Louise."	"Ph. D."	"University of Washington"	"1981"	"810728s1981\\\\xx\af\\\\bm\\\000\0\eng\d"	"vi, 105 leaves, 21 unnumbered leaves of plates :"			"7622828"
"Characterization of the phytohemagglutinin responsive population of cells in mouse bone marrow."			"Press, Oliver William."	"Ph. D."	"University of Washington"		"890615s1977\\\\xx\a\\\\\bm\\\000\0\eng\d"	"123 leaves"			"19872704"
"Quantitative analysis of the myogenic lineage in chick embryos /"		"by LeBris Smith Quinn."	"Quinn, LeBris Smith,1954-"	"Ph. D."	"University of Washington"	"1982"	"820827s1982\\\\xx\af\\\\bm\\\000\0\eng\d"	"vi, 86 leaves, 19 unnumbered leaves of plates :"			"8724846"
"The role of lipid transfer protein in human sperm capacitation /"		"by Stuart Edward Ravnik."	"Ravnik, Stuart Edward,1962-"	"Ph. D."	"University of Washington"	"1991"	"910924s1991\\\\xx\af\\\\bm\\\000\0\eng\d"	"xiv, 157 leaves :"			"24446685"
"Transcriptional regulation of the [kappa] immunoglobin gene in the murine lymphoma, 70Z/3, by interferon-[gamma] and bacterial lipopolysaccharide /"		"by Linda Darnell Rhodes."	"Rhodes, Linda Darnell,1952-"	"Ph. D."	"University of Washington"	"1993"	"940523s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 173 leaves :"			"30483176"
"Skeletal myogenesis :"	"an immunocytochemical investigation of cell differentiation /"	"by Mark McKinney Robinson."	"Robinson, Mark McKinney."	"Ph. D."	"University of Washington"	"1984"	"850118s1984\\\\xx\af\\\\bm\\\000\0\eng\d"	"iii, 52 leaves, 8 unnumbered leaves of plates :"			"11595626"
"The influence of adult thymectomy on the immunological competence of nontreated and antilymphocytic serum-treated rats as measured by the in vitro mixed lymphocyte reaction."			"Robson, Linda Sheryl Carlson,1945-"	"Ph. D."	"University of Washington"		"890615s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"271 leaves"			"19872639"
"A radioautographic investigation of chromosomal DNA and protein synthesis in phytohemagglutinin-stimulated lymphocytes from the opossum (Didelphis virginiana)."			"Schneider, Lawrence Kruse,1936-"	"Ph. D."	"University of Washington"		"890706s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"150 leaves"			"19967492"
"Alterations in surface carbohydrates on guinea pig spermatozoa accompanying in vitro capacitation and the acrosome reaction /"		"by Martin Alan Schwarz."	"Schwarz, Martin Alan."	"M.S."	"University of Washington"		"890512s1978\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 107 leaves :"			"19698382"
"Augmentation of tumor growth inhibition by normal murine bone marrow cells /"		"by Philip Scuderi, Jr."	"Scuderi, Philip."	"Ph. D."	"University of Washington"	"1980"	"810218s1980\\\\xx\af\\\\bm\\\000\0\eng\d"	"xii, 149 leaves, 10 unnumbered leaves of plates :"			"7135019"
"X-ray diffraction analysis of the antitumor protein neocarzinostatin :"	"results at 3.5 ȧngstrom resolution /"	"by Larry Charles Sieker."	"Sieker, Larry Charles."	"Ph. D."	"University of Washington"	"1981"	"810728s1981\\\\xx\af\\\\bm\\\000\0\eng\d"	"vi, 74 leaves, 1 unnumbered leaf of plates :"			"7622935"
"Assessment of carotid magnetic resonance angiography using physiological flow models /"		"by Janet Joy Silbergeld."	"Silbergeld, Janet Joy."	"M.S."	"University of Washington"	"1993"	"940412s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 38 leaves :"			"30129708"
"A radioautographic study of intracellular protein synthesis in the lymphoid cells of antigenically stimulated rat popliteal lymph nodes."			"Slonecker, Charles Edward."	"Ph. D."	"University of Washington"		"890605s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"87 leaves"			"19815565"
"Effects of the thyroid gland on protein metabolism in the golden hamster (Mesocricetus auratus) as measured by the in vivo incorporation of S-35 L-methionine."			"Smith, Erla Ring,1938-"	"Ph. D."	"University of Washington"		"890531s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"175 leaves"			"19788319"
"The development of dermal connective tissue in human embryonic and fetal skin /"		"by Lynne Thayer Smith."	"Smith, Lynne Thayer."	"Ph. D."	"University of Washington"	"1985"	"850501s1985\\\\xx\af\\\\bm\\\000\0\eng\d"	"iv, 121 leaves, 23 unnumbered leaves of plates :"			"11985678"
"The graft-versus-host reactivity of bone marrow lymphocytes assessed by the popliteal lymph node weight assay /"		"by Verena Mary Steiner."	"Steiner, Verena Mary."	"M.S."	"University of Washington"		"800325s1979\\\\xx\a\\\\\bm\\\000\0\eng\d"	"78 leaves :"			"6125925"
"Characterization of transcripts from the Antennapedia gene in Drosophila melanogaster /"		"by Virginia Louise Stroeher."	"Stroeher, Virginia Louise."	"Ph. D."	"University of Washington"	"1988"	"890315s1988\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 124 leaves :"			"19367275"
"Fine structure of the dermal luminescent organs, photophores, in the fish, Porichthys notatus."			"Strum, Judy M.(Judy May)"	"Ph. D."	"University of Washington"		"890519s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"133 leaves"			"19735324"
"Differentiation of mononucleated myoblasts."			"Trotter, John Allen."	"Ph. D."	"University of Washington"		"890818s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"82 leaves"			"20212587"
"Murine retroviral long terminal repeat sequences involved in transcriptional regulation and viral leukemogenicity /"		"by Joan Clarissa Tupper."	"Tupper, Joan Clarissa,1952-"	"Ph. D."	"University of Washington"	"1992"	"930309s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 98 leaves :"			"27697822"
"Studies of a product secreted by the mouse epididymis that associates specifically with the surface of the sperm tail /"		"by Robert Brian Vernon."	"Vernon, Robert Brian."	"Ph. D."	"University of Washington"	"1985"	"850702s1985\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 94 leaves, [17] leaves :"			"12226109"
"The regulation of nerve growth factor receptor (p75) in the first cranial nerve of the rat /"		"by Haila Vickland."	"Vickland, Haila."	"Ph. D."	"University of Washington"	"1993"	"931011s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 145 leaves :"			"28981400"
"The public symphysis ligament of the guinea pig"	"a model for the study of collagenase and collagen metabolism."		"Wahl, Larry M.,1943-"	"Ph. D."	"University of Washington"		"890512s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"115 leaves"			"19698770"
"Development of the lateral musculature in the teleost, Brachydanio rerio"	"a fine structural study."		"Waterman, Robert Earle,1940-"	"Ph. D."	"University of Washington"		"890818s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"176 leaves"		"http://hdl.handle.net/1773/5691"	"20212482"
"Fine structure, development and properties of a microtubular organelle in Urostyla sp."			"Weinke, Karen Ann."	"Ph. D."	"University of Washington"		"890818s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"2 volumes (464 leaves)"			"20212514"
