245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"The development and application of simulation models to aid in wildlife management decision-making /"		"Andrew Bradley Cooper."	"Cooper, Andrew B."	"Ph. D."	"University of Washington"	"2000"	"010510s2000\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 111 leaves :"		"http://hdl.handle.net/1773/6367;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9995357"	"46925438"
"Effects of buffer land-cover on stream water quality :"	"comparison of modeling approaches and ecological findings /"	"Marta Danielsdottir."	"Danielsdottir, Marta."	"M.S."	"University of Washington"	"2009"	"100401s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 58 leaves :"			"591527183"
"Variability and asynchrony in salmon returns :"	"implications for monitoring and ecosystem services /"	"Brooke M. Davis."	"Davis, Brooke M.,author."	"M.S."	"University of Washington"	"2015"	"160205t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (vi, 74 pages) :"	"Schindler, Daniel E.,degree supervisor."	"http://hdl.handle.net/1773/34167"	"936747762"
"Space-time analysis of forest fires /"		"by Carlos Díaz Avalos."	"Díaz Avalos, Carlos,1958-"	"Ph. D."	"University of Washington"	"1998"	"991203s1998\\\\xx\ab\\\\bm\\\000\0\eng\d"	"viii, 120 pages :"		"http://hdl.handle.net/1773/6375;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9907890"	"42925749"
"The effects of management scale :"	"a simulation study for U.S. Pacific Coast groundfish /"	"Dawn T. Dougherty."	"Dougherty, Dawn T."	"M.S."	"University of Washington"	"2009"	"100730s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"93 pages :"			"651062959"
"Understory light availability and spatial variation /"		"Miranda Fix."	"Fix, Miranda,1986-author."	"M.S."	"University of Washington"	"2013."	"140421t20132013waua\\\\od\\\\000\0\eng\d"	"1 online resource (vi, 69 pages) :"	"Ford, E. D.(Edward David),degree supervisor."	"http://hdl.handle.net/1773/23365"	"877835346"
"Statistical properties of an index of biological integrity used to evaluate water resources /"		"by Leska Fore."	"Fore, Leska."	"M.S."	"University of Washington"	"1992"	"930503s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 44 leaves :"			"28034874"
"The effects of data quality on spatial statistics /"		"by Elizabeth A. Freeman."	"Freeman, Elizabeth A."	"M.S."	"University of Washington"	"1997"	"990510s1997\\\\xx\ab\\\\bm\\\000\0\eng\d"	"viii, 112 leaves :"			"41335981"
"Opportunities and challenges for marine protected areas in fisheries management /"		"Thomas M. Garrison."	"Garrison, Thomas M.,1983-"	"M.S."	"University of Washington"	"2010"	"110418s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 80 pages :"			"713026737"
"Fixed and random effects models and multistage estimation procedures for statistical population reconstructions /"		"Christopher M. Gast."	"Gast, Christopher M."	"Ph. D."	"University of Washington"	"2012"	"121008s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (xi, 334 pages) :"	"Skalski, J. R.,thesis advisor."	"http://hdl.handle.net/1773/20260;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3504401"	"812202352"
"Detecting relationships between land use and water quality trends :"	"questions of association, scale, and independence /"	"Nancy Elizabeth Gove."	"Gove, Nancy Elizabeth."	"Ph. D."	"University of Washington"	"2001"	"020708s2001\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 160 leaves :"		"http://hdl.handle.net/1773/6362"	"50135914"
"Using age-harvest data to estimate demographic parameters for wildlife populations /"		"by Nancy Elizabeth Gove."	"Gove, Nancy Elizabeth."	"M.S."	"University of Washington"	"1997"	"971204s1997\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 128 leaves :"			"38041019"
"Statistical inference for analyzing intra-leaf variability of photosynthetic performance in young plants of two maize cultivars with contrasting leaf posture /"		"Katherine A. Grieve."	"Grieve, Katherine A."	"M.S."	"University of Washington"	"2007"	"070723s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 71 leaves :"			"156915027"
"Models and analysis of animal movements :"	"from individual tracks to mass dispersal /"	"Eliezer Gurarie."	"Gurarie, Eliezer."	"Ph. D."	"University of Washington"	"2008"	"090512s2008\\\\xx\ab\\\\bm\\\000\0\eng\d"	"x, 210 pages :"			"320850227"
"The dynamics and effects of bacterial kidney disease in Snake River spring Chinook salmon (Oncorhynchus tshawytscha) /"		"by Owen Sprague Hamel."	"Hamel, Owen Sprague,1968-"	"Ph. D."	"University of Washington"	"2001"	"020709s2001\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 186 pages :"		"http://hdl.handle.net/1773/6364"	"50142013"
"Effort allocation in a patchy fishery :"	"a role for the central planner /"	"by Guillermo Herrera."	"Herrera, Guillermo E."	"M.S."	"University of Washington"	"1998"	"990619s1998\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 85 leaves :"			"41573317"
"Optimization models for understanding migration patterns of juvenile chinook salmon /"		"by Richard A. Hinrichsen."	"Hinrichsen, Richard A.,1962-"	"Ph. D."	"University of Washington"	"1994"	"950627s1994\\\\xx\ab\\\\bm\\\000\0\eng\d"	"xxii, 272 pages :"		"http://www.cqs.washington.edu/papers/hinrich/dissertation.pdf"	"32717818"
"Quantifying selection in wild populations using known-fate and mark-recapture designs /"		"by Annette Hoffmann."	"Hoffmann, Annette,1963-"	"Ph. D."	"University of Washington"	"1993"	"931209s1993\\\\xx\a\\\\\bms\\000\0\eng\d"	"xi, 259 leaves :"			"29460012"
"Inseason forecasts of sockeye salmon returns to the Bristol Bay districts of Alaska /"		"Saang-Yoon Hyun."	"Hyun, Saang-Yoon."	"Ph. D."	"University of Washington"	"2002"	"030114s2002\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xviii, 167 leaves :"		"http://hdl.handle.net/1773/6363"	"51441292"
"Characteristic scale using wavelets /"		"Michael J. Keim."	"Keim, Michael J."	"Ph. D."	"University of Washington"	"2008"	"081204s2008\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 140 pages :"			"277001212"
"Estimation of canopy fuels /"		"Michael J. Keim."	"Keim, Michael J."	"M.S."	"University of Washington"	"2003"	"040422s2003\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 63 leaves :"			"55006653"
"A geometric simulation model of foliage regeneration in Abies grandis and Pseudotsuga menziesii /"		"Maureen C. Kennedy."	"Kennedy, Maureen C."	"M.S."	"University of Washington"	"2002"	"030213s2002\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 158 leaves :"			"51645029"
"Multi-objective optimization for ecological model assessment and theory development /"		"Maureen C. Kennedy."	"Kennedy, Maureen C."	"Ph. D."	"University of Washington"	"2008"	"080922s2008\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 284 leaves :"		"http://hdl.handle.net/1773/6373;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3303378"	"255645741"
