245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Global citizenship development in college :"	"international service-learning students' meaning-making after returning home /"	"RaeLyn A. Axlund McBride."	"Axlund McBride, RaeLyn A.,author."	"Ph. D."	"University of Washington"	"2017"	"170911t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (202 pages)"	"Lott, Joe,degree supervisor."	"http://hdl.handle.net/1773/39820"	"1003293931"
"See you after circle time :"	"strategies to support toddlers' transition to group settings /"	"Shan-Chien Chen."	"Chen, Shan-Chien,author."	"M. Ed."	"University of Washington"	"2017"	"170911t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (iv, 23) :"	"Meeker, Kathleen A.,degree supervisor.;Sandall, Susan Rebecka,degree supervisor."	"http://hdl.handle.net/1773/39822"	"1003294952"
"Decisions and tensions :"	"summative assessments in PBL advanced placement classes /"	"Susan Elizabeth Cooper."	"Cooper, Susan Elizabeth,author."	"Ph. D."	"University of Washington"	"2017"	"170912t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (xi, 59 pages) :"	"Nolen, Susan Bobbitt,degree supervisor."	"http://hdl.handle.net/1773/39832"	"1003324401"
"Interteaching :"	"the effects of discussion group size on undergraduate student performance and preference /"	"Michael Gutierrez."	"Gutierrez, Michael,author."	"Ph. D."	"University of Washington"	"2017"	"170911t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (iii, 36 pages) :"	"Schwartz, Ilene S.,degree supervisor."	"http://hdl.handle.net/1773/39824"	"1003297133"
"Invented words after writing intervention :"	"elementary student production of morphological inventions in two writing contexts /"	"Emma Huey."	"Huey, Emma,author."	"M. Ed."	"University of Washington"	"2017"	"170911t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (43 pages) :"	"McCutchen, Deborah(Deborah E.),degree supervisor."	"http://hdl.handle.net/1773/39823"	"1003297094"
"Manor of memory /"		"Nicole McCarthy."	"McCarthy, Nicole,author."	"Master's"	"University of Washington"	"2017"	"170912t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (104 pages) :"	"Gladman, Renee,degree supervisor.;Borsuk, Amaranth,degree supervisor."	"http://hdl.handle.net/1773/39848"	"1003324960"
"Rental market discrimination in the housing choice voucher program /"		"Mary F. Moore"	"Moore, Mary F.,author."	"Ph. D."	"University of Washington"	"2017"	"170911t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (xi, 245 pages) :"	"Plotnick, Robert D.,degree supervisor."	"http://hdl.handle.net/1773/39821"	"1003294811"
"Engaging the public in management :"	"voluntary practice, citizen complaints, and deliberating oil and gas risk /"	"Ryan P. Scott."	"Scott, Ryan P.,author."	"Ph. D."	"University of Washington"	"2017"	"171102t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (377 pages) :"	"Cullen, Alison C.,degree supervisor."	"http://hdl.handle.net/1773/39840"	"1008995996"
