245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Method for evaluating lignin sulfonate biodegradation."			"Minear, Roger Allan,1939-"	"M.S.E."	"University of Washington"		"080520s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"95 leaves"			"228410050"
"Physical properties of soil mixtures."			"Musharaf, Omer Mukhtar."	"M.S.C.E."	"University of Washington"		"080520s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"92 leaves"			"228410055"
"Development of transportation terminals in the Sudan."			"Naeim, Abdeen Hussein."	"M.S.C.E."	"University of Washington"		"080520s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"71 leaves"			"228410056"
"Atmospheric aerosol size frequency distribution."			"Noll, Kenneth E."	"M.S.C.E."	"University of Washington"		"080520s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"79 leaves"			"228410081"
"Highway practice and problems in western and southern Sudan."			"Nur, Ahmed Hag."	"M.S.C.E."	"University of Washington"		"080520s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"55 leaves"			"228410076"
"Strength of rectangular reinforced concrete beams with web reinforcement."			"Osburn, Donald Lee."	"M.S.C.E."	"University of Washington"		"080520s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"128 leaves"			"228408786"
"Diagonal tension cracking in uniformly loaded concrete beams subjected to axial loads /"		"by Stephen Victor Palevich."	"Palevich, Stephen Victor."	"M.S."	"University of Washington"	"1966"	"990429s1966\\\\xx\a\\\\\m\\\\000\0\eng\d"	"iv, 73 leaves :"			"41274208"
"Annual carbon mass balance for a eutrophic lake."			"Pederson, G. L."	"M.S.E."	"University of Washington"		"080520s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"60 leaves"			"228410082"
"Rate of denitrification as affected by the biochemical oxygen demand."			"Peterson, David John,1943-"	"M.S.C.E."	"University of Washington"		"080520s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"8 leaves"			"228411851"
"Analysis of stresses in a floating dry dock due to a docked ship."			"Potvin, Allen Bernard,1943-"	"M.S.C.E."	"University of Washington"		"080520s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"[132] leaves"			"228411852"
"Impact of demographic growth on the future urbanization of the Sudan."			"Salih, Omer."	"M.S.C.E."	"University of Washington"		"080520s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"[132] leaves"			"228410071"
"Systemized method for solving seepage problems with a free streamline."			"Schwarzhoff, James Chris."	"M.S.C.E."	"University of Washington"		"080520s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"83 leaves"			"228410083"
"Structural modifications of a steel frame building to accommodate functional change."			"Sheth, Jayant Kumar N."	"M.S.C.E."	"University of Washington"		"080520s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"36 leaves"			"228411853"
"Valence effects on copper toxicity in anaerobic digestion."			"Soderquist, Michael Ridgman."	"M.S.C.E."	"University of Washington"		"080520s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"140 leaves"			"228411869"
"Urban centrographic analysis; some principles and applications to transportation planning."			"Stock, Walter Michael."	"M.S.C.E."	"University of Washington"		"080520s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"83 leaves"			"228410084"
"Diagonal tension cracking in R.C. beams with varying axial load."			"Warrington, Ralph Malcolm."	"M.S.C.E."	"University of Washington"		"080520s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"74 leaves"			"228410085"
