245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Die psychologischen, erkenntnistheroretischen und ethischen Anschauungen in Hartmanns Klage-Büchlein."			"Gewehr, Wolf."	"Ph. D."	"University of Washington"		"890613s1968\\\\xx\\\\\\\bm\\\000\0\ger\d"	"279 leaves"			"19863062"
"The relationship between art and disease in the works of Thomas Mann."			"Glebe, William Valentine,1920-"	"Ph. D."	"University of Washington"		"890623s1959\\\\xx\\\\\\\bm\\\000\0\eng\d"	"263, [1] leaf"			"19917294"
"Interrelation of German and English literature based upon the ""Neue bibliothek der schönen wissenschaften und der freyen künste,"" 1788-1806."			"Gullixson, Edna Tileston."				"960731s1908\\\\xx\a\\\\\m\\\\000\0\eng\d"	"168 leaves"			"35171546"
"Studien zu einer untersuchung ueber den einfluss von Schillers auf Hebbels ""Demetrius"" - Fragment ..."			"Guyet, Paul."				"960711s1922\\\\xx\\\\\\\bm\\\000\0\ger\d"	"71 leaves"			"35067813"
"The Gründler dialect."			"Haydon, Marianne Monostory."	"M.A."	"University of Washington"		"890707s1961\\\\xx\\\\\\\bm\\\000\0\eng\d"	"47 leaves"			"19976202"
"Die Neubuddhistische Bewegung in Deutschland und Europa und ihre europaeischen Vertreter im Osten (The Neobuddhistic movement in Germany and Europe ..."			"Henkl, Rolf,1897-"	"M.A."	"University of Washington"		"890626s1930\\\\xx\ah\\\\bm\\\000\0\ger\d"	"80 leaves"			"19926738"
"Satzbau und Aufbaustil im Ackermann aus Böhmen."			"Hennig, Reinhard Karl,1935-"	"Ph. D."	"University of Washington"		"890517s1968\\\\xx\\\\\\\bm\\\000\0\ger\d"	"147 leaves"			"19719011"
"A comparison of Spanish, German, and French idioms ..."			"Hepperle, Charlotte."	"M.A."	"University of Washington"		"890612s1950\\\\xx\\\\\\\bm\\\000\0\eng\d"	"94 leaves"			"19853799"
"Translation of Herder's Essay on Ossian"		"with an historical introduction by W.A. Knox."	"Herder, Johann Gottfried,1744-1803."				"960904s1917\\\\xx\\\\\\\bm\\\000\0\eng\d"	"69 leaves"	"Knox, William Albert."		"35363571"
"The interrelationship between the Latin and German poems of the Carmina Burana ..."			"Jackson, W. T. H.(William Thomas Hobdell),1915-1983."	"Ph. D."	"University of Washington"		"890613s1951\\\\xx\\\\\\\bm\\\000\0\eng\d"	"238 leaves"			"19860201"
"Friedrich Schlegel and Metternich (1809-1819)"	"a study in political romanticism."		"Jamison, Robert Leon,1942-"	"Ph. D."	"University of Washington"		"890615s1969\\\\xx\\\\\\\bm\\\000\0\eng\d"	"266 leaves"			"19873561"
"Die mundarten von Grossbockenheim und Kallstadt an der Weinstrasse."			"Karch, Dieter."	"Ph. D."	"University of Washington"		"890620s1967\\\\xx\\\\\\\bm\\\000\0\ger\d"	"182 leaves"			"19898013"
"Constance German: The study of a city dialect."			"Kinkade, M. Dale(Marvin Dale),1933-"	"M.A."	"University of Washington"		"890609s1956\\\\xx\\\\\\\m\\\\000\0\eng\d"	"30 leaves"			"19840743"
"Romantische zuge in Thomas Manns Buddenbrooks und deren eigenart ..."			"Krafft, Gertrude."				"960930s1923\\\\xx\\\\\\\bm\\\000\0\ger\d"	"65 leaves"			"35656136"
"Strukturuntersuchungen zum sechsten Buch von Grimmelshausens Simplicissimus."			"Krausse, Helmut Karl,1926-"	"Ph. D."	"University of Washington"		"890609s1964\\\\xx\\\\\\\bm\\\000\0\eng\d"	"198 leaves"			"19840802"
"Textkritische Studien zur Überlieferung von Thomasins von Zerclaere Der Welsche Gast."			"Kries, F. W. von."	"Ph. D."	"University of Washington"		"890711s1965\\\\xx\a\\\\\bm\\\000\0\ger\d"	"271 leaves"			"19990754"
"Schiller's translation of Shakespeare's Macbeth."			"Kuentzel, Ella May."				"960731s1909\\\\xx\\\\\\\bm\\\000\0\eng\d"	"63 leaves"			"35171572"
"The wisdom in Novalis' Heinrich von Ofterdingen ..."			"Lewis, Leta Jane."	"M.A."	"University of Washington"		"890719s1952\\\\xx\\\\\\\bm\\\000\0\eng\d"	"82 leaves"			"20030085"
