245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"A study of the infrared spectral intensities of the hydrogen sulfide molecule."			"Emerson, Merle Thomas,1930-"	"Ph. D."	"University of Washington"		"890726s1958\\\\xx\a\\\\\bm\\\000\0\eng\d"	"81, [1] leaf"			"20070854"
"Part I: The acidity function, H₀, in acetic acid-water mixtures."	"Part II: A kinetic study of the chromic acid oxidation of diphenylmethane."		"Evans, Robert John,1928-"	"Ph. D."	"University of Washington"		"890626s1959\\\\xx\a\\\\\bm\\\000\0\eng\d"	"90, [1] leaf"			"19924287"
"Shape of the infrared band in gaseous nitrous oxide."			"Farina, Josephine Dollie,1933-"	"M.S."	"University of Washington"		"890616s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"20 leaves"			"19879551"
"A numerical solution for the non-additive polarographic current in a chelate-ion system."			"Fisher, Gordon Emerson."	"M.S."	"University of Washington"		"890602s1959\\\\xx\a\\\\\bm\\\000\0\eng\d"	"30, [1] leaf"			"19804002"
"Effusion studies of sodium hydroxide, bromine, and iodine monobromide."			"Frey, Mary Belle."	"M.S."	"University of Washington"		"890616s1960\\\\xx\a\\\\\bm\\\000\0\eng\d"	"19 leaves"			"19879694"
"Preparation and properties of 1-dimethyl-aminomethyl- and 1,3-bis-(dimethylamino-methyl)-azulene and derivatives."			"Fujita, Thomas Shigeru."	"M.S."	"University of Washington"		"890616s1959\\\\xx\a\\\\\bm\\\000\0\eng\d"	"28, [1] leaf"			"19879658"
"Studies on cycloheptatriene derivatives."			"Gadecki, Filon A.,1932-"	"Ph. D."	"University of Washington"		"890616s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"176, [1] leaf"			"19879579"
"Part I: An improved synthesis and some substitution reactions of azulene."	"Part II: Studies related to the synthesis of cyclopenteno(c, d) azulene."		"Gale, Donald James,1930-"	"Ph. D."	"University of Washington"		"890616s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"179, [1] leaf"			"19879501"
"Spectral studies on some polyhydroxyxanthones."			"Gallagher, Eugene Harold."	"M.S."	"University of Washington"		"890616s1960\\\\xx\a\\\\\bm\\\000\0\eng\d"	"36 leaves"			"19879719"
"Malonic ester condensations with tropenium ions."			"Gauglitz, Erich Josef."	"M.S."	"University of Washington"		"890616s1958\\\\xx\a\\\\\bm\\\000\0\eng\d"	"48 leaves"			"19879033"
"Part I. Vapor phase dipole moments of some alkyl cyanides."	"Part II. Studies on the oxygen to oxygen rearrangements of some allyl esters."		"Heller, Jorge,1927-"	"Ph. D."	"University of Washington"		"890620s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"152, [1] leaf"			"19899481"
"Characterization of the products obtained upon treatment of ethyl 2,2¹-dibromo [Beta], [Beta]¹-diethylglutarate with concentrated potassium hydroxide."			"Holmquist, Howard Wendell."	"M.S."	"University of Washington"		"890822s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"28 leaves"			"20229001"
"Mass-yield distributions of the fission fragments from particle-induced fission of Ra²²⁶."			"Jensen, Reilly Campbell,1929-"	"Ph. D."	"University of Washington"		"890620s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"127, [1] leaf"			"19899566"
"The solubility of helium and neon in liquid argon."			"Karasz, Frank Erwin,1933-"	"Ph. D."	"University of Washington"		"890602s1958\\\\xx\a\\\\\bm\\\000\0\eng\d"	"72, [1] leaf"			"19803737"
