245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Dynamic optimal design of online retail auctions /"		"Xi Chen."	"Chen, Xi,1986 January 24-"	"Ph. D."	"University of Washington"	"2011"	"120206s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 80 pages :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3485353"	"775374929"
"Economic analysis and synthesis of technology investment strategies in manufacturing /"		"by William Leroy Davis Jr."	"Davis, William Leroy."	"M.S.I.E."	"University of Washington"	"1999"	"991108s1999\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 106 leaves :"			"42788683"
"A computational study of improving hit-and-run algorithms on a discrete domain /"		"by Eva Hlin Dereksdottir."	"Dereksdottir, Eva Hlin."	"M.S.I.E."	"University of Washington"	"2002"	"020822s2002\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 74 leaves :"			"50467820"
"Using electronic flight instrumentation and flight management systems to manually control flight technical error (FTE) /"		"Glenn Alan Dildy."	"Dildy, Glenn Alan."	"M.S.I.E."	"University of Washington"	"2001"	"020723s2001\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 109 leaves :"			"50219862"
"The U.S. Coast Guard 87' patrol boat maintenance program :"	"an analysis of a scheduling and resource leveling problem /"	"Amanda DiPietro."	"DiPietro, Amanda,author."	"M.S.I.E."	"University of Washington"	"2015"	"160127t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (xi, 102 pages) :"	"Storch, Richard Lee,1947-degree supervisor."	"http://hdl.handle.net/1773/33980"	"936113662"
"Use of an independent visual background to alleviate simulator sickness in the virtual environments that employ wide-field displays /"		"by Been-Lirn Duh."	"Duh, Been-Lirn."	"Ph. D."	"University of Washington"	"2001"	"020723s2001\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 112 leaves :"		"http://hdl.handle.net/1773/10681"	"50218788"
"The informational content of options prices :"	"an analysis of options prices and their implications on the value of the underlying asset /"	"Isaac Faber."	"Faber, Isaac."	"M.S.I.E."	"University of Washington"	"2011"	"111118s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 106 leaves :"			"761399351"
"Integrated statistical and optimization strategies for the improvement of six sigma methodology /"		"Qianmei Feng."	"Feng, Qianmei."	"Ph. D."	"University of Washington"	"2005"	"051128s2005\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xiii, 139 leaves :"			"62355045"
"Supply chain network configuration for product recovery /"		"Clara Fernandes."	"Fernandes, Clara."	"M.S.I.E."	"University of Washington"	"2002"	"020822s2002\\\\xx\\\\\\\bm\\\000\0\eng\d"	"vi, 95 leaves "			"50470230"
"An optimization based decision tool for bi-criteria allocation of jobs to unrelated parallel machines /"		"by Damon Eliot Flennaugh."	"Flennaugh, Damon Eliot."	"M.S.I.E."	"University of Washington"	"2000"	"010417s2000\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 76 leaves :"			"46766257"
