245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Reconstructing womanhood :"	"how Japanese and American gender roles and educational policies affected Japanese women who studied in the United States from 1868 to 1930 and from 1980 to 2008 /"	"Paige Danielle Cunningham."	"Cunningham, Paige Danielle."	"M.A.I.S."	"University of Washington, Tacoma"	"2008"	"081114s2008\\\\xx\\\\\\\bm\\\000\0\eng\d"	"xiii, 270 pages "			"271676505"
"Social identity theory, decision makers, and EU expansion :"	"the case of Turkey /"	"Tyler Michael Curley."	"Curley, Tyler Michael."	"M.A.I.S."	"University of Washington, Tacoma"	"2008"	"081114s2008\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 42 leaves "			"271690738"
"Hurricane Katrina :"	"the late September dogs in the city that care forgot /"	"Karin A. Dalesky."	"Dalesky, Karin A."	"M.A.I.S."	"University of Washington, Tacoma"	"2007"	"080116s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 84 leaves :"			"190848414"
"Tacoma's African American community :"	"a history /"	"Autumn Faee Darms."	"Darms, Autumn Faee."	"M.A."	"University of Washington, Tacoma"	"2010"	"101130s2010\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 153 leaves "			"688320199"
"The history and development of the Puget Sound commercial geoduck industry :"	"how does place shape the way in which we look at the history and development of the commercial geoduck industry? /"	"Marion G. Dumont."	"Dumont, Marion G."	"M.A."	"University of Washington"	"2004"	"041008s2004\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 84 leaves :"			"56677199"
"Values in the state of emergency /"		"Kevin Eldridge."	"Eldridge, Kevin,1962-"	"M.A.I.S."	"University of Washington, Tacoma"	"2009"	"091203s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 67 leaves :"			"472493303"
"An interdisciplinary view of criminal disenfranchisement laws :"	"social impact and constitutionality /"	"Michelle A. Evans."	"Evans, Michelle A."	"M.A."	"University of Washington"	"2005"	"050629s2005\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 83 leaves "			"60823109"
"Working within the system to make the system work :"	"intra-district collaboration to increase Hispanic parent involvement in public education /"	"Kendra L. Fitzpatrick."	"Fitzpatrick, Kendra L."	"M.A."	"University of Washington"	"2004"	"041015s2004\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 58 leaves :"			"56749934"
"Challenges that minority students, in particular, African American, parents, and teachers face as a result of the problems inherent with the lack of multicultural education in public schools /"		"Gwendolyn Ford."	"Ford, Gwendolyn."	"M.A."	"University of Washington, Tacoma"	"2005"	"051109s2005\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 60 leaves "			"62247777"
"Sexual behavior development in lesbian, gay, bisexual, and transgender (LGBT) adults /"		"Colleen M. Forde."	"Forde, Colleen M."	"M.A.I.S."	"University of Washington, Tacoma"	"2011"	"110711s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 56 leaves "			"740506033"
